"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M661.253T876.035"," 8257.204"," 5034.060","    0.000","12125.224","10631.922"," 8988.478"," 7061.419"," 9903.337"," 7844.148"," 5916.764","11746.672","    0.000"," 9535.465"," 7611.426"," 9074.486","    0.000","12780.815","13244.971"
"M765.729T983.05"," 5604.386"," 4800.637","    0.000","11132.123"," 6417.273"," 6470.288"," 5252.200"," 6533.049"," 3101.022"," 7726.501"," 2917.515","    0.000"," 5449.928"," 3701.063"," 5822.283","    0.000"," 4302.779"," 2810.416"
"M941.317T938.576"," 7627.5153","12488.7180","    0.0000","27655.1933","19329.8134","24288.9214","33232.2786","14664.5221","10276.0999"," 4847.2375","14191.5784","  374.1688","20938.9158","16152.6390"," 5838.1184","    0.0000","13308.3732","10683.7102"
"M1193.041T904.79"," 9445.6623"," 2357.6593","    0.0000"," 8702.8024"," 6699.9218"," 7638.7413","10093.3871","24509.4181","16067.4219","13369.6032","29423.8118","  300.8508","11852.6232"," 8507.3902","12967.2012","  358.0000"," 1326.8187"," 3163.8908"
"M581.283T805.632","10203.4966"," 9491.0974","  448.0106","14999.6118","13241.5602"," 8989.8011","19087.6046","10735.4068"," 8810.9017"," 6184.4060","15665.5662"," 1059.2727"," 7785.9927"," 8698.5363"," 8949.1539","    0.0000","12906.4195","17801.2952"
"M611.22T783.374","14311.541"," 7143.496","    0.000","11150.339","29285.024","16267.066"," 8008.054","27983.705","12720.975","17435.428","19152.870","    0.000"," 9235.276","13536.148","37820.908","    0.000"," 9761.508","21422.387"
"M564.929T1201.416","3715.0840","5749.8574"," 677.3882","8531.1569","2551.5214","1645.5331","3212.2824","3432.0231","2972.5562","3370.8734","2908.9945","   0.0000","2812.9717","4126.8525","3807.3096"," 424.0000","2588.5831","1763.4252"
"M728.88T67.591"," 2986.9809"," 3728.0670","  190.5946"," 2364.2698","12367.5072"," 9598.7407","31431.6357","45003.8215","10701.3891"," 4341.3831","15014.2974"," 1074.9444"," 4744.5139"," 3769.8443"," 4144.9429","    0.0000"," 2642.9572","16511.9883"
"M824.816T67.434"," 1538.9697"," 1159.3571","  403.6505"," 2963.0533"," 3806.5457"," 4604.0205","11102.1501","19848.2495","10673.1532"," 2122.3663"," 4681.9344"," 1782.2241"," 2639.3096"," 1696.0620"," 3486.4383","    0.0000"," 1052.0354"," 5757.9682"
"M938.802T67.374","  998.9033","  381.6902","    0.0000"," 1341.0761"," 1467.2189"," 6388.2344","10951.9543","28589.2680"," 8103.6904"," 1375.2068"," 4379.8040","  642.7694"," 1691.2504"," 1353.7170"," 2211.9375","    0.0000","  263.0089"," 3776.7069"
