"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M247.08T831.65"," 80185.01"," 93590.51","150929.22","123135.54"," 97808.48","101018.82","100767.98","129573.39"," 77404.91","166652.63","132346.87"," 42243.93","156968.30","133271.83","112318.79","106559.91"," 33687.28"," 86295.61"," 86295.61","113814.47","110407.01"
"M250.96T20.39","18730.79","17423.89","16768.90","18238.55","16757.45","19169.16","14204.80","17090.10","17129.76","16834.90","17993.12","17403.60","17468.25","17509.80","17465.47","18224.51","16840.89","16405.07","16405.07","18019.90","18108.54"
"M256.93T20.56","6114.288","5567.051","5641.507","6730.180","7442.260","6100.246","4289.958","5067.557","6121.843","5720.206","6138.360","6068.150","6078.986","6844.253","6429.980","6461.453","4383.145","5904.748","5904.748","6980.880","6927.869"
"M274.94T20.57","14909.344","17289.405","11334.385","12978.662","13337.604","14585.438"," 9831.284","16218.275","15110.412","14629.445","13194.173","16039.376","15211.498","13378.691","12262.678","15638.776"," 9951.659","13998.478","13998.478","14581.614","15707.216"
"M277T22.59","7406.152","6542.796","6251.422","7023.515","5288.767","6541.261","5854.521","6949.400","6037.820","7471.946","5869.053","7087.198","5695.034","7870.577","6774.262","6674.856","6276.339","6670.868","6670.868","8074.150","7411.853"
"M302.93T20.57","19277.66","17416.09","19643.45","20387.23","21177.34","19609.57","15712.25","17325.51","18069.56","22463.19","20009.64","18562.67","18943.01","22100.78","18978.14","20653.78","12462.75","17969.82","17969.82","20625.69","19458.20"
"M309.13T18.56","15976.69","17176.90","15922.09","16685.71","17132.85","16680.12","15347.09","14639.81","14324.17","17057.62","14921.80","17062.58","15622.96","17510.02","14867.41","18712.48","14532.18","24267.98","24267.98","17821.30","17974.63"
"M322.92T21.56","5585.914","6859.323","5352.816","8053.801","7539.484","7304.517","5993.254","7429.871","7234.373","7696.847","7443.721","5943.778","6704.070","6413.055","6728.722","6759.052","6396.367","6244.203","6244.203","6230.636","8778.042"
"M324.92T20.56"," 8929.941"," 7367.860"," 6990.937"," 8214.448"," 7411.469"," 7978.856"," 5329.606"," 8189.054"," 5680.732","10137.399"," 5905.664"," 7600.734"," 7422.200"," 8075.537"," 7404.406"," 8416.882"," 4951.827"," 7290.901"," 7290.901"," 7468.338"," 9447.301"
"M326.38T1622.84","227302.6","183698.2","202093.6","250058.5","218937.2","220478.2","209612.8","227561.3","223119.7","230801.8","226190.8","234841.1","232553.4","273411.0","261563.1","227441.3","209904.2","253874.6","253874.6","238278.2","219486.5"
"M337.06T22.56","11955.767","11503.577","12630.343","10574.306","12848.646","11549.577"," 8935.492","11555.260","11239.935","10244.095"," 9330.051","11147.342","11496.386","10979.974","10118.264","11368.002"," 6911.705"," 9280.022"," 9280.022","11831.388"," 9885.533"
"M338.34T1639.2"," 3612552.9"," 2075317.3","  825777.4"," 1084133.4","10369224.8"," 4199463.0"," 1214330.3"," 1176764.4","  842480.4"," 3284529.3"," 1085794.2","  487734.9","  853820.7"," 1158976.4"," 3376693.9"," 5799986.8","  586486.4"," 1532441.3"," 1532441.3","  963209.6"," 1752235.4"
"M341.27T1369.82","665227.4","317235.7","257595.9","349016.3","870669.2","637652.9","267207.5","287459.4","410731.0","907036.0","525230.7","225393.5","291191.5","274363.7","636469.5","602931.3","207023.5","246041.2","246041.2","267799.0","269622.4"
"M349.25T12.55","9482.120","7736.701","6747.734","6689.893","7765.783","6268.672","8138.316","7240.036","7317.243","8350.695","8643.218","7717.271","9059.094","7081.678","7174.849","7924.934","7220.087","5095.324","5095.324","8585.680","9119.501"
"M352.92T20.57","18174.98","16958.72","16295.88","17974.77","17300.10","18433.81","13873.99","17006.00","15049.76","16366.42","18067.22","20421.39","17637.68","14896.36","15359.89","16952.52","13557.76","15807.94","15807.94","14597.66","17538.37"
"M360.93T17.56","40105.65","31680.76","30942.90","35024.76","32322.68","31661.95","19525.47","30356.74","41165.73","37169.17","30971.78","67714.93","31660.70","30715.87","40651.59","39341.67","18205.67","27367.32","27367.32","30164.22","32695.15"
"M372.36T1639.49","170029.5","246273.9","233071.4","248105.5","222047.9","194935.4","177770.8","227765.4","202132.9","225826.8","208386.9","191617.3","234049.5","237536.9","166011.1","186972.4","168833.1","208986.4","208986.4","223256.8","159417.6"
"M372.36T1624.16","212305.9","277433.9","511418.4","249078.2","232948.0","226061.6","197744.5","299469.0","284474.7","231734.6","217011.5","201868.4","240121.2","281583.8","190668.7","211825.3","192652.1","253304.5","253304.5","226110.4","182837.0"
"M380.92T18.56","25242.64","23903.50","21668.50","22356.09","22549.45","21717.47","16634.06","22139.93","22998.21","24234.49","21439.17","27407.50","23782.09","18115.75","19699.17","23249.54","15621.10","15907.89","15907.89","21438.12","23308.98"
"M382.31T1622.76","145000.8","165664.2","138854.1","181491.3","164776.5","189684.3","170498.0","147834.3","192587.2","180325.9","137142.5","182570.6","152616.6","194350.8","139005.8","173845.6","146575.1","160580.2","160580.2","164090.1","152704.3"
"M385.29T1369.89","1184904.2"," 620647.9"," 258170.2"," 576120.6","1235346.2"," 986367.9"," 331926.3"," 660012.3"," 482083.9","1272435.1","1037128.6"," 526457.0"," 558091.6"," 307656.7"," 989168.0","1068821.2"," 423460.9"," 510284.3"," 510284.3"," 412582.2"," 720462.5"
"M392.9T19.57","11408.771","11541.620","10974.588","11046.304","11559.968","11474.725"," 8494.619","10267.082","11594.475","11711.692","10454.033","12337.259","11629.158","11673.954"," 9875.220","10229.688"," 8035.007"," 8724.857"," 8724.857","10744.136","10122.840"
"M400.92T17.56","8301.862","7177.468","8292.089","7342.595","6693.777","7619.093","6557.806","7211.179","7425.285","8005.946","7591.965","7347.698","9035.024","6808.979","6953.420","7052.024","6267.292","7423.949","7423.949","8822.388","8498.211"
"M408.91T18.56","29449.74","28645.68","26530.28","28421.48","28218.40","29292.85","20713.97","25067.01","28556.76","24025.92","26140.19","31377.85","27475.59","25313.71","27233.46","28565.44","19354.28","22825.14","22825.14","28960.62","32214.35"
"M408.91T11.54","14022.97","16619.71","13983.04","14250.62","15419.05","15381.89","13952.16","14667.57","14078.11","16957.31","15517.33","16951.53","14167.56","13372.00","13706.27","15933.32","15717.81","12089.33","12089.33","15496.35","20800.21"
"M409.18T18.56","8879.713","9264.990","7078.581","6456.024","7469.857","8352.254","6972.969","8511.970","8699.549","9260.536","9376.650","9253.033","8378.256","8295.527","8621.023","8454.886","5992.151","8383.752","8383.752","9087.180","7072.113"
"M411.2T18.56","12134.294","10222.576","10238.805","10275.658","10513.429","10833.442","10342.219"," 8267.875"," 9145.634"," 9729.119"," 9795.683","11421.179","10666.052","10509.644","10989.832","11507.768"," 6860.398","10163.255","10163.255","11921.658","11661.752"
"M420.91T18.56","10680.175","10479.344"," 9317.235","11412.718"," 9387.072"," 8977.116"," 8246.947"," 8991.784"," 9003.573"," 7945.766"," 7929.442","16874.472"," 9150.669"," 9069.294","10081.635"," 9204.511"," 6732.580","10598.030","10598.030"," 9560.596","10576.848"
"M428.92T12.55"," 9136.376"," 8328.912"," 9875.538"," 8873.223"," 7579.162"," 9630.323"," 8165.068"," 8680.237"," 9784.477"," 9266.971"," 9557.164"," 8861.895","11287.892"," 9027.449"," 9259.855"," 9824.128"," 9280.923"," 8834.894"," 8834.894","10256.678"," 9999.910"
"M428.92T17.56","12305.627","12870.496","10341.053","10539.815","13386.256","11553.213","10011.874","13013.226","11635.554","11236.742","11427.416","12116.781"," 9626.794","11860.497","13396.068","14242.600"," 8973.536","10349.445","10349.445","10567.608","13652.897"
"M468.42T1623.34","401633.5","533971.6","528947.8","534944.3","648292.0","546693.2","643525.2","426574.9","811128.3","565619.6","603652.0","586780.4","519043.0","590892.6","765754.9","563759.1","542007.5","628074.8","628074.8","549716.1","495555.1"
