"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M626.86T18.56",-0.031286,0.036244,-0.0029926,0.010491,-0.018625,0.010239,0.0079712,0.024199,-0.012394,-0.025687,-0.024556,0.020416,0.018083,-0.0037955,-0.030589,-0.032839,-0.0099098,-0.0016998,0.018084,-0.010235,0.0049521
"M631.47T1471.08",0.073194,0.14227,0.011679,-0.050457,-0.024745,0.025832,-0.027381,0.010342,0.0055896,-0.01506,0.021804,0.01006,0.011281,-0.0025643,-9.2609e-05,0.008152,-0.0026849,0.013362,-0.016839,-3.9872e-05,-0.0051829
"M631.86T17.56",0.01674,-0.0050216,0.057669,0.015008,0.0082871,0.00074493,-0.0050597,0.03663,0.023676,0.011635,-0.031446,-0.032291,0.0023175,-0.0078944,0.032106,-0.013468,0.070273,0.0076171,-0.0027831,-0.0061979,0.01227
"M632.47T1471.09",0.067183,0.15089,0.0035318,-0.038946,-0.029458,0.02392,-0.030082,-0.0026585,0.0030905,-0.0026409,0.012251,0.0099084,0.015139,0.0037361,0.016166,0.0048324,-0.0062104,0.0059927,-0.025435,-0.016395,0.0096746
"M632.88T17.56",-0.009318,0.043176,-0.0009496,-0.016581,0.0034485,-0.026251,0.0097926,-0.025748,0.030365,0.016416,0.013806,-0.011519,0.00088651,-0.019244,-0.001464,-0.048919,-0.038039,-0.014846,-0.0070134,0.00044521,-0.002034
"M633.48T1454.22",0.044554,0.10512,0.020196,-0.053468,-0.015561,0.006578,-0.070072,0.018322,-0.0084515,0.00054932,0.060855,0.010575,0.0068744,0.029618,0.01827,-0.01161,-0.0037688,-0.0095457,-0.020953,-0.020969,0.019204
"M633.48T1420.61",0.0411,0.10538,0.017411,-0.055386,-0.01422,0.0094765,-0.057599,0.020278,-0.022894,-0.016717,0.046619,0.0084467,0.0089933,0.029306,0.030218,-0.0040766,-0.0093809,0.0061472,-0.016848,-0.014091,0.0065031
"M633.88T17.56",-0.038401,0.026813,-0.021432,0.021449,0.026436,0.017132,0.025392,-0.00059367,-0.0038204,-0.029286,-0.004537,-0.024237,0.056231,0.019787,-0.016882,-0.02336,-0.010837,0.023141,0.049934,-0.0014144,-0.0058396
"M634.48T1420.61",0.055056,0.10141,0.0093529,-0.04795,-0.007412,0.0059078,-0.076025,0.036163,0.00099691,0.0031543,0.033955,0.011531,0.026454,0.028468,0.022269,0.0037489,-0.0040453,0.0047498,-0.015389,0.0025439,-0.00052942
"M637.36T17.55",-0.049996,0.032633,0.015154,-0.032337,-0.032168,0.014944,-0.01366,0.037519,0.0059477,0.02045,-0.023626,0.018344,0.047117,0.026416,0.021912,0.042237,-0.027981,-0.018893,-0.014914,-0.0093052,0.0053139
"M637.87T18.56",-0.018194,0.048012,0.00037835,-0.014576,0.027766,-0.064873,0.018942,0.013661,-0.010163,-0.060281,0.023363,0.0049528,-0.016991,-0.045979,0.015636,0.026027,-0.014446,-0.043569,-0.038347,-0.010214,0.0072628
"M644.87T18.05",0.014619,0.0027601,-0.020093,0.0093192,-0.0039788,-0.022764,0.032644,0.010676,0.05961,-0.053835,0.0035983,0.023996,-0.014831,0.022858,-0.018352,-0.0124,0.0079828,0.067386,-0.032961,-0.006364,0.0057661
"M647.46T1437.41",0.1025,0.14078,0.011053,-0.033159,-0.0038655,0.023507,-0.040695,0.011167,0.023076,-0.03122,0.0206,0.013481,0.0083514,-0.00041912,-0.013959,0.015069,0.001854,0.017552,-0.0009623,-0.0058909,0.0073305
"M648.47T1437.41",0.075852,0.13341,0.031921,-0.065805,-0.033707,0.014087,-0.017921,0.010183,0.015822,-0.013328,0.04628,0.0056369,-0.0071051,0.001435,-0.0035307,0.01127,-0.0023497,0.016671,-0.01143,-0.003224,-0.0012587
"M649.48T1420.61",0.076669,0.138,0.028833,-0.048705,-0.0027792,0.012304,-0.062835,-0.0021288,0.0059258,0.00045957,0.043213,-0.0048898,-0.0071453,0.0080714,0.0073091,-0.023161,-0.00019703,0.010394,-0.029537,-0.012254,0.008705
"M649.48T1386.28",0.061355,0.14698,0.028067,-0.046614,-0.0085277,0.010934,-0.040563,0.011658,0.020206,-0.026583,0.018498,0.0052197,0.0028729,-0.011169,0.0020562,-0.0034479,-0.013707,0.014964,0.013094,0.0037165,-0.0065906
"M650.48T1420.61",0.060538,0.13602,0.023066,-0.049415,-0.0042077,0.020308,-0.041871,-0.0010791,-0.0096928,0.0037413,0.047893,-0.005756,0.0074733,0.0094822,-0.0099595,-0.034444,-0.023703,0.002129,-0.032398,-0.023031,0.015383
"M650.48T1403.57",0.058364,0.14096,0.026467,-0.052745,0.0070756,0.028001,-0.042149,0.018381,0.00082556,0.021727,0.050797,-0.0048081,0.003211,-0.025746,0.0096908,-0.022822,-0.01575,0.0065459,-0.0038387,0.0010228,-0.0065538
"M653.86T17.74",-0.024774,0.03833,0.004036,-0.005963,-0.0096468,-0.013686,0.023168,-6.4034e-05,-6.6521e-06,-0.016782,0.0077861,-0.053392,0.012358,0.024479,0.0014422,-0.023095,0.0076537,0.0088835,-0.032867,-0.0086338,-0.00075588
"M660.87T12.55",0.0054271,-0.00058595,5.9821e-05,-0.0096072,0.047259,-0.0085469,0.034695,0.016532,0.0095421,0.032907,-0.013913,0.0017003,0.016468,0.020243,-0.023138,0.059603,0.014654,-0.018932,0.0031606,-0.00074148,0.0084099
"M660.87T17.56",-0.071616,0.020686,-0.0047966,-0.015954,-0.0056642,0.058377,0.0053201,0.013448,-0.0021708,-0.006524,0.0079132,-0.0013401,0.0024313,-0.024238,-0.0040824,0.0032409,0.00063016,-0.00052187,-0.0027247,-0.013359,0.010127
"M663.46T1386.95",0.043506,0.043589,0.026505,-0.03305,0.05131,0.079492,0.023572,-0.010805,0.018051,-0.05151,0.05423,-0.0413,-0.0074351,-0.029794,-0.047769,0.029609,0.037686,0.025853,-0.0048175,-0.0084665,0.0087393
"M664.85T11.54",-0.0052495,-0.0044366,-0.0086124,-0.020396,0.016262,0.044233,-0.026459,-0.0054819,-0.034153,-0.024041,-0.027533,0.0047792,0.010898,-0.049809,0.011535,-0.013399,0.037735,-0.016324,0.017657,0.0076545,-0.0037624
"M664.85T18.57",-0.01728,0.038983,-0.0050729,0.0043883,0.017737,-0.00077794,0.018938,-0.012114,-0.0078988,-0.0070713,0.026567,-0.0048914,0.022743,0.0080482,-0.008478,0.021309,0.0031441,0.00063588,-0.024088,-0.0070648,0.0012877
"M665.47T1403.68",0.079807,0.1205,0.03356,-0.065923,-0.013837,0.023493,-0.041786,0.023193,0.024433,-0.016429,0.051906,0.00086129,-0.013835,0.0058885,0.0031311,-0.026844,-0.010313,0.028462,-0.02541,-0.00043304,-0.0063102
"M665.47T1386.55",0.083685,0.12058,0.030175,-0.061739,-0.015698,0.022924,-0.037352,0.029659,0.012388,-0.023216,0.05815,-0.0064489,-0.017259,0.011202,0.0010856,-0.030063,-0.010907,0.048462,-0.027649,0.010377,-0.021579
"M666.48T1403.51",0.082121,0.11771,0.038673,-0.067231,-0.019838,0.0096802,-0.051576,0.038002,-0.017972,-0.017264,0.064252,0.02077,-0.006359,0.042262,-0.014228,-0.04172,-0.0031707,0.023803,-0.030516,-0.028812,0.017086
"M667.87T17.56",-0.048871,0.053313,-0.0039603,0.042419,-0.025009,-0.00057247,-0.012899,0.040804,0.006643,0.038161,-0.019836,-0.032612,-0.0053474,-6.7241e-05,0.010402,-0.0019432,-0.022923,0.0082555,0.027505,-0.0054174,-0.00089838
"M670.37T13.55",-0.00062262,-0.0036167,0.0085572,-0.019842,0.020303,-0.026461,0.026536,0.047051,0.0087533,0.024485,0.010472,0.00030017,-0.0097357,-0.010845,-0.0095564,-0.013026,0.017809,0.019933,-0.0059283,-0.0069547,0.010035
"M671.36T17.55",-0.025274,0.047087,0.0077458,-0.012169,0.034558,0.0012598,0.020206,0.0057175,-0.0029192,0.0023561,-0.030066,0.024701,-0.0097183,-0.026409,-0.065714,0.015132,-0.070931,-0.0061976,0.044518,-0.0011222,1.8892e-05
"M671.86T17.56",-0.030554,0.0081014,0.033676,0.010455,0.010082,-0.0094237,0.017158,0.047148,-0.00511,0.0093288,-0.022791,0.039253,0.018178,-0.040238,0.0071989,0.025551,-0.02701,0.083296,-0.018328,-0.012676,0.0053353
"M672.87T17.56",-0.053558,0.0046609,0.022021,-0.046738,-0.0025309,-0.0055556,-0.003257,0.049835,-0.00087709,0.018106,-0.028451,-0.024297,-0.016451,-0.021449,-0.026519,0.0069764,-0.015795,0.01102,0.0065893,-0.0031864,0.0031291
"M673.87T17.56",-0.025742,0.019206,-0.022625,0.00035654,0.032473,0.0038814,-0.055723,0.0092761,-0.05181,0.041059,-0.0060824,0.017527,0.016247,-0.045539,0.038012,0.00054705,0.057613,0.00034309,0.051747,0.0013872,0.0014966
"M676.85T19.54",-0.018188,0.027957,0.014378,0.039873,0.014679,-0.0001638,0.023926,0.033566,0.0044235,0.033062,-0.025085,-0.006423,-0.0084317,0.0097296,-0.0081247,0.0114,0.013285,0.027966,0.010715,-0.010259,0.0080926
