"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M925.82T12.55","13042.231","18220.498","11490.97","9544.548","12423.776","16277.291","11893.614","12656.145","15457.673","13357.954","11459.998","12017.115","12655.336","11634.8","12803.75","12572.382","12050.261","13412.116","13412.116","10968.808","12826.364"
"M926.49T14.05","6257.754","7110.649","7233.995","5161.715","6540.924","6312.393","7098.744","5498.459","6542.412","6975.262","6459.025","7038.508","7205.761","5496.945","6375.612","4969.216","7238.753","9631.939","9631.939","5636.86","7141.345"
"M926.81T18.56","12806.426","11376.946","10064.101","11628.782","11326.924","11756.148","9240.363","12499.243","14031.995","11293.036","12052.044","11322.353","10848.543","12097.273","9390.086","10195.189","7780.699","8659.902","8659.902","11026.982","13506.48"
"M927.48T16.56","11728.331","11628.403","11921.284","11225.105","10792.125","10951.767","10110.077","8324.534","10297.919","11121.709","12666.521","10837.435","10366.451","12091.235","10740.79","11560.873","9079.74","14440.091","14440.091","11973.814","12149.41"
"M927.81T18.56","9088.312","8048.072","10304.98","8296.868","9133.318","9023.562","7858.763","8217.106","7987.92","9223.588","8189.179","8214.02","8775.56","9729.979","8639.036","11430.188","6405.346","8457.296","8457.296","8826.4","13465.057"
"M928.81T17.56","20646.686","17097.138","18555.911","17730.093","15850.944","20211.322","19311.762","20942.691","15731.831","17496.332","15558.536","32965.622","18717.986","19275.654","16078.653","20459.194","13852.719","27961.972","27961.972","21119.168","20861.434"
"M929.16T14.49","9364.769","9283.632","8251.77","8442.725","8858.159","9245.897","5137.366","8695.915","8661.562","8166.944","8379.062","10222.513","9161.681","8658.555","8511.763","7112.917","8166.848","9745.29","9745.29","9107.24","8679.001"
"M931.15T16.07","11604.632","18888.56","5447.516","19732.316","18293.162","12559.485","16877.494","18374.157","11226.133","18398.852","16767.164","16548","18258.541","11123.27","17042.241","19752.922","15113.555","14911.117","14911.117","18224.51","18220.687"
"M931.15T13.54","11352.798","10045.077","15712.998","11080.94","10638.626","9307.171","17874.231","9312.001","10151.538","8953.653","10371.02","7866.988","8797.818","8172.444","10650.09","19721.065","10352.829","7803.674","7803.674","12427.17","12045.643"
"M931.82T12.55","15847.874","15913.598","18830.322","17992.836","15132.087","16308.122","14413.559","17081.695","14597.25","20415.062","15318.773","15976.685","20177.007","16036.761","16080.853","15674.648","16629.098","13721.04","13721.04","19927.604","16521.416"
"M933.32T17.56","12748.242","21042.94","12980.826","15528.033","13079.287","14295.125","9302.849","12788.618","12156.263","13594.662","13945.712","13653.17","12512.097","12901.804","15237.576","13785.232","8497.317","11706.298","11706.298","12503.398","14633.344"
"M933.32T12.54","10645.725","9284.573","8279.117","8800.322","7869.538","10070.114","10165.706","8579.529","9023.483","10683.956","8005.946","22043.934","10219.992","9214.016","9304.367","8459.939","9691.748","8602.291","8602.291","10435.212","11016.952"
"M933.83T12.55","12190.518","10998.898","13524.452","10693.424","12261.518","12546.536","12243.751","11016.761","11308.335","12040.012","12946.148","11834.582","11449.97","13763.166","11458.787","13028.063","11585.281","11447.664","11447.664","11779.232","12011.928"
"M934.15T16.56","8153.725","7580.445","6787.176","4259.045","8738.813","9832.521","7735.594","7834.452","8025.018","7912.625","7833.182","7863.646","7521.277","5404.63","7499.769","6643.836","6279.445","7143.967","7143.967","7207.558","8599.192"
"M934.8T18.56","13438.421","13157.668","14079","13665.669","9715.058","13660.921","13177.414","15066.069","11005.792","14734.07","14289.106","23645.044","16142.282","13590.65","11578.318","13839.394","9945.59","11839.412","11839.412","13149.33","13660.233"
"M935.81T17.56","9500.311","8901.613","9501.087","9819.37","10688.093","12037.443","7894.742","9373.292","7514.616","9125.294","8711.753","8233.642","10504.912","9752.003","10489.374","6677.974","6066.826","12204.956","12204.956","11265.696","9297.962"
"M936.15T17.56","12009.922","7727.112","5574.714","6063.066","6418.26","6255.073","5106.815","8952.233","5358.309","5615.281","5539.562","6378.838","5107.184","5135.845","6830.43","7069.144","5366.13","7149.288","7149.288","4928.742","6635.54"
"M936.8T18.56","15576.802","15907.58","15760.182","16205.868","15488.326","17769.673","11979.405","16276.058","16740.557","18011.874","15037.468","28179.952","15957.753","14914.61","14752.661","15050.615","9484.148","16217.821","16217.821","12569.596","16176.086"
"M936.81T11.55","9263.866","8988.886","8782.522","8170.438","9895.63","10872.194","8805.795","9849.502","8972.838","9841.436","10713.915","11774.406","9983.297","9333.918","10244.039","9874.429","9843.007","16025.934","16025.934","12260.672","8966.82"
"M937.81T17.56","15821.945","18220.498","19022.94","18307.557","17085.102","14062.39","15251.618","15722.961","20208.96","17969.704","16417.826","16819.791","17634.746","12924.658","16490.379","15875.484","10026.91","22245.377","22245.377","16631.746","14543.089"
"M937.81T12.55","10816.201","11596.686","11799.803","9554.516","9729.166","14973.824","11850.732","10747.279","8435.23","10500.157","10824.223","11046.278","10443.159","12643.818","10517.107","9999.932","10603.034","16786.208","16786.208","10003.922","14770.178"
"M938.31T16.56","3664.585","3861.55","5770.663","2896.427","3548.968","2760.791","4342.988","4829.778","4077.68","4545.584","4987.963","5264.202","3061.516","3215.948","4120.519","4099.644","4502.194","6017","6017","5510.482","6112.213"
"M940.15T17.55","8337.591","9055.084","10732.1","7414.718","7387.821","9739.749","6790.152","8300.075","6562.125","6755.225","7419.667","7405.548","13549.179","12605.704","6913.182","8958.796","5721.603","6175.478","6175.478","7550.584","10032.583"
"M942.81T12.55","32741.42","32298.606","32617.073","29535.686","31668.424","31022.449","32175.439","40735.09","28340.018","32296.6","32308.21","34015.396","32978.081","30665.722","31664.413","30511.123","29702.688","26933.793","26933.793","30511.26","32585.464"
"M943.31T17.56","15243.983","17999.838","12366.53","14519.303","14766.613","22890.57","13117.234","15052.032","13733.938","23496.278","22515.344","24448.918","14270.684","15193.444","15686.92","15444.194","9611.007","10150.342","10150.342","15937.67","13967.463"
"M943.31T12.55","10501.12","8310.858","12726.064","9125.294","10920.492","10132.111","10716.769","10312.795","9341.343","10496.14","10729.761","12115.402","10768.066","11233.6","10922.498","10565.399","9637.594","8897.055","8897.055","10824.376","11267.702"
