"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M536.9T12.55"," 0.164176087","-0.020184378"," 0.038321446","-0.236686634","-0.015539772"," 0.040508908"," 0.163062154"," 0.112161324","-0.251441757","-0.362930256"," 0.019895055","-0.099022761","-0.253899572","-0.579610275"," 0.097760147","-0.197103564"," 0.020650611"," 0.627151190"," 0.627151190"," 0.100308121"," 0.005272737"
"M536.9T17.56"," 0.008997243","-0.082899571","-0.036593599","-0.002617694"," 0.002224139"," 0.057887749","-0.481256682","-0.361324672"," 0.232005089"," 0.195792119","-0.068555449"," 0.930438285"," 0.090581217"," 0.145597126","-0.081829060"," 0.129654152","-0.671552520","-0.102029430","-0.102029430"," 0.168150138"," 0.029360848"
"M544.89T18.56"," 0.24658016"," 0.31361365"," 0.23645036","-0.11840778"," 0.11003985"," 0.03555467","-0.41690735","-0.22640066","-0.18670531"," 0.13175558"," 0.01790673"," 0.32863432","-0.17742892"," 0.06078611"," 0.13137526"," 0.11640142","-0.53780199","-0.22752825","-0.22752825"," 0.05480290"," 0.33480751"
"M544.89T11.54"," 0.10339804"," 0.16977980"," 0.01707032","-0.15988011"," 0.01813294"," 0.15311365"," 0.26633163","-0.11281504","-0.13090895"," 0.22879199"," 0.04356783","-0.40880744"," 0.01575811","-0.18566866"," 0.02986394"," 0.05989662"," 0.18684864","-0.44771894","-0.44771894"," 0.04515263"," 0.55581194"
"M549.19T881.43","-0.25182435","-0.77563794"," 0.23745202"," 0.28863738"," 0.44868836"," 0.34573198"," 0.60630566"," 0.18048656"," 0.09391873"," 0.45946984","-0.08339148","-2.24874875"," 0.62725192"," 0.35024024"," 0.62186688"," 0.48471119","-2.26457405"," 0.18723981"," 0.18723981"," 0.37188452"," 0.13305166"
"M564.89T12.55","-0.13390428","-0.10900163"," 0.09331935","-0.01016079","-0.17988821","-0.07368626"," 0.06542428","-0.26097178","-0.02772751"," 0.22155492","-0.02827003"," 1.03935836","-0.13829245","-0.16488495","-0.09853269"," 0.22378164","-0.00700088","-0.07801714","-0.07801714","-0.07280388","-0.18227891"
"M565.89T17.56"," 0.247267582","-0.162125950","-0.494818718"," 0.142732070"," 0.456088365"," 0.260848109","-0.003600764"," 0.062858581","-0.055038477","-0.292348809","-0.138131674"," 0.094096687"," 0.105621085","-0.009630069"," 0.120095649"," 0.298481523","-0.273187110","-0.183394242","-0.183394242"," 0.129215991","-0.121635585"
"M569.88T19.56","-0.003265325"," 0.142047915","-0.239859217","-0.024660108"," 0.155285560"," 0.355646643","-0.607225596","-0.147067786","-0.335985420"," 0.423603743","-0.058041472"," 0.053537114","-0.402231299"," 0.252690412"," 0.116850005"," 0.312224810","-0.574554074"," 0.206253783"," 0.206253783"," 0.074794312"," 0.093702218"
"M573.47T1437.42","-0.15083448","-0.40282799","-0.02246805"," 0.24022681"," 0.25412391"," 0.05544565"," 0.58053705","-0.02675202"," 0.09343416","-0.15214932","-0.65419546","-1.43016784"," 0.62090755"," 0.13529202"," 0.19069195"," 0.69401897","-1.57775261"," 0.35446587"," 0.35446587"," 0.50993227"," 0.33360568"
"M575.48T1420.61"," 0.05113231","-0.10975096"," 0.18333685"," 0.28429419"," 0.35416096","-0.05945016"," 0.49621793"," 0.08301927"," 0.38149417"," 0.04220099","-1.30908311","-1.62466755"," 0.58290491"," 0.24803155"," 0.35720158"," 0.69634674","-2.43688852"," 0.44856408"," 0.44856408"," 0.53029252"," 0.35207818"
"M575.48T1555.33"," 0.04581422","-0.65103427"," 0.02643667"," 0.25759954"," 0.17741159","-0.07453491"," 0.45587493"," 0.04664722"," 0.92197218","-0.03276524","-1.24214481","-1.04239160"," 0.49780830"," 0.07400291"," 0.46250401"," 0.54917712","-1.66746795"," 0.38961446"," 0.38961446"," 0.07685450"," 0.33900666"
