"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M539.134T89.251",0.0055008,-0.039144,-0.012828,0.020825,0.051469
"M502.995T105.736",0.018465,-0.007001,0.019869,-0.047042,-0.0039774
"M967.36T964.868",0.064174,-0.040002,-0.042297,-0.0011224,-0.043656
"M329.088T474.939",0.014555,-0.014863,-0.029539,-0.029772,0.014326
"M669.182T316.584",0.023673,-0.023753,-0.011475,-0.029027,0.027915
"M1097.514T1402.931",0.024067,-0.0081869,0.037329,-0.045953,-0.020147
"M990.329T838.789",0.050395,-0.05399,0.015371,0.026777,-0.030102
"M240.933T64.89",0.02611,0.022515,0.051273,-0.03073,-0.00053773
"M548.979T106.308",0.032652,-0.010432,0.0053951,-0.056378,-0.0056659
"M1031.288T315.245",0.031258,-0.042617,-0.022223,-0.035598,0.0092313
"M333.109T769.719",0.056661,0.022038,-0.049896,-0.033415,-0.058635
"M324.072T215.478",0.043796,0.074214,0.041642,-0.0234,0.032387
"M830.24T316.247",0.042386,-0.040351,-0.00026714,-0.042439,-0.024588
"M1087.412T876.684",0.023949,-0.03371,0.012525,-0.039627,-0.04196
"M297.244T1278.646",0.0064828,0.0038158,0.013814,-0.067966,0.0038627
"M1094.946T896.052",-0.035968,-0.031822,-0.032589,0.00053184,0.023556
"M385.077T649.201",0.012343,0.00071245,0.017742,-0.037656,0.02473
"M549.205T845.853",0.035935,-0.027564,-0.015357,-0.041517,-0.043336
"M389.108T489.956",-0.012151,-0.09367,-0.026968,-0.030709,-0.025043
"M632.847T316.374",0.041808,-0.0413,-0.014356,0.0046068,0.053661
"M341.535T617.585",0.064661,0.040962,-0.046979,0.011261,0.031369
"M387.034T831.689",0.092195,-0.0019057,-0.012776,0.034818,0.030533
"M455.021T825.04",0.094058,-0.0047709,-0.00053152,0.017173,0.013581
"M941.462T1306.809",0.013578,-0.024543,0.03881,-0.061802,-0.020863
"M1036.399T977.849",0.038806,-0.050978,0.026192,0.073136,-0.022981
"M305.082T1122.457",-0.005402,-0.062146,0.076833,0.042265,-0.03259
"M435.217T805.716",0.035919,-0.050812,0.030323,0.0018629,-0.020086
"M1136.545T907.7",0.0057703,0.029801,-0.069171,0.021177,-0.0080948
"M1130.454T886.215",0.011792,-0.025375,-0.04347,-0.056861,0.062254
"M415.086T168.579",0.00034363,-0.0077543,0.00019633,-0.0084907,-0.052833
"M567.333T903.822",-0.014608,-0.015931,-0.096314,-0.0075222,0.044663
"M1163.56T905.015",-0.049979,-0.024936,-0.097776,0.0084735,0.054515
"M401.18T764.21",-0.033849,-0.063436,-0.052416,0.027949,0.035403
"M823.337T914.416",0.053541,-0.028594,-0.01666,0.037511,0.0012804
"M397.259T1311.545",0.0013891,-0.0039542,-0.026241,0.019462,0.070303
"M443.191T791.98",0.03123,-0.039367,0.016299,-0.0065037,0.0053578
"M413.167T733.785",0.035332,-0.0071271,0.02263,-0.021106,-0.022022
"M341.259T618.637",0.054371,0.018973,-0.047358,0.0013417,0.020615
"M859.153T942.886",0.0033432,0.0076751,0.032217,-0.077068,0.0033249
"M633.753T316.098",0.026291,-0.03963,-0.044142,-0.0094471,0.053471
"M919.334T939.971",0.059869,0.0010722,0.0018976,-0.026839,-0.00953
"M863.373T951.624",0.07015,-0.023862,-0.012205,0.038706,0.0083246
