"","PC1","PC2","PC3","PC4","PC5","PC6"
"M449.205T834.832",0.049466,0.066281,-0.029713,-0.0039584,0.039368,0.0018354
"M439.083T756.683",0.034327,-0.04596,-0.0013577,0.015514,-0.0015288,-0.0055328
"M479.19T902.518",0.0042916,0.07521,0.014923,0.009427,0.003218,0.0013447
"M413.081T316.361",0.020718,0.011364,0.0053096,0.019898,-0.019792,0.0039648
"M417.177T763.775",-0.027405,0.036188,0.0028292,0.077854,-0.043096,0.00060493
"M225.002T107.866",0.040152,0.016849,0.064891,-0.01622,-0.0015661,0.015434
"M947.485T901.595",0.024227,-0.029359,-0.041912,-0.046815,-0.024723,-0.0079638
"M399.165T851.906",0.038998,0.027771,0.011563,0.016932,0.0081167,-0.0034531
"M895.304T938.238",0.049125,-0.010901,-0.043353,0.016812,-0.012863,0.0063444
"M455.081T744.378",0.034937,-0.019084,0.046589,-0.00052761,-0.0046565,0.0037949
"M430.136T769.014",0.051269,0.047412,0.0047118,0.03587,-0.080329,0.0019033
"M590.274T907.848",-0.0076207,-0.05265,-0.021879,-0.029672,-0.028645,0.0066411
"M353.181T807.324",0.033371,0.055428,0.015702,0.034104,-0.030047,0.011312
"M419.115T799.29",0.01556,-0.01637,0.031309,0.031475,-0.010435,0.0076871
"M139.002T112.479",0.022597,-0.0058144,0.024493,-0.057209,0.0070399,-0.0069276
"M1095.872T896.96",0.0071404,-0.040946,0.047911,0.03416,0.033499,-0.0040753
"M429.646T308.971",0.025412,0.021763,0.020294,-0.044988,-0.0017938,0.0045847
"M968.4T974.568",0.044164,0.020047,-0.06026,0.062211,-0.020225,0.015256
"M1015.586T1347.819",0.027149,0.036928,0.015503,0.0063985,-0.013126,-0.0043379
"M1033.603T1229.397",0.013653,0.049873,0.027781,0.020943,-0.0013908,-0.01281
"M533.169T900.984",0.025814,0.008891,0.058992,-0.035651,0.046579,0.015591
"M1095.01T894.541",-0.019266,0.041074,-0.020918,-0.027821,-0.023932,0.0022546
"M1209.581T888.373",-0.015298,0.0068408,-0.0076628,-0.082383,0.0021182,0.011719
"M492.868T66.13",0.010822,0.007745,0.041024,-0.023607,-0.02842,0.00038073
"M567.276T907.878",-0.0034938,-0.044491,-0.030329,-0.029616,-0.051061,-0.012133
"M664.226T813.714",0.032533,-0.0056993,-0.062775,0.051605,-0.0071377,-0.017517
"M1035.397T978.889",0.037163,0.035313,-0.030778,0.064861,-0.028295,0.0088388
"M1162.051T893.06",-0.02457,0.017693,0.0313,-0.028217,-0.017413,-0.00066449
"M812.842T69.273",-0.0074457,0.05462,0.0096906,-0.038956,-0.043624,-0.00013847
"M691.153T854.793",-0.0093958,-0.024812,-0.031993,-0.015931,-0.052321,-0.0041811
"M433.351T780.04",0.013993,-0.010476,0.012737,0.057856,-0.041962,0.0054098
"M1363.57T899.951",0.013236,-0.042233,0.01815,-0.047526,-0.056027,-0.010508
"M410.078T615.621",0.072359,-0.10525,-0.0070665,-0.0084027,0.093054,-0.0038303
"M1125.418T877.844",0.042018,0.044752,-0.057025,-0.014361,0.021197,0.0092797
"M483.183T857.732",0.039678,-0.003053,0.034785,0.011706,-0.0833,-0.0055045
