"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M449.347T1490.033","113243.7","110810.7","125642.7","149597.0","158000.0","113760.0","136000.0","253000.0","214091.1","104197.3","244854.9","121515.9","131822.8","163000.0","133005.4","178415.3","123539.5","168000.0"
"M374.303T1319.161"," 67083.76","103723.93","112107.06"," 48331.57"," 55600.00"," 55980.85"," 76000.00"," 37300.00"," 46823.16"," 27078.40"," 17076.37"," 40727.62"," 56551.26"," 48500.00"," 71007.28"," 28558.01"," 57545.57"," 27200.00"
"M504.265T1099.137","  8042.433","280340.786","278250.498","118054.691"," 86800.000","145850.339"," 91200.000","115000.000","101751.407"," 12353.536"," 99608.191","  3387.685","114212.401","125000.000","111202.276"," 95723.916","159371.254"," 95400.000"
"M479.188T913.185","   760.3332"," 29252.1070"," 50165.8060","431684.8690","134000.0000","287562.5930","375000.0000","197000.0000","303139.4770","  3816.3356","198149.8050","  1322.6863","303354.9733","296000.0000","318825.5380","252249.4730","413214.6000","189000.0000"
"M291.195T1053.001","  3826.480","285157.375","352887.774","442613.040","247000.000","368403.096","366000.000","114000.000","183139.386","  9053.305","194649.973"," 14287.068","425410.443","210000.000","415387.682","185197.346","252647.289","231000.000"
"M821.505T1179.269","     0.000","262457.535","244059.415","145096.405","143000.000","202588.397","159000.000","163000.000","159894.235","     0.000","191155.507","  3320.679","162897.839","159000.000","176001.657","123427.283","154987.791","182000.000"
"M820.327T1006.792","  1367.957"," 22036.529"," 48770.183","125801.709"," 74100.000"," 70964.707","108000.000"," 79800.000"," 92224.196","  1709.232"," 64943.838","     0.000"," 55443.153"," 72200.000"," 72674.783"," 65417.338"," 63100.907"," 52600.000"
"M764.518T1295.888"," 66300.14","170012.44","262870.92","115943.17","146000.00","106402.62","140000.00","142000.00","157640.65"," 16302.92","256218.37"," 26886.17","145936.51","111000.00","128460.30","111316.06","114860.01","112000.00"
"M471.313T1295.888"," 21542.85","299762.26","166034.24","147749.42","136000.00","134672.79","106000.00","140000.00","115348.91"," 35012.73"," 95587.76"," 42536.77","103692.32"," 95300.00","113762.25","148654.73","121607.00"," 99800.00"
"M534.402T1422.678"," 65285.88"," 92021.56","143253.73","154960.03","140000.00"," 93524.22","132000.00","195000.00","188992.17"," 50417.32","248373.14"," 68297.39","116439.27","152000.00","126749.96","222648.42","141997.85","160000.00"
"M765.518T1313.696"," 53331.25","177554.74","185700.31","132439.83","126000.00","151163.64","125000.00","132000.00","131971.86"," 33497.93","137101.67"," 60358.05","147989.47","139000.00","111790.57","116151.87","129826.49","129000.00"
"M1003.558T1223.957","  2525.870","144753.656","157369.376","103945.046","122000.000","147201.719"," 92100.000","157000.000","137683.264","  2150.994","173934.925","  7185.513","108165.955","127000.000","100683.004","141501.428","150990.355","143000.000"
"M415.326T1295.888"," 71958.18","148196.44","159772.35","180245.78","122000.00","144091.11","181000.00","101000.00","124953.62"," 66841.00"," 88474.09"," 90118.50","160861.70"," 98400.00","194067.80"," 92720.78"," 94998.27"," 79400.00"
"M653.413T1286.062"," 25271.13","157173.72","167730.59","181515.97","167000.00","141001.25","160000.00","198000.00","151322.05"," 22145.24","160333.85"," 27169.08","148538.74","149000.00","145942.11","181305.48","174786.80","169000.00"
"M1102.351T817.469","12334.98","50863.08","69708.58","78703.36","66300.00","59550.56","82800.00","38800.00","53149.75","13546.60","42336.29","14036.03","55500.45","61400.00","54356.96","65042.59","76466.08","56800.00"
"M549.424T1473.203"," 92484.13","106916.65","147552.38","277157.34","186000.00","156161.06","224000.00","267000.00","320723.93"," 96277.20","291152.49"," 87631.56","227203.63","211000.00","216884.30","242720.26","170376.33","187000.00"
