"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M423.211T1338.363","122076.2597","310222.07","269250.678","189278.809","189000","263841.304","187000","191000","179991.11","94977.372","215295.112","114683.9707","211481.4517","172000","220211.816","180229.806","146713.112","192000"
"M886.353T1006.792","9396.4631","35386.349","54429.982","87661.627","53600","62524.275","84600","73200","74981.799","7985.6678","82175.224","12367.085","64002.6781","55500","57012.543","57339.016","60500.361","62000"
"M585.283T918.479","4197.5368","57708.363","67834.892","46107.503","70100","57735.618","45500","27600","29533.315","4625.1565","25711.265","4650.5535","25439.9773","56200","34259.819","30407.499","51174.449","49500"
"M956.379T959.199","14181.0908","48687.792","84594.569","134121.394","105000","91598.976","130000","92900","115383.971","7025.1252","111144.508","13239.1722","80937.1736","96400","97436.087","85661.455","80593.021","99200"
"M329.157T1608.526","122997.5359","94952.883","85513.005","123320.676","141000","102079.73","118000","123000","148481.04","128071.1241","160809.376","131589.0839","145660.0344","122000","141941.88","126411.515","152113.222","137000"
"M549.19T901.604","295.71664","102832.656","274541.633","157256.999","273000","135376.525","164000","315000","318256.923","3281.8508","426018.396","1478.5832","164716.2175","188000","152543.545","295983.379","214992.341","422000"
"M822.526T1212.039","20208.255","210598.901","205964.119","118934.355","112000","158530.027","124000","151000","102818.522","16834.8815","172864.45","10029.2057","121785.99","131000","142755.676","127573.452","125301.597","148000"
"M351.108T857.905","21445.2347","289118.119","176069.92","255208.657","236000","214382.285","193000","109000","128616.234","16492.6358","153354.746","13940.7375","148098.7458","132000","144541.355","113495.353","148254.396","156000"
"M640.557T1608.472","52851.229","54887.321","61274.378","78178.298","82600","99667.144","81100","91400","95379.421","45035.0672","115510.812","58549.35","80158.4933","67700","71857.501","94407.514","69764.604","71500"
"M423.212T1319.031","126128.3267","320811.701","278610.073","194131.083","189000","263685.58","197000","165000","179869.195","100973.0051","182964.435","120480.4626","211316.6492","172000","220024.692","151524.935","138495.594","192000"
"M541.474T1573.977","5777.828","52112.167","58834.071","124532.059","169000","226777.296","1e+05","227000","261700.702","9605.7539","174759.356","7623.7215","124988.6426","150000","99261.45","179022.931","144732.186","145000"
"M519.225T1025.439","2596.0179","34676.039","129507.647","448614.275","190000","191944.522","388000","116000","237803.141","8510.0997","163429.823","6390.1904","267834.7441","143000","264379.61","103614.575","153872.438","163000"
"M817.32T1025.439","4833.8009","10536.783","41665.759","95930.257","54000","46374.544","84900","48900","86247.989","4066.658","73676.076","813.3316","75782.5518","74600","77431.419","52476.337","58008.278","51000"
"M629.459T1473.698","154737.2125","288053.576","279524.287","315554.708","317000","212653.253","226000","432000","338296.082","97407.3634","400797.367","88275.6055","285452.661","301000","258083.082","377048.767","296942.408","344000"
"M847.517T1163.004","2174.9207","874899.681","875194.389","279290.478","192000","224740.629","348000","117000","102017.624","6572.7834","174655.045","6238.8333","328151.5409","157000","423660.328","109854.253","162387.237","307000"
"M898.349T936.403","9190.3884","48918.711","69643.952","102085.497","78500","75940.387","112000","80100","103903.108","8246.6208","112179.365","10802.243","91227.812","96800","95952.429","87182.225","81659.572","88300"
"M652.416T1356.524","28020.5514","162743.201","209119.406","179345.927","174000","193038.666","187000","233000","253448.438","17937.724","246905.74","38683.3068","201532.9432","164000","230921.226","176182.552","222380.918","237000"
"M449.365T1540.699","155479.3609","174479.126","204876.936","208962.22","225000","163592.969","196000","341000","277249.221","156073.219","317794.473","177806.3072","185330.088","231000","204355.953","205463.853","208933.328","232000"
"M537.533T1295.888","8050.1714","68647.361","58469.949","9693.615","38800","16166.711","13300","7970","8347.275","9502.7629","1281.699","10747.8212","18270.7546","17700","9084.323","6408.495","13261.754","9820"
"M561.396T1195.638","17371.921","85726.851","778915.499","71730.84","48900","68542.446","51500","57000","41886.214","34395.2096","37385.455","24687.1412","51353.1282","51000","63529.138","62164.298","48253.015","54300"
