"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M455.193T892.238",0.040091,0.0173,0.010035,-0.064029,-0.058366,0.027294,-0.01239
"M651.363T1268.695",0.030282,-0.075973,0.016486,-0.00013985,-0.02447,-0.038031,0.026542
"M1255.613T888.434",0.033764,-0.032407,-0.0020064,0.01972,-0.060479,-0.021922,0.035732
"M701.195T940.853",0.035667,-0.037337,0.010996,0.013521,-0.040526,-0.0038611,0.029879
"M587.201T848.147",0.036945,-0.021989,0.0020108,-0.040446,0.01796,-0.010584,0.0018609
"M1014.419T974.744",0.045279,0.060227,-0.022876,-0.03787,0.015567,0.042934,0.050235
"M383.555T317.319",0.032471,-0.024719,0.0046084,0.0046206,0.026473,0.0070921,-0.0091563
"M593.857T757.673",0.032897,-0.072903,0.024319,-0.0015643,-0.02062,0.074376,0.025516
"M569.35T895.921",0.032585,-0.056508,0.011873,-0.0081739,0.039237,-0.006112,0.0036024
"M423.224T921.021",0.03637,0.0024692,0.048581,0.0089775,-0.036978,-0.033208,0.0071026
"M325.2T1323.486",0.027593,-0.018344,6.6546e-05,0.037159,0.013253,-0.03412,0.011633
"M269.103T792.774",0.03452,-0.0018189,-0.0040378,0.021659,-0.035549,0.0064606,0.014198
"M637.025T106.841",0.031492,-0.0072334,0.02314,-0.03739,-0.018015,-0.011055,0.011333
"M334.932T113.331",0.031604,-0.030805,0.01154,0.0034477,0.01591,0.00057264,0.025605
"M433.784T801.352",0.033811,0.025307,0.043475,2.2136e-05,0.05134,0.015886,0.012651
"M1048.557T894.929",0.034338,-0.049786,0.00074712,0.028579,0.031921,0.0050908,-0.0034466
"M295.104T156.471",0.035652,-0.025621,0.0024423,0.029426,0.003437,0.026825,0.013257
"M398.263T1317.762",0.033184,-0.017036,-0.041448,0.029817,0.015128,0.041966,0.036568
"M653.828T318.352",0.028452,-0.028961,0.046636,-0.0085996,-0.028622,0.048873,-0.0023823
"M1103.415T879.391",0.03741,0.046763,0.029072,0.0042779,0.075601,-0.027125,0.0068669
"M997.975T1403.846",0.031225,-0.037131,0.018376,-0.02576,0.058414,0.028651,-0.017985
"M1039.403T917.165",0.041556,0.050093,0.033292,0.0074485,0.027828,-0.052126,-0.010089
"M1037.324T316.098",0.032304,0.011871,0.0058516,-0.0039619,-0.00054818,0.01194,-0.0079697
"M509.218T928.864",0.034758,0.014768,-0.0086895,0.0010355,-0.0096363,-0.0014728,-0.0037372
"M1308.415T315.705",0.022278,0.064533,-0.037397,0.015816,-0.022903,0.078448,-0.0066603
"M311.186T1077.614",0.034238,-0.013078,-0.017521,0.031754,-0.014156,-0.074316,0.0089586
"M969.321T316.442",0.028803,0.046614,-0.030753,-0.016261,0.016299,0.01754,-0.010734
"M333.083T110.42",0.035034,-0.010117,-0.0003388,0.006317,-0.04917,-0.027248,0.0036536
"M1063.398T908.83",0.039574,0.011149,0.018186,0.06921,0.044283,-0.00064803,0.028663
"M361.512T316.902",0.033944,0.017524,0.04181,-0.0050265,0.027272,-0.044577,-0.017877
