"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M653.828T318.352",0.7387,0.77482,0.78016,0.78379,0.78378,0.78378
"M232.059T185.959",0.73812,0.87344,0.87573,0.87519,0.87519,0.87519
"M773.211T817.036",0.73284,0.73885,0.74683,0.74593,0.74592,0.74592
"M1162.945T896.606",0.73187,1.0875,1.0798,1.0782,1.0782,1.0782
"M268.959T125.12",0.72858,0.92294,0.91675,0.91549,0.91548,0.91548
"M1192.04T901.764",0.72515,0.72032,0.71517,0.72034,0.72039,0.72039
"M385.077T649.201",0.72417,0.75607,0.75986,0.75902,0.75902,0.75902
"M1030.586T1195.906",0.72167,0.77856,0.77519,0.77457,0.77457,0.77457
"M798.851T67.54",0.71982,0.78696,0.80719,0.82761,0.82761,0.82761
"M1162.717T895.445",0.71723,0.99956,0.99475,0.99879,0.99878,0.99878
"M252.965T98.618",0.7151,1.0429,1.0384,1.039,1.039,1.039
"M1031.899T1225.646",0.70858,0.74929,0.7471,0.74742,0.74743,0.74743
"M289.446T802.654",0.70549,0.69896,0.75348,0.75541,0.75547,0.75547
"M557.187T899.436",0.70529,0.67123,0.66784,0.66696,0.66696,0.66696
"M285.243T1390.408",0.70485,0.70714,0.70951,0.70868,0.7087,0.7087
"M564.68T1183.74",0.70296,0.70267,0.70745,0.70652,0.70651,0.70651
"M638.078T817.768",0.69851,0.6491,0.66465,0.66739,0.66739,0.66739
"M589.773T907.878",0.69772,0.70562,0.70959,0.71049,0.71048,0.71048
"M408.906T66.13",0.6964,0.93424,0.93228,0.93173,0.93173,0.93173
"M562.892T1151.046",0.69317,0.644,0.63938,0.6454,0.6454,0.6454
"M596.277T932.512",0.68947,1.142,1.1346,1.1386,1.1386,1.1386
"M1269.507T907.7",0.68832,0.7728,0.78589,0.78494,0.78493,0.78493
"M1029.931T1194.947",0.68768,0.69923,0.69445,0.69498,0.69504,0.69504
"M567.276T907.878",0.68732,0.85932,0.86323,0.86236,0.86235,0.86235
"M391.065T766.545",0.67987,0.7791,0.77385,0.77275,0.77275,0.77275
"M1136.545T907.7",0.67802,0.83118,0.8359,0.83489,0.83489,0.83489
"M209.025T89.634",0.6723,0.78789,0.80649,0.8071,0.80709,0.80709
"M693.424T1336.51",0.6717,0.75626,0.75371,0.75806,0.75806,0.75806
"M567.778T908.116",0.66883,0.8592,0.85783,0.85679,0.85678,0.85678
"M653.717T312.26",0.666,0.61818,0.61508,0.61788,0.61796,0.61796
"M297.244T1278.646",0.6475,0.81012,0.81248,0.81238,0.81238,0.81238
"M385.077T746.611",0.64738,0.77867,0.77431,0.77453,0.77454,0.77454
"M565.054T1199.484",0.63819,0.60926,0.63089,0.62999,0.62998,0.62998
"M526.316T1188.04",0.63765,0.81662,0.82553,0.8332,0.83326,0.83326
"M590.274T907.848",0.6143,0.71638,0.73398,0.73326,0.73327,0.73327
"M560.841T1187.938",0.59712,0.55568,0.5536,0.55463,0.55472,0.55472
"M610.83T67.188",0.58198,0.72329,0.72019,0.72352,0.7236,0.7236
"M589.271T908.408",0.57819,0.71503,0.72473,0.72443,0.72442,0.72442
"M590.775T907.789",0.54886,0.89959,0.90382,0.90263,0.90267,0.90267
"M1163.56T905.015",0.53071,0.73654,0.73178,0.73446,0.73471,0.73471
"M1193.041T904.79",0.51519,0.66963,0.67493,0.67719,0.67723,0.67723
"M1163.085T907.707",0.44584,0.70842,0.72913,0.7358,0.7358,0.7358
"M333.135T1582.426",0.42488,0.75896,0.7547,0.75382,0.75381,0.75381
"M565.05T98.887",0.36777,0.40809,0.40517,0.40587,0.40657,0.40657
"M206.082T164.917",0.29855,0.96619,0.95946,0.96638,0.96645,0.96645
"M1134.038T907.684",0.29506,0.28362,0.29462,0.29543,0.29543,0.29543
"M324.072T215.478",0.13763,0.23844,0.30124,0.34119,0.34119,0.34119
"M1094.946T896.052",0.13089,1.3381,1.3288,1.3269,1.3269,1.3269
