"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M387.02T108.554","10753.2771"," 9806.6243","16766.0377","13027.6109","16314.9256","  493.0141","16830.1560","10067.2815"," 8755.8902","11803.4033","17696.6690","  179.8743"," 8129.4270","12172.5561","10621.0884","  401.0000","15634.5134"," 9358.5873"
"M711.218T782.65","1954.2119","1444.5781","3535.1075","6477.3304","2965.5381","   0.0000","5031.2805","2542.0854","4016.0692","7219.9143","6972.4230"," 348.6075","1513.0774","5201.9741","3411.7803","   0.0000","1828.6014","3165.5366"
"M890.319T900.562"," 5784.716"," 2283.063"," 6684.451"," 6025.574"," 5435.711","    0.000"," 8111.538"," 9339.993"," 6131.087","11488.738"," 4467.712","    0.000"," 6196.002"," 5549.424"," 6387.525","    0.000"," 6878.231"," 5720.608"
"M1007.203T89.251","2180.3452","2379.8561","2646.1020","3234.9460","1659.4049","   0.0000","5526.1158","3363.5225","7960.3610","2838.0857","2320.7187"," 224.4917","3535.9359","1535.8955","2375.4369","   0.0000","5571.4526","3584.5522"
"M443.058T752.856","29874.76","20518.66","24004.58","31655.22","15295.23","    0.00","41721.89","19981.41","25697.76","28101.23","23822.79","    0.00","22120.13","36161.36","34140.65","  219.00","31600.85","37006.34"
"M1129.441T885.407"," 3873.241"," 4012.147"," 5468.728"," 4606.674"," 3782.547","    0.000","10260.225"," 5156.519"," 4702.948"," 7945.559"," 6788.496","    0.000"," 6739.077"," 6348.832"," 5717.870","  236.000"," 4992.032"," 8705.657"
"M869.171T823.716","3913.3004"," 356.5078","3833.9687","2133.5037"," 349.9585","   0.0000","2506.7994","3701.0952","3948.3948","3122.3021","4817.0083","   0.0000","2342.4551","5656.3150","4363.3189","   0.0000","1904.5554","4281.8789"
"M964.359T921.966"," 486.0406","   0.0000","1670.7361","1969.7544","2482.9743","   0.0000","1977.5955","2177.9176","2460.5626","5428.7631","3562.9501","   0.0000","1728.1252","1785.3770","2059.6410","   0.0000","2316.9529"," 704.4508"
"M1613.665T937.741","  772.0402","  788.8863"," 4796.1657"," 3830.4274"," 3293.7500","  457.5597","15769.3774"," 6108.6445","11201.3222","18129.1129"," 7821.9562","  375.7582"," 9020.1224"," 6720.3575"," 1771.9713","  214.0000"," 3589.0100"," 2927.6295"
"M420.999T106.905"," 7257.155"," 6421.978","10777.403"," 5707.079"," 3970.325","    0.000"," 4632.052"," 6172.810","14698.473"," 7056.465"," 5516.175","    0.000"," 6090.711"," 6120.838","10353.376","    0.000","19675.250","20560.222"
