"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M909.388T926.435","-0.3197516","-1.4527050","-0.2669489"," 0.2308811"," 1.0684306"," 0.4560926"," 0.2840011"
"M549.258T834.983","-0.1238188","-1.5045675","-0.2755145"," 0.2200782"," 0.6928602"," 0.6675852"," 0.3233771"
"M415.744T872.34","-0.3789001","-0.8815423","-0.3241050"," 0.2642282"," 0.9255347"," 0.1991696"," 0.1956148"
"M451.125T735.96","-0.3878324","-0.8859931","-0.5052675"," 0.1638953"," 0.9668137"," 0.3259556"," 0.3224284"
"M361.481T320.767","-0.3702783","-0.5755092","-0.4477262"," 0.1291971"," 0.9944201"," 0.4532255","-0.1833291"
"M409.075T744.412","-0.54666345","-0.45181070","-0.55674730"," 0.07592890"," 1.02976924"," 0.41747103"," 0.03205229"
"M457.136T788.61","-0.4394640","-1.1217469","-0.3242861"," 0.3435189"," 0.8998111"," 0.4039358"," 0.2382312"
"M311.138T170.155","-0.61184491","-0.58794153","-0.36584133","-0.06352597"," 1.04202414"," 0.42417429"," 0.16295531"
"M593.763T756.056","-0.69268995","-0.30576138","-0.67609982"," 0.31124985"," 1.14682425"," 0.06314977"," 0.15332727"
"M392.068T765.784","-0.53302979","-0.44473911","-0.51630639","-0.06618093"," 0.92678371"," 0.37703400"," 0.25643850"
"M433.661T789.942","-0.5516172","-0.6836001","-0.3182632"," 0.1948602"," 0.9143879"," 0.2022062"," 0.2420262"
"M919.493T1102.884","-0.96593101","-0.33634286","-0.37554550"," 0.50058330"," 0.76426012"," 0.34155732"," 0.07141863"
"M437.044T765.875","-0.4790915","-0.8343997","-0.5219428"," 0.1721322"," 0.9616364"," 0.5658731"," 0.1357923"
"M715.427T310.719","-0.48850986","-0.35961374","-0.71877456"," 0.06701178"," 1.04825311"," 0.28511859"," 0.16651467"
"M1095.84T892.791","-0.5582559","-0.2058223","-1.3527985"," 0.3953763"," 1.0180537"," 0.5259177"," 0.1775289"
"M485.168T916.74","-0.4541357","-0.7848316","-0.3499084"," 0.1250730"," 1.0285709"," 0.1969976"," 0.2382342"
"M313.119T883.187","-0.1042760","-1.6010364","-0.2781756"," 0.4325838"," 0.6083795"," 0.5277454"," 0.4147793"
"M433.039T456.919","-0.5729547","-1.2901449","-1.3075189"," 0.4205795"," 0.6428528"," 1.1799910"," 0.9271953"
"M447.259T942.596","-0.58143372","-0.55311336","-0.56542909"," 0.24301593"," 1.03943295"," 0.36842893"," 0.04909835"
"M355.067T660.488","-0.6008321","-0.4980920","-0.2725410","-0.0344596"," 0.9417080"," 0.1209996"," 0.3432171"
"M1134.038T907.684","-0.657191207"," 0.009766125"," 0.133792151","-0.180761278"," 0.293697554","-0.120414635"," 0.521111291"
"M819.254T316.358","-0.5512478","-0.7940364","-0.2591097"," 0.3780722"," 0.5324687"," 0.4693780"," 0.2244750"
"M383.609T322.831","-0.56350307","-0.44491367","-0.54512734"," 0.28540937"," 0.97695375"," 0.23068094"," 0.06050002"
"M341.31T626.276","-0.7830397","-0.7673336","-0.6067472"," 0.3000556"," 1.0264606"," 0.6156904"," 0.2149140"
"M579.151T798.32","-0.458578174","-0.585146031","-0.631155812","-0.070329107"," 0.975132562","-0.008350457"," 0.778427018"
"M784.154T761.471","-0.548941496","-0.606579340","-0.423250312"," 0.158649018"," 0.987373522"," 0.434035823","-0.001287215"
"M323.187T1016.246","-0.8068767","-0.4104032","-0.4560007"," 0.3001291"," 0.8033257"," 0.3567480"," 0.2130780"
"M1099.581T1224.487","-0.53857218","-0.70280863","-0.18001967"," 0.24125774"," 0.86050142"," 0.29688120"," 0.02276012"
"M206.988T126.118","-0.42369079","-0.50818491","-0.49723955"," 0.19558109"," 0.97966062"," 0.07264541"," 0.18122812"
"M685.228T857.881","-0.6428061","-1.0243287","-0.3348019"," 0.3007516"," 0.7307758"," 0.8034839"," 0.1669254"
"M441.162T763.637","-0.3398403","-0.9232512","-0.2407564"," 0.2297264"," 0.9642006"," 0.0696180"," 0.2403029"
"M963.275T732.778","-0.5631550","-0.7652779","-0.4389051"," 0.3969901"," 0.7775213"," 0.3166964"," 0.2761302"
"M991.316T318.206","-0.3604776","-0.8209609","-0.3921786"," 0.3484098"," 0.6837621"," 0.2490521"," 0.2923930"
"M867.206T809.129","-0.36054279","-0.77689273","-0.70647773"," 0.27709302"," 1.48425861","-0.08210766"," 0.16466928"
"M403.064T798.991","-0.6594410","-0.1148624","-0.7270832"," 0.2161967"," 1.0552206","-0.1118268"," 0.3417962"
"M836.522T1479.692","-0.70302111","-0.44487140","-0.43638647"," 0.27544731"," 1.01559776"," 0.24865440"," 0.04457952"
"M399.275T1363.391","-0.7044758","-0.5590854","-0.5267844"," 0.1067871"," 0.9425714"," 0.4160285"," 0.3249586"
"M548.179T817.387","-0.4684805","-1.1113773","-0.3779627"," 0.2938417"," 0.6573831"," 0.4624025"," 0.5441932"
"M524.183T892.811","-0.5409458","-0.8205584","-0.2845807"," 0.2387158"," 0.8329527"," 0.3291957"," 0.2452208"
"M518.153T824.178","-0.4831210","-0.8153702","-0.4258738"," 0.1837594"," 0.8524613"," 0.5464614"," 0.1416829"
"M1096.548T894.929","-0.68986674","-0.38971780","-0.34555865"," 0.16154120"," 1.13372432"," 0.10757505"," 0.02230263"
"M999.268T316.316","-0.6856568","-0.6681391","-0.3146502"," 0.3576113"," 0.5931844"," 0.4313238"," 0.2863266"
"M266.366T1577.236","-0.5460915","-0.4243009","-0.3436711"," 0.1135577"," 0.9983676"," 0.2403814","-0.0382432"
"M836.743T1479.398","-0.47282266","-0.54349918","-0.50370092"," 0.16886365"," 0.89944481"," 0.37489777"," 0.07681653"
"M252.965T98.618","-0.07038490","-0.63611082","-0.53834348"," 0.14245092"," 1.25032773","-0.12238817","-0.02555129"
"M529.154T821.794","-0.4065011","-0.8257453","-0.4690674","-0.0492762"," 0.8458510"," 0.4378405"," 0.4668985"
"M487.212T857.117","-0.6501401","-0.6590139","-0.5686280"," 0.1888843"," 0.8582199"," 0.6516899"," 0.1789879"
"M1323.386T316.247","-0.4705308","-0.9523155","-0.2216354"," 0.3893930"," 0.4378688"," 0.4617079"," 0.3555120"
