"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M595.491T1621.712"," 64038.30"," 97861.10"," 95363.40","110872.05"," 98497.94"," 64689.31"," 63319.04"," 92712.54","102232.68"," 86200.00"," 78115.08"," 56134.98","129870.51","115477.65","106000.00","115000.00"," 77648.53","108167.06","106000.00"," 93640.29"
"M942.381T940.951"," 69941.238"," 21075.867"," 58900.265"," 44907.798","133808.071"," 72881.808"," 62797.243"," 99621.212"," 64630.731","309000.000","172770.979","  3453.668"," 86492.384"," 77089.444","119000.000","117000.000","  3503.408"," 99473.529"," 98300.000","120094.273"
"M832.52T1373.493","227515.98","266903.36","199858.18","188669.21","202407.17","196748.77","109085.47","162944.02","231174.40","214000.00","107852.81"," 21448.68","200717.94","163583.93","191000.00","179000.00"," 15088.92","187311.07","154000.00","212161.82"
"M768.289T941.124","30559.287","22403.056","54479.388","58844.210","69185.885","48543.861","93456.379","77059.862","51206.774","94700.000","45202.831"," 2270.956","67868.379","84540.180","67400.000","85500.000"," 7245.704","76108.949","83400.000","65788.379"
"M417.157T908.195"," 85542.07","120203.63","145774.08","194647.43","109411.24"," 96817.57"," 83523.92","133691.80","112852.52","169000.00"," 94689.13","  7655.45","211319.15","198425.54","115000.00","113000.00"," 15075.21","125950.69","151000.00","124010.79"
"M818.274T858.699"," 78881.00"," 61916.37","114130.42","118811.76","108400.96","122036.76"," 80526.02","190138.61","148791.49","317000.00","140971.15"," 17204.24","127638.69","125701.88","115000.00","117000.00"," 26390.02","199830.19","125000.00","178331.65"
"M365.192T1471.536","148319.0","218765.1","163242.5","166138.4","179574.4","148962.7","124518.5","151288.1","144448.6","144000.0","141302.6","119998.8","144224.4","183178.8","135000.0","160000.0","121639.0","156734.7","179000.0","173622.9"
"M853.492T1222.109","199757.58","176022.34","234026.66","278544.44","251955.69","241887.63","191078.80","263729.99","220958.33","286000.00","158804.61"," 22566.38","266703.83","199820.14","238000.00","226000.00"," 24107.05","187715.14","186000.00","246913.45"
"M493.153T817.469"," 38629.903"," 11403.243"," 46590.016"," 46715.767"," 39613.712"," 46348.457","175691.013"," 51021.216"," 35740.678"," 47000.000"," 47401.026","  8276.344"," 46195.815"," 37599.072"," 58700.000"," 39300.000","  7681.588"," 42563.709"," 42700.000"," 43112.193"
"M850.319T935.639"," 39620.787"," 19067.712"," 50375.074"," 67270.997"," 76298.470"," 57623.144"," 55614.749"," 97839.827"," 72086.536","145000.000"," 68801.141","  1372.029"," 85079.168"," 77007.808"," 75200.000"," 70000.000","  6688.297","108216.484"," 89500.000","100535.853"
"M1049.412T957.42","28524.10","15209.78","42652.17","47184.79","34513.88","38970.93","33821.37","57876.82","51733.58","85900.00","40142.52"," 4699.38","42323.78","44212.03","40200.00","56700.00","    0.00","67534.23","62700.00","64546.78"
"M690.261T940.951"," 65807.678"," 22852.115"," 88704.243"," 91314.545"," 95039.716"," 88975.860"," 79667.683","123665.996","102007.835","149000.000","100028.591"," 15233.368"," 79368.873","103388.953","122000.000","129000.000","  5700.959","124409.884","113000.000","107942.046"
"M827.321T940.951"," 66048.253"," 15473.559"," 70689.542"," 59822.863"," 87743.516"," 62376.071"," 58625.898","225160.505","208325.415","406000.000","130497.666","  5142.775"," 96983.700"," 93395.988","125000.000","108000.000","     0.000","211683.774","114000.000","218980.266"
"M677.439T1269.605","420767.180"," 75453.233"," 82066.976","110796.166","222279.108","183479.623","118995.960","320133.049","148645.067","465000.000","438545.830","  5037.409"," 97313.272"," 97246.629","145000.000","187000.000"," 18146.482","195616.362"," 86400.000","273457.865"
"M828.315T926.75"," 41921.639","  8223.669"," 50506.804"," 54275.121"," 55229.599"," 59959.796"," 45913.922","102873.379"," 75125.109","140000.000"," 60851.584","  4661.878"," 73000.834"," 54221.554"," 84800.000"," 82500.000","  8673.448"," 95456.477"," 80100.000","100214.218"
"M796.542T1269.605"," 38555.88"," 88874.49","118866.54","143972.75","101998.94","129742.65"," 84200.39"," 89227.43"," 98782.77","133000.00"," 80091.45"," 89210.48","103286.82","125380.51"," 58300.00","115000.00"," 86509.29","114767.66","126000.00"," 53264.99"
"M866.584T1473.64","13864.700","24072.936","20605.527","19798.786","56061.203","17918.070","16646.589","46563.784","16575.726","20100.000"," 6006.385"," 7671.899","10503.723","36940.995","85100.000","26200.000"," 9854.772","26004.017","15000.000","28465.806"
