"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M975.373T872.624","-0.32418811","-1.33983583","-0.19925768","-0.07333479"," 0.02362475","-0.07955097"," 0.33683561"," 0.18527301"," 0.13022108"," 0.60480043"," 0.05734729"," 0.24108310"," 0.14128788"," 0.25394176"," 0.04175247"
"M908.359T973.898","-0.37874464","-0.90079091"," 0.04232708","-0.12528055"," 0.04991236","-0.21977388","-0.17938211"," 0.13424302"," 0.14251850"," 0.61113270","-0.11062246"," 0.16291136"," 0.13457357"," 0.29463197"," 0.34234400"
"M886.334T992.353","-0.327491152","-1.074611339","-0.006661036","-0.026298768"," 0.012908053","-0.125918448","-0.348528540","-0.052434110"," 0.305784665"," 0.646158534","-0.127758821"," 0.296833834"," 0.580162267","-0.041869997"," 0.289724858"
"M932.854T973.898","-0.002748248","-0.796416972"," 0.271942477","-0.163016275"," 0.364976283","-0.088778144","-0.084469921"," 0.095238815","-0.100509677"," 0.532670791"," 0.051654159","-0.174209661","-0.120324098"," 0.205777779"," 0.008212693"
"M1063.337T834.347","-0.21498455","-0.07225488"," 0.38471957"," 0.24849879","-0.08671243"," 0.05028032","-1.94310742"," 0.22265376","-0.02979158"," 0.56683321"," 0.26428810"," 0.35419276"," 0.24870478"," 0.26113110","-0.25445153"
"M803.491T1372.736"," 0.07526272","-0.27128694"," 0.46132747"," 0.41270614"," 0.17469147"," 0.07192367","-0.24986079","-0.31737152"," 0.37235258"," 0.05914690","-0.74913584"," 0.53086355","-0.26220615","-0.05266706","-0.25574621"
"M812.538T1253.346"," 0.14608951","-0.51881839","-0.56969831","-0.02637959","-0.12634631"," 0.13701095"," 1.15735206","-0.05895085","-0.42435057"," 0.21325833","-0.44483504"," 0.09542339","-0.15139974"," 0.55252132"," 0.01912325"
"M545.399T1295.888","-0.14403544","-0.23771537","-0.36369763","-0.18631515"," 0.05439674","-0.02497115"," 1.70836106","-0.14460359","-0.30120163"," 0.04183467","-0.21538423","-0.09252870","-0.30571287"," 0.08354054"," 0.12803275"
"M850.324T910.27","-0.38683614","-1.15946727","-0.23136252"," 0.08332263"," 0.10039373","-0.16544379","-0.44716997"," 0.44058049"," 0.17759062"," 0.72947449"," 0.02480534"," 0.32504326"," 0.18896586"," 0.15326888"," 0.16683439"
"M293.172T1591.081"," 0.22423998"," 0.37952618"," 0.50687843"," 0.25855137"," 0.15988664","-0.12216499","-1.79162221"," 0.11438228","-0.04937880"," 0.03518871"," 0.05957045"," 0.18282574"," 0.23599630","-0.38932193"," 0.19544184"
"M1001.365T875.234","-0.63714489","-0.55722273","-0.05177403","-0.19840874"," 0.01945805","-0.04128348","-0.12079945"," 0.24666310","-0.01623813"," 0.68911361","-0.16324764"," 0.36656442"," 0.12020606"," 0.20763840"," 0.13647547"
"M937.358T812.644","-0.67639125","-0.54715076"," 0.07454356","-0.09397612","-0.24683040","-0.09244918","-0.07350928"," 0.09484897","-0.06638509"," 0.64099133"," 0.21068240"," 0.44052717"," 0.15144941"," 0.15625221"," 0.02739704"
"M425.216T1473.286"," 0.151871524"," 0.054705916","-0.142095711","-0.064306291","-0.064608952"," 0.007856405"," 0.131825580"," 0.159377531"," 0.403660831","-0.191808726"," 0.178533472","-0.249057040","-0.381803040"," 0.215569690","-0.209721188"
"M853.347T926.093","-0.24842259","-1.33369871","-0.07041986","-0.25596051"," 0.03578127"," 0.24336977","-0.64805802"," 0.14478382","-0.11013872"," 0.64068522"," 0.26431857","-0.23832980"," 0.39669100"," 0.64895443"," 0.53044414"
"M481.203T929.492","-0.54679401","-1.04602870","-0.11134945","-0.09704427","-0.15267387","-0.19276406"," 0.24277871"," 0.49387677"," 0.42343163"," 0.43838689","-0.03566463"," 0.28317396"," 0.05941404"," 0.21866922"," 0.02258778"
"M675.452T1372.394","-0.198287792","-0.102742468"," 0.325540350"," 0.123380957","-0.006073693","-0.157704780","-0.413613166","-0.254346489"," 0.338310775","-0.024792010","-0.662301911"," 0.429769524"," 0.172672184"," 0.191864401"," 0.238324118"
"M1013.72T1325.086"," 0.86762021","-0.14738325"," 0.67386286","-0.12771765","-1.15411793","-0.03300642"," 0.58238132"," 0.19856425","-1.14673470","-1.17123760","-0.13663585"," 0.05575312"," 0.45525701"," 1.03845912"," 0.04493552"
"M958.38T975.822","-0.57977572","-1.41517091","-0.18293178"," 0.07582287"," 0.13984866","-0.07961574"," 0.37579112"," 0.31069036","-0.01632716"," 0.57082371","-0.16128142"," 0.17923994"," 0.17795038"," 0.34012976"," 0.26480593"
