"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M333.203T1120.498",-0.00076038,-0.021639,-0.019891,-0.019578,0.024012,0.031424,0.040801,0.018723,0.020435,0.047399,-0.010265,-0.02138,0.0041311,-0.00014046,0.001515
"M618.492T1624.789",-0.0010392,-0.022669,0.034047,0.02675,0.011748,-0.010099,0.0085917,0.034152,0.0062259,0.010515,0.0053239,-0.0053807,0.021406,-0.016367,0.0085015
"M590.444T1439.586",-0.0033038,0.0078815,0.025431,0.0028448,-0.017593,0.0034123,-0.0042361,0.043473,0.024424,0.0002134,-0.0031938,0.0079744,-0.00075984,0.012103,0.0045376
"M839.557T1356.291",-0.016347,-0.013247,1.742e-05,0.030483,0.0019636,0.017455,-0.0075957,-0.0086019,-0.0084669,0.0065808,0.0045066,0.0061955,-0.0084005,-0.0034701,0.0012179
"M558.473T1423.364",-0.021949,-0.0060605,0.029331,0.02349,-0.0019001,-0.0055186,0.0095667,0.045651,0.0092886,0.053488,0.021202,0.0023377,-0.014858,-0.0016899,0.0011109
"M986.572T1421.54",-0.0036289,-0.011948,0.031121,0.02458,0.011636,0.017687,0.0172,-0.024782,0.012343,-0.0011615,0.0067363,-0.0037567,-0.0086988,-0.013676,-0.0013405
"M933.56T1145.906",0.015464,0.0074646,0.019541,0.0038414,0.034535,0.033027,0.019825,-0.026771,-0.0098674,-0.0017556,0.016172,0.023167,-0.0059116,-0.023679,-0.0025332
"M933.558T1114.912",0.016549,0.0091709,0.021102,0.0050843,0.031685,0.031472,0.017241,-0.028741,-0.010666,0.0016504,0.01397,0.020239,-0.0033251,-0.016183,0.0024296
"M987.596T1238.129",-0.007203,-0.023829,0.012372,0.025948,-0.0094742,0.02908,0.0068691,-0.018148,0.019261,-0.0060481,0.021263,-0.011527,-0.00023694,-0.012571,0.0045553
"M773.52T1456.872",-0.021689,-0.017716,0.014151,0.026772,0.015282,0.010406,0.032469,-0.021015,0.033158,0.0030591,0.0067605,0.0037459,-0.014259,-0.0011739,0.005707
