"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M1134.038T907.684"," 0.2027147"," 0.5718931"," 0.6405448","-0.9079952","-0.5071574"
"M819.254T316.358","-0.31235869","-0.59433436"," 0.02693171"," 0.41704225"," 0.46271908"
"M383.609T322.831","-0.28173120","-0.08783866","-0.25168706"," 0.05394092"," 0.56731601"
"M341.31T626.276","-0.4764155","-0.4555444","-0.2421489"," 0.6237157"," 0.5503931"
"M579.151T798.32"," 0.37898954"," 0.18010066"," 0.10780083","-0.69976098"," 0.03286995"
"M784.154T761.471","-0.3304872","-0.4077443","-0.1620121"," 0.2938121"," 0.6064315"
"M323.187T1016.246","-0.6494380","-0.2553672","-0.3006884"," 0.5702524"," 0.6352413"
"M1099.581T1224.487","-0.2929011","-0.5196747"," 0.2021792"," 0.3849753"," 0.2254212"
"M206.988T126.118","-0.08622631","-0.22407096","-0.20621459","-0.05603348"," 0.57254534"
"M489.691T902.138"," 0.1153872","-1.0713629","-0.3201957"," 0.8560916"," 0.4200798"
"M472.901T67.482","-0.2041234","-0.4672133"," 0.2270382","-0.3131938"," 0.7574923"
"M685.228T857.881","-0.2362637","-0.7591527"," 0.1858659"," 0.5168779"," 0.2926727"
"M441.162T763.637","-0.04418688","-0.76852993"," 0.07883222"," 0.24961854"," 0.48426604"
"M1137.546T907.004","-0.11286486","-0.05381462"," 0.67658364","-0.47260657","-0.03729759"
"M963.275T732.778","-0.15574920","-0.45032711"," 0.02533507","-0.05755803"," 0.63829927"
"M991.316T318.206","-0.05125583","-0.62415820","-0.09069612"," 0.24928414"," 0.51682601"
"M867.206T809.129"," 0.6702185600","-0.1369798960","-0.0004628131","-0.1686424608","-0.3641333901"
"M403.064T798.991"," 0.04303218"," 0.71961498","-0.04100628","-0.67470704","-0.04693383"
"M836.522T1479.692","-0.5347010","-0.1870110","-0.1755830"," 0.4641256"," 0.4331694"
"M399.275T1363.391","-0.397836947","-0.068469139"," 0.004705431"," 0.341914511"," 0.119686143"
"M548.179T817.387","-0.01455759","-0.81888191"," 0.09868858"," 0.65720067"," 0.07755025"
"M524.183T892.811","-0.2937548","-0.6275386"," 0.0122777"," 0.3394788"," 0.5695369"
"M518.153T824.178","-0.07344403","-0.59626377"," 0.01663888"," 0.26838300"," 0.38468593"
"M1096.548T894.929","-0.08993920"," 0.34852600"," 0.41303480","-0.58197569","-0.08964591"
"M999.268T316.316","-0.48569835","-0.46666987","-0.08269585"," 0.51077445"," 0.52428961"
"M393.081T756.691","-0.5508257","-0.2739432","-0.1785168"," 0.5647856"," 0.4385001"
"M836.743T1479.398","-0.2247903","-0.3199657","-0.2663720"," 0.1899704"," 0.6211576"
