"","PC1","PC2","PC3","PC4","PC5"
"M632.993T321.252",0.035016,-0.0089714,-0.020383,-0.0064494,-0.0010525
"M1308.932T316.358",0.039184,-0.001292,0.019695,-0.021135,0.0037644
"M771.369T883.552",-0.0022685,0.042248,-0.0041069,-0.025618,0.00018724
"M673.289T892.945",0.038703,0.0014088,-0.0048309,-0.019064,0.0021281
"M833.365T968.818",0.050057,0.02017,0.013029,-0.025828,-0.0014325
"M893.38T934.735",0.045931,0.0084579,0.067047,0.0045498,0.0087075
"M393.176T847.594",0.038801,0.010792,-0.014294,-0.0057687,0.0033091
"M653.935T315.929",0.034356,-0.0061937,0.0043169,-0.012896,0.0052932
"M865.491T1326.551",0.02611,0.0018941,-0.0092791,-0.011267,-0.00052154
"M449.202T630.506",0.033742,0.0079907,-0.01341,0.018213,-0.00045093
"M437.065T776.272",0.011247,0.019658,-0.0082833,-0.0024066,0.0019393
"M268.959T125.12",0.036033,0.011573,-0.0086556,-0.0031771,-0.001151
"M551.272T837.928",0.036715,-0.015293,0.046438,0.0085392,0.006841
"M456.197T892.811",0.036383,0.0011429,-0.0030025,-0.023247,0.0033445
"M356.995T88.504",0.017995,-0.018116,0.017262,0.044556,0.0019966
"M567.778T908.116",-0.027538,0.041348,-0.0091735,-0.034699,0.0044826
"M559.667T1200.71",0.0037436,0.036049,0.005822,0.059647,-0.00029729
"M455.193T892.238",0.050633,0.0074615,-0.0086962,-0.051035,0.0035776
"M651.363T1268.695",-0.027381,-0.018822,-0.030736,-0.022167,-0.0024035
"M1255.613T888.434",0.010995,0.030723,-0.039968,0.0056091,0.00031682
"M701.195T940.853",0.013334,0.0065321,-0.033435,-0.0071816,0.0020963
"M573.017T749.518",-0.0090014,0.05629,-0.036394,0.045692,0.0013569
"M587.201T848.147",0.035354,-0.014272,-0.024414,-0.029486,-0.0018805
"M429.419T313.767",0.0080102,0.018818,-0.011735,0.05813,0.0006927
"M1223.501T894.767",0.0097557,0.022369,-0.037246,-0.025393,-0.0021296
"M1014.419T974.744",0.059878,0.013731,0.012179,-0.023361,0.0033791
"M383.555T317.319",0.023832,0.0087868,-0.02791,0.014202,0.00046041
"M743.208T992.462",-0.013774,0.013785,-0.0689,0.0028524,-0.0036653
"M1305.428T315.265",0.039833,-0.0045077,0.021918,-0.011629,0.0012856
"M593.857T757.673",-0.021473,0.068331,-0.056892,0.00030852,0.0054954
"M569.35T895.921",-0.025266,0.058472,-0.038121,0.0010333,0.0028971
"M325.2T1323.486",0.018751,-0.025176,0.0011558,0.033379,0.0025467
"M269.103T792.774",0.034923,-0.0026167,-0.0047564,0.009606,0.0016292
"M637.025T106.841",0.031446,-0.017844,0.0040943,-0.038625,0.0031281
"M334.932T113.331",0.016938,0.017708,-0.03215,0.010113,-0.001725
"M433.784T801.352",0.044235,0.004676,0.022461,0.010469,-0.0019583
"M1197.053T906.963",-0.054809,0.036759,0.0096387,-0.082954,0.0022186
"M1048.557T894.929",-0.0059375,0.011879,-0.044769,0.040735,-0.0030595
"M295.104T156.471",0.030665,-0.009449,-0.022105,0.029127,-0.002771
"M354.093T750.969",-0.0054699,0.069115,-0.027109,0.034132,-0.0080835
"M398.263T1317.762",0.034476,-0.015998,-0.036109,0.031997,-0.0016276
"M807.166T938.699",0.03167,0.011426,-0.024612,-0.062081,0.0024873
"M653.828T318.352",0.026565,-0.0046895,-0.0096723,-0.018553,0.0020225
"M1103.415T879.391",0.038092,0.023421,0.047995,0.012223,-0.0057288
"M355.571T782.72",0.026398,0.040831,-0.016077,0.044239,-0.0043178
"M633.572T315.643",0.02931,0.019772,-0.01524,0.024816,-0.0025655
"M1039.403T917.165",0.045669,0.032498,0.040757,0.0096307,0.010812
"M1037.324T316.098",0.035206,0.005435,0.0048138,-0.0043999,0.0031239
"M509.218T928.864",0.034668,0.016468,0.00063286,-0.0018988,0.0060469
"M1308.415T315.705",0.041976,-0.0089648,0.019649,0.003947,-0.0046033
"M311.186T1077.614",0.025634,0.025673,-0.027413,0.035095,-0.0034591
"M969.321T316.442",0.039411,-0.014422,0.018646,-0.013331,0.0032662
"M333.083T110.42",0.023805,0.033077,-0.018386,-0.0050649,0.0021702
"M1063.398T908.83",0.048002,-0.00039407,0.006484,0.06268,-0.0081462
"M969.813T316.499",0.029003,0.023484,0.012007,-0.019954,0.0055096
"M459.959T106.348",0.027898,-0.025707,-0.024086,-0.079728,0.0012941
"M485.178T783.442",0.037181,-0.013369,0.032144,0.0073322,-0.0021229
"M371.133T805.134",0.029854,0.012674,0.066594,-0.010094,0.0022981
"M439.083T756.683",0.026912,-0.01415,-0.026539,0.019019,-0.0038641
"M985.784T316.247",0.040838,-0.0028515,0.017226,-0.021205,0.0021758
"M479.19T902.518",0.03423,-0.006906,0.030984,-0.011664,-0.000493
"M413.081T316.361",0.033403,-0.0093724,-0.012479,0.0016709,0.00058496
"M417.177T763.775",0.029187,0.013357,-0.030347,-0.00053375,0.0018705
"M225.002T107.866",0.035462,-0.019363,-0.017558,-0.016113,-0.0020191
"M547.145T895.878",0.032381,0.038735,-0.036994,0.0015063,-0.00036785
"M947.485T901.595",0.017599,0.015724,-0.0031259,-0.037655,-0.0041384
"M399.165T851.906",0.036643,0.0040907,0.014215,0.0026301,0.006606
"M895.304T938.238",0.040486,0.012722,0.020118,-0.0065328,0.0045617
"M455.081T744.378",0.023299,0.015722,-0.049153,0.0092057,0.004297
"M430.136T769.014",0.048414,0.059244,-0.015866,-0.049402,0.0037587
"M590.274T907.848",-0.035393,0.040557,-0.021678,-0.013201,-0.0034143
"M353.181T807.324",0.041864,0.0054075,0.016476,-0.028098,0.0040573
"M456.925T66.979",0.0046445,0.055922,-0.0077411,-0.026422,0.0086138
"M419.115T799.29",0.014875,0.016254,-0.041043,0.015778,-0.0011168
"M698.988T986.183",0.016208,-0.005062,-0.076786,-0.0087031,0.0025878
