"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M819.254T316.358",1.0893,1.0501,1.0465,1.0464
"M611.147T106.977",1.0889,1.044,1.0402,1.0401
"M465.141T849.089",1.0883,1.0887,1.0841,1.084
"M967.394T924.933",1.0874,1.1072,1.1035,1.1034
"M567.171T792.05",1.0873,1.042,1.0377,1.0375
"M549.174T847.493",1.0866,1.0411,1.0376,1.0375
"M345.119T282.765",1.086,1.0462,1.0456,1.0455
"M1057.411T880.24",1.0859,1.1039,1.0993,1.0993
"M456.197T892.811",1.0856,1.0483,1.0443,1.0442
"M728.269T963.544",1.0854,1.1386,1.138,1.138
"M921.374T936.829",1.0851,1.094,1.0903,1.0902
"M271.07T418.897",1.0849,1.2071,1.2025,1.2027
"M1094.211T893.809",1.0849,1.0428,1.0737,1.0739
"M544.284T936.329",1.0838,1.0967,1.0927,1.0926
"M551.272T837.928",1.0838,1.0517,1.0508,1.0508
"M329.089T195.942",1.0837,1.0515,1.0471,1.0472
"M351.13T801.057",1.0832,1.0405,1.0377,1.0376
"M361.589T316.501",1.0811,1.045,1.0407,1.0406
"M449.202T630.506",1.0794,1.0339,1.0317,1.0316
"M590.015T907.684",1.0794,1.0365,1.0363,1.0364
"M413.167T733.785",1.0791,1.0352,1.0351,1.035
"M709.31T874.193",1.0788,1.0378,1.0338,1.0337
"M338.938T105.668",1.0788,1.0568,1.0524,1.0524
"M475.187T823.258",1.0779,1.0948,1.0908,1.0906
"M626.212T761.224",1.0778,1.0345,1.0317,1.0318
"M341.088T304.64",1.0764,1.0311,1.0277,1.0276
"M481.183T807.444",1.0752,1.0736,1.0697,1.0696
"M806.921T938.616",1.0752,1.0411,1.0428,1.043
"M970.768T318.573",1.0748,1.0295,1.0256,1.0254
"M1136.545T907.7",1.074,1.0458,1.0442,1.0441
"M268.959T125.12",1.0734,1.0346,1.0308,1.0307
"M649.302T900.549",1.0728,1.0278,1.0238,1.0237
"M503.126T874.193",1.0725,1.0375,1.0365,1.0365
"M507.151T845.473",1.0719,1.0573,1.0529,1.0528
"M702.255T837.404",1.0716,1.0277,1.0268,1.0267
"M702.25T942.066",1.0699,1.0261,1.0247,1.0246
"M454.144T914.383",1.0697,1.1085,1.1046,1.1045
"M399.165T851.906",1.069,1.0365,1.0322,1.032
"M545.846T78.22",1.0677,1.0428,1.0387,1.0388
"M729.273T847.264",1.0677,1.0241,1.0198,1.0198
"M323.019T128.103",1.0673,1.0281,1.0241,1.0239
