"","Comp 1","Comp 2","Comp 3","Comp 4"
"M139.002T112.479",0.015606,-0.010317,0.028801,-0.024713
"M1095.872T896.96",0.014975,0.039042,0.052023,0.01297
"M957.374T926.518",0.041711,-0.031398,-0.01529,0.015003
"M429.646T308.971",0.029709,-0.020201,0.021844,-0.018113
"M968.4T974.568",0.042852,-0.038293,-0.03416,0.022635
"M1015.586T1347.819",0.035782,-0.0015727,-0.019728,-0.0036059
"M1033.603T1229.397",0.028724,-0.010791,-0.011535,0.0027599
"M533.169T900.984",0.034105,0.026543,0.010315,0.015543
"M443.193T725.675",0.023263,-0.04555,0.0032608,-0.030474
"M1162.58T906.276",-0.086958,-0.023728,-0.041613,-0.0049866
"M1095.01T894.541",-0.028545,-0.040589,-0.013021,-0.015778
"M1209.581T888.373",0.006998,-0.021187,0.040623,-0.02843
"M492.868T66.13",0.022615,-0.0030135,0.03196,-0.035862
"M567.276T907.878",-0.027488,-0.029727,0.036123,-0.044597
"M664.226T813.714",0.043607,-0.012594,-0.014828,0.025878
"M1035.397T978.889",0.045871,-0.034185,-0.0096711,0.0053942
"M1162.051T893.06",-0.017437,-0.014166,0.034303,-0.035715
"M812.842T69.273",0.032929,-0.033056,0.037108,-0.040442
"M691.153T854.793",0.025167,-0.0034218,0.037062,-0.037253
"M433.351T780.04",0.037565,0.041927,-0.0267,-0.0062742
"M209.961T64.78",-0.019733,-0.020401,0.039591,-0.023752
"M1363.57T899.951",-0.011566,-0.012987,0.043013,-0.070473
"M410.078T615.621",0.053175,0.060583,0.03619,0.079156
"M1125.418T877.844",0.045891,-0.043338,-0.026361,0.032869
"M483.183T857.732",0.043451,0.0051611,0.0027933,-0.065331
"M1323.575T889.628",0.0061602,-0.013733,0.026255,-0.017116
"M695.298T853.355",0.041185,-0.021907,-0.0022811,-0.03698
"M921.12T945.55",0.0066126,0.0040199,0.047431,-0.054081
"M331.103T255.151",0.029281,-0.010989,0.010514,-0.053387
"M322.871T96.154",0.018884,-0.0093116,-0.0014063,-0.10461
"M539.134T89.251",0.024841,-0.026914,0.012171,0.033436
"M502.995T105.736",0.038641,-0.0022274,0.042834,-0.019876
"M641.302T1183.734",0.052624,0.034315,-0.018557,0.010508
"M967.36T964.868",0.045901,-0.025908,-0.060787,-0.034376
"M329.088T474.939",0.020319,-0.017516,0.026251,-0.022373
"M617.133T750.744",0.029622,-0.0064607,0.052224,0.011432
"M669.182T316.584",0.034091,0.003974,-0.0064745,-0.0012031
"M447.152T782.273",0.01458,-0.015917,0.0011349,-0.058535
"M1097.514T1402.931",0.033605,0.015765,-0.0037204,-0.02012
"M413.091T89.817",0.030176,0.039945,0.015156,-0.013739
"M990.329T838.789",0.051741,-0.031385,-0.029205,0.011297
"M1229.54T895.369",-0.0010967,0.018413,0.069182,-0.026303
"M593.926T757.244",-0.019582,-0.045753,0.094689,-0.041575
"M240.933T64.89",-0.049366,-0.051464,0.049845,-0.013911
"M548.979T106.308",0.034948,0.0063382,0.0014837,-0.033325
"M630.629T315.233",0.03576,-0.0030933,0.0023316,-0.016173
"M353.228T471.773",0.020921,0.06415,-0.0081636,0.027219
"M1031.288T315.245",0.036099,-0.014155,-0.023998,-0.017906
