"","Fold Change","log2(FC)"
"M784.154T761.471",0.46873,-1.0932
"M630.654T314.128",0.46974,-1.0901
"M449.202T630.506",0.47068,-1.0872
"M295.104T156.471",0.47072,-1.0871
"M808.342T938.944",0.47075,-1.087
"M911.268T936.747",0.47139,-1.085
"M661.226T856.483",0.47163,-1.0843
"M203.204T105.674",0.47191,-1.0834
"M306.936T1813.234",0.47249,-1.0817
"M404.916T66.832",0.47326,-1.0793
"M823.337T914.416",0.47408,-1.0768
"M456.197T892.811",0.47414,-1.0766
"M413.081T316.361",0.47455,-1.0754
"M1015.586T1347.819",0.47472,-1.0748
"M265.093T134.502",0.47536,-1.0729
"M323.019T128.103",0.47566,-1.072
"M401.049T776.54",0.47757,-1.0662
"M626.212T761.224",0.47766,-1.0659
"M341.088T304.64",0.47785,-1.0654
"M751.173T317.266",0.47818,-1.0644
"M819.254T316.358",0.47819,-1.0643
"M702.255T837.404",0.47861,-1.0631
"M351.13T801.057",0.47879,-1.0625
"M399.165T851.906",0.47961,-1.0601
"M836.522T1479.692",0.47964,-1.06
"M329.089T195.942",0.48024,-1.0582
"M642.242T817.768",0.48086,-1.0563
"M1036.399T977.849",0.48102,-1.0558
"M1136.545T907.7",2.0731,1.0518
"M943.39T965.159",0.48239,-1.0517
"M702.25T942.066",0.48269,-1.0508
"M431.769T791.594",0.48286,-1.0503
"M319.083T845.914",0.48375,-1.0477
"M941.306T938.915",0.48454,-1.0453
"M709.31T874.193",0.48525,-1.0432
"M545.846T78.22",0.48529,-1.0431
"M1323.386T316.247",0.4856,-1.0422
"M632.783T316.499",0.48633,-1.04
"M911.26T1004.032",0.48779,-1.0357
"M868.801T68.637",0.4892,-1.0315
"M549.174T847.493",0.48924,-1.0314
"M1094.047T894.516",2.0427,1.0305
"M729.273T847.264",0.49003,-1.0291
"M649.302T900.549",0.49013,-1.0288
"M448.965T106.062",0.49086,-1.0266
"M567.171T792.05",0.49186,-1.0237
"M544.284T936.329",0.49298,-1.0204
"M611.147T106.977",0.49439,-1.0163
"M418.218T902.438",0.49484,-1.015
"M355.571T782.72",0.49489,-1.0148
"M1095.84T892.791",0.49522,-1.0139
"M403.064T798.991",2.0186,1.0134
"M861.253T1033.436",0.49564,-1.0126
"M669.182T316.584",0.49573,-1.0124
"M967.561T1349.704",0.49601,-1.0116
"M255.115T921.266",0.49602,-1.0115
"M1031.288T315.245",0.49653,-1.01
"M338.938T105.668",0.49703,-1.0086
"M548.179T817.387",0.49706,-1.0085
"M543.282T933.008",0.4978,-1.0064
"M745.161T766.586",0.49857,-1.0041
"M685.228T857.881",0.49857,-1.0041
"M315.108T761.986",0.4992,-1.0023
"M937.334T882.127",0.49979,-1.0006
