"","filter","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"M481.362T1591.564",30341.23655,33792.0262,45292.622,33077.863,95200,85785.75,42591.8727,51280.622
"M443.333T1262.042",339595.7349,40654.5627,2291206.757,726799.035,125000,123040.332,81901.0392,90706.526
"M510.367T1523.593",50202.90195,139590.3329,86069.976,86114.553,133000,113300.223,79412.1113,253461.846
"M545.456T1607.833",22164.83725,108912.1658,73195.075,68086.862,115000,109342.913,106818.1635,143797.685
"M669.539T1543.447",61142.9775,121295.6002,80496.051,105264.368,150000,158046.374,64128.0678,224496.822
"M669.531T1507.08",67605.145,111179.8598,65231.819,86689.232,135000,152131.341,60730.7014,210952.262
"M383.284T1439.726",37591.06915,125217.2578,251315.529,205205.782,149000,160963.186,148961.4287,142025.401
"M589.501T1621.712",177222.212,261732,73577.312,55522.835,216000,67764.741,8998.775,326276.896
"M534.444T1557.26",64653.211,85462.7331,77456.066,71460.738,132000,146223.226,62296.0866,178976.951
"M494.565T1422.678",99238.0167,263375.7243,463612.2,367002.545,336000,271628.714,439102.2024,360053.818
"M609.518T1624.418",26506.52275,60609.9359,55474.255,35151.344,98700,72865.323,37909.5555,73531.533
"M465.265T1237.073",93863.5307,42836.1105,242014.038,261681.816,234000,262652.716,81968.7926,235810.566
"M605.432T1239.559",164091.2415,77368.5134,396644.254,322817.741,237000,155309.795,487181.7122,323848.024
