"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M648.466T1423.012"," 29876.08","343452.73","325000.00","292888.50"," 41764.07","258369.54","417355.13","483894.19","550000.00","347761.23","327000.00","628000.00","444675.45"," 29223.92","483584.62","631865.56","334250.42","449000.00"
"M951.572T1242.045","  5403.097","427707.681","518000.000","446483.087"," 11786.033","611938.630","942713.722","442272.464","678000.000","556651.384","497000.000","554000.000","443851.795","  6783.240","788578.927","743552.452","730313.900","823000.000"
"M639.422T1278.929"," 32792.27","152908.68","151000.00","147590.50"," 25629.71","153310.23","192550.07","214495.33","185000.00","148661.22","141000.00","185000.00","183764.64"," 10556.46","160724.09","174990.60","169995.14","175000.00"
"M697.259T909.874"," 26668.79","128907.93","123000.00","152378.47"," 14658.35","106067.49","127352.38","180444.49","149000.00","146371.28","161000.00","105000.00","154941.70"," 12132.30","122286.44","126953.18","131160.73","126000.00"
"M593.49T1539.529"," 63948.64","289508.97","305000.00","264314.23","168190.20","225122.25","254580.08","292686.33","320000.00","336590.26","297000.00","339000.00","350202.44"," 77749.38","390489.95","349482.04","244794.05","335000.00"
"M711.565T1605.092"," 49049.35","149947.61","134000.00","103077.83","476041.36"," 92688.95","101791.23","137088.56","162000.00","106918.87","112000.00","201000.00","119673.57","113170.68","480161.89","127195.73","100024.77","189000.00"
"M649.479T1423.325"," 109613.6","1188286.2","1350000.0","1389637.7"," 123925.2"," 995321.6","1419639.8","1960713.0","1710000.0","1290021.7","1560000.0","2030000.0","1712057.5"," 168511.6","1913304.4","2199729.7","1230090.8","1460000.0"
"M723.435T1322.772","28667.30","74737.86","67900.00","87803.99","29202.92","91674.64","71844.99","76442.20","93500.00","88159.47","83200.00","68800.00","65441.36","21225.46","84522.50","81307.78","80170.30","78000.00"
"M423.198T1506.423","566826.1","623271.4","658000.0","659107.7","593411.8","738161.9","724434.3","637786.9","637000.0","717697.4","621000.0","672000.0","665182.3","524318.7","682051.2","565841.5","587766.0","618000.0"
"M727.445T1338.726"," 49202.27"," 97410.36"," 98800.00","122088.41"," 27202.77","104882.89","119018.71","126361.51","144000.00","123383.96","112000.00","126000.00"," 99119.88"," 21035.41","105575.90","180208.15","128305.71","116000.00"
"M986.584T1288.291","  4628.875","102729.739"," 91900.000","108905.326","  5247.604","163326.052","175323.144"," 99891.099","139000.000","120276.541","131000.000"," 90700.000"," 91809.460","     0.000","145882.316"," 87717.692","112040.807","103000.000"
"M593.489T1519.555"," 61221.0","289553.1","304000.0","270467.8","174244.6","223750.6","269783.8","292397.2","325000.0","334071.6","294000.0","350000.0","340481.6"," 77802.3","392095.4","343344.4","243779.9","320000.0"
"M385.184T1473.566","195078.6","221382.6","239000.0","230496.4","189009.5","221393.0","281278.6","240337.2","276000.0","170425.6","191000.0","330000.0","290030.0","233433.9","244792.7","295101.5","199083.2","594000.0"
"M571.362T1440.098"," 55464.22","149449.06","148000.00","134039.47"," 66483.96","148584.29","126032.18","159160.60","163000.00","146877.17","139000.00","208000.00","140165.23"," 70454.15","143597.35","239297.60","150998.72","172000.00"
"M646.461T1352.771"," 36881.37","183412.98","191000.00","178086.38"," 58015.28","167438.15","215561.75","221094.57","243000.00","204311.57","179000.00","294000.00","207599.59"," 35297.27","205275.86","247330.67","229628.92","239000.00"
"M555.456T1423.317"," 73584.21","191475.08","188000.00","173546.86","100838.20","161034.96","208681.28","267357.28","231000.00","176685.91","198000.00","285000.00","170676.48"," 75655.47","246479.41","310054.33","204378.04","210000.00"
"M679.553T1406.451","195267.65","230978.27","320000.00","281036.57"," 98236.48","185798.46","106297.12","444515.91","518000.00","270285.79","295000.00","509000.00","320439.93"," 74876.30","135335.40","840127.34","395255.42","291000.00"
"M547.402T1437.709","211829.9","276375.5","304000.0","300705.4","200879.6","230201.9","172494.0","351511.7","333000.0","251916.9","285000.0","402000.0","297278.5","222711.3","303207.9","460601.3","278352.5","288000.0"
"M985.575T1306.148","  2720.276","174224.694","178000.000","199061.315","  5856.271","226921.251","233085.278","198825.652","170000.000","221634.432","208000.000","179000.000","172434.985","  7590.654","196461.982","199685.057","233346.533","186000.000"
