"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M745.439T1283.896","-0.558460045","-0.141957387","-0.096551137"," 0.105152096"," 0.041989727"," 0.161632435"," 0.188883423"," 0.330702238","-0.224635191","-0.038155110","-0.354018836"," 0.527292298"," 0.005898012","-0.073637747"," 0.125865225"
"M899.349T990.311","-0.030643288"," 0.055534464"," 0.008173534","-0.774412478","-0.411618823"," 0.305522188","-0.052652276","-0.156248504"," 0.547798380","-0.028154659"," 0.217359045"," 0.293075383","-0.129552670"," 0.124380075"," 0.031439628"
"M978.369T957.42","-0.102728571","-0.126271150"," 0.126906078","-0.842553790","-0.192622209"," 0.284652446","-0.008266816"," 0.029162002"," 0.434624211","-0.267536709"," 0.396176609"," 0.215717350"," 0.001433526","-0.129808914"," 0.181115938"
"M798.333T1001.921"," 0.05211933"," 0.15147083"," 0.16500693","-1.03273778","-0.27339721"," 0.20841038"," 0.43437811","-0.37332693"," 0.46679227","-0.14140571"," 0.33951366"," 0.30364070","-0.12139900","-0.06077208","-0.11829349"
"M1123.852T834.347","-0.18082534","-0.05118094"," 0.09491258","-0.55238220"," 0.30391950"," 0.32280676"," 0.23919310","-0.32408204"," 0.18563310","-0.51061352","-0.05646070","-0.25818735"," 0.19319632"," 0.50906646"," 0.08500426"
"M587.368T1406.262","-0.31551326","-0.23400549","-0.30061380","-0.35871354","-0.11175037"," 0.12127444"," 0.49080081","-0.08954236","-0.31368057"," 0.57737391"," 0.21503829","-0.06477733"," 0.40615235","-0.23818863"," 0.21614553"
"M1077.418T843.183","-0.224650538"," 0.045146161","-0.032589511","-1.145043259"," 0.127794320"," 0.347208390"," 0.099583588","-0.071560510"," 0.289572743","-0.123907219"," 0.595713154"," 0.055259151"," 0.005734691"," 0.054072795","-0.022333957"
"M659.418T1406.262","-0.11265209"," 0.12427790","-0.03951503","-0.59775817","-0.47671675","-0.12326054"," 0.23184880","-0.04944979","-0.43969531"," 0.43379801"," 0.36000383","-0.35764108"," 0.47246353"," 0.15869980"," 0.41559691"
"M587.444T1372.394","-0.23434280","-0.32515575","-0.44934311","-0.24024308"," 0.07843099"," 0.20596646"," 0.34798461"," 0.06666822","-0.20762484"," 0.35624528"," 0.21705911"," 0.05158726"," 0.33279883","-0.13827156","-0.06175962"
"M820.314T857.905"," 0.05662623","-0.12252523","-0.12539152","-1.03212193","-0.01769871"," 0.57159009"," 0.02086607","-0.01073946"," 0.49074799","-0.27729649"," 0.32497205"," 0.11158826","-0.01202581"," 0.09541439","-0.07400592"
