"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M558.799T1194.269",0.023348,-0.0073955,0.011658,-6.7704e-05,0.011902,-0.00028856,-0.022151,-0.016128,0.014418,0.0029899,0.0091343,0.017933,0.014571,0.00052145
"M852.187T1328.651",0.013428,-0.018351,0.031458,0.026449,0.0021478,0.0083881,0.041745,0.020696,-0.0012234,-0.01469,0.022506,-0.0073567,0.013269,-0.00034018
"M1343.805T1193.201",0.02758,0.0041739,-0.025396,-0.018465,0.043352,0.005056,-0.010348,-0.0036744,0.016548,0.0012,0.010835,0.0048759,0.011288,0.0013652
"M1074.439T1194.382",0.027536,0.014951,-0.025007,-0.01584,0.053813,-0.0090462,-0.02206,-0.025991,-0.011412,-0.024492,-0.0007573,-0.0086921,0.020802,-0.00219
"M575.856T1053.805",0.021693,-0.012315,0.018244,-0.0033376,0.0030896,-0.004519,-0.01455,-0.0059024,0.0058271,-0.0052094,0.02095,-0.011063,-0.011197,-4.3614e-05
"M653.691T320.692",0.026181,0.014058,0.0018929,0.0030601,0.015496,-0.014633,0.0061515,-0.0032114,0.002247,0.0077976,0.002646,-0.024333,-0.0027036,0.00018227
"M385.113T835.894",0.022852,-0.0012678,-0.005507,-0.011832,0.0089865,0.028723,0.013121,-0.023198,0.041481,-0.030428,-0.01097,-0.00058366,0.0015782,-0.0024003
"M1326.883T1200.672",0.02156,-0.016833,0.0071012,-0.026026,0.050579,0.065279,-0.018071,-0.045128,0.042277,0.035708,0.015285,-0.012547,-0.023706,-0.00044518
"M700.309T1205.376",0.012001,-0.035208,0.033034,-0.024681,0.011219,0.040831,-0.020329,0.0015577,0.031544,0.0012363,0.056008,0.02596,-0.0093953,0.002409
"M627.229T851.009",0.03102,0.038178,-0.020198,0.0070374,0.024243,0.0055153,-0.012876,0.01326,0.0051676,0.0021668,-0.0041339,-0.012785,-0.011321,0.001162
"M633.552T319.689",0.028402,0.014161,0.0021264,0.0028448,0.012227,-0.0049792,-0.0060249,0.0063964,-0.00067056,0.0053031,-0.0018372,-0.0098266,0.014195,-0.00061672
"M885.489T1408.277",0.018035,0.0057344,0.026334,0.02507,0.0057198,0.0099778,0.0082587,-0.01135,-0.0027589,0.0049571,-0.00043866,-0.0033514,0.0023831,0.0025832
"M845.458T1184.78",0.018327,-0.0078037,-0.00042075,0.028626,0.0056724,0.010855,0.018201,0.018684,-0.0039636,0.013576,-0.033189,0.00097484,0.037814,-0.00035987
"M1001.569T1093.359",0.023733,0.014301,0.010731,0.025725,0.027124,0.025935,-0.0055927,0.0097991,0.016555,-0.0031193,-0.021338,0.00048755,-0.00080287,5.1615e-05
"M1028.185T1194.382",0.024984,0.0053193,-0.0011943,0.0060254,0.031458,0.0076091,-0.023735,-0.0048664,0.027802,-0.015803,0.02901,0.0034882,-0.0041292,-0.0013555
"M645.124T781.203",0.024514,0.0098559,0.0012148,-0.01141,0.010678,-0.01581,0.016146,0.021625,0.0095023,-0.01071,0.00030597,-0.028592,-0.0043241,-0.001352
"M537.695T1290.37",0.0079509,-0.015041,-0.0043556,-0.011748,0.010156,0.024936,-0.055053,-0.022186,0.014908,0.0086635,-0.0018593,0.00629,-0.0080857,0.00077496
"M808.368T1195.332",0.020987,-0.02594,-0.00069728,-0.00803,0.020571,0.0081778,-0.018934,-0.017321,0.02745,-0.0048482,0.011267,0.0040657,-0.021894,0.0012168
"M942.469T1308.469",0.020281,-0.01126,0.009333,0.018913,-0.012305,-0.0054136,0.011849,0.0060578,0.020941,0.028363,-0.011399,0.0073765,-0.018444,0.0015276
"M575.826T1054.493",0.02037,-0.012654,0.019012,-0.0063126,-0.0070609,0.017904,-0.02182,0.0095386,0.016934,-0.0041931,0.011279,-0.0084275,0.024789,0.0011224
"M453.17T879.981",0.0020935,0.0011669,-0.016351,0.057747,-0.043235,0.039634,0.021931,-0.0051492,0.07653,0.10832,-0.019729,0.020694,-0.021768,0.0025861
"M349.088T88.189",0.020412,-0.0091876,-0.056512,0.043132,-0.015901,-0.012695,-0.011579,-0.021835,0.028118,-0.0063426,0.0065068,0.0027005,0.00069623,0.0021218
"M421.069T767.549",0.021442,-0.0060586,0.023438,-0.00039012,-0.0088747,-0.0010396,0.00033154,-0.018115,0.018271,-0.03719,-0.044129,-0.020517,0.0078169,-0.00051564
"M643.245T813.714",0.023966,0.020599,-0.011561,0.011388,-0.0086714,0.00049574,0.0074425,-0.0085477,-0.0018462,0.010765,0.016492,-0.016619,-0.0050786,-0.0019655
"M745.161T766.586",0.024865,0.017602,-0.0040744,-0.021469,0.017976,0.0029142,0.0034706,-0.012971,0.018528,-0.035992,-0.038202,0.0039338,-0.0093638,-0.002516
"M603.339T1194.269",0.017778,-0.025219,0.016703,-0.0054453,-0.0063225,0.0088751,-0.0028948,0.011138,0.02041,0.01675,0.015821,-0.030047,0.015526,-0.00059877
"M1128.561T892.565",0.016801,0.00081701,0.05811,0.03261,0.034912,0.05961,-0.060849,-0.032231,-0.05223,0.033404,0.01175,-0.034257,-0.027384,0.0048614
"M875.523T1196.25",0.023836,-0.01594,-0.0016044,-0.0095704,0.020008,0.010188,-0.017533,-0.012184,0.025368,0.0012535,0.0093147,-0.0051168,0.0044582,2.5005e-06
