"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M1100.582T1225.322","-0.2993320","-0.7972764"," 0.1418442","-0.2166603"," 0.1336385"," 1.2505228","-0.5781779","-0.5188840","-0.1053704"," 0.4963374","-0.1463744"," 0.6607414","-0.1643919"," 0.1433832"
"M649.302T900.549","-0.14864402","-0.88742104"," 0.43588346","-0.39071865","-0.18207489"," 1.05486644","-0.26324218","-0.49144637","-0.16668999"," 0.55268568","-0.31947629"," 0.68972551","-0.08304028"," 0.19959264"
"M575.766T1053.433","-0.1389276","-0.4004169"," 0.3278664"," 0.2529777","-0.1264531"," 0.9161959","-0.4041861","-0.7838639","-0.7231780"," 0.8010637","-0.3890717"," 0.6379854","-0.2174466"," 0.2474547"
"M1161.883T894.146","-0.28065119","-0.82589720"," 0.12647896","-0.00917555","-0.08326349"," 1.35666862"," 0.06458191","-0.33831450","-0.61779520"," 1.21952593","-0.28109088"," 0.66966061","-1.07721231"," 0.07648428"
"M286.972T107.919","-0.345919981","-0.404129144","-0.111074259"," 0.124436968","-0.237246482"," 1.344634608","-0.066290607","-0.787100225","-0.124059208"," 0.767970544","-0.441371724"," 0.345261554","-0.072270529"," 0.007158485"
"M581.318T900.123","-0.27697854","-0.70327926"," 0.68628842","-0.44087421","-0.22259554"," 1.04570648","-0.22959072","-0.23875151","-0.18981127"," 0.29516590","-0.37062997"," 0.83884680","-0.22265212"," 0.02915553"
"M1014.585T1348.471","-0.13279556","-0.94108434","-0.06245678","-0.34934082"," 0.04371924"," 1.31606498","-0.22932093","-0.32986833","-0.04680725"," 0.15428508","-0.04345425"," 0.64981845","-0.26200584"," 0.23324635"
"M799.289T814.54","-0.15974686","-0.66027481","-0.58122049","-0.55902646"," 0.38714919"," 1.38753437","-0.22579902","-0.34072183","-0.28501249"," 0.47187789","-0.08750941"," 0.55545641","-0.13441037"," 0.23170388"
"M883.503T1155.003","-0.34205532","-0.25873053"," 0.38085617"," 0.08967007","-0.46009124"," 1.22558665","-0.41875127","-0.25212860","-0.28755788"," 0.37423615","-0.43165156"," 0.78051274","-0.50820910"," 0.10831372"
"M527.103T89.251","-0.03366363"," 0.04600691"," 0.87783551","-0.04357975","-1.10978763"," 1.07733959"," 0.04009885","-1.14115577","-0.21349475"," 0.87659357","-0.37317629","-0.02607513","-0.09585083"," 0.11890936"
"M1053.272T316.465"," 0.05611731","-2.56108484"," 0.25101008","-0.03396026"," 0.22299775"," 0.91215326"," 0.13749114","-0.08137557"," 0.06153995"," 0.43970266","-0.12836583"," 0.57485803","-0.03443634"," 0.18335266"
"M1097.037T893.528","-0.28286369","-0.67380564"," 0.19500352","-0.06721609","-0.29490806"," 1.48897776","-0.09373059","-0.97106083","-0.42059121"," 1.00611727","-0.29841104"," 0.44689164","-0.16521858"," 0.13081553"
"M987.494T1327.158","-0.12509902","-0.04973866"," 0.32643920"," 0.10797445","-0.32111521"," 1.37739656","-0.77764153","-0.32331043","-0.07602828"," 0.62795363","-0.47735864","-0.08827195","-0.32123276"," 0.12003265"
"M863.484T1242.374","-0.06072357","-0.42600839"," 0.49650963","-0.19096605","-0.41942506"," 1.28866955","-0.24623221","-0.09859100","-0.22663064"," 0.29007718","-0.36239028"," 0.69223479","-0.70178958","-0.03473437"
"M869.849T1307.413","-0.21282609","-0.48645674"," 0.20184871","-0.15393912","-0.02919396"," 1.39090823","-0.16605980","-0.48038209","-0.11598904"," 0.70167575","-0.42752357"," 0.16091007","-0.25124515","-0.13172719"
"M867.515T1204.699","-0.18367093","-0.36838546"," 0.31962349"," 0.30100891","-0.43509206"," 1.28658352","-0.50758969","-0.17920193","-0.43043003"," 0.53420085","-0.44471896"," 0.70356605","-0.61224559"," 0.01635183"
"M1071.559T892.477","-0.45121451","-1.39131950"," 0.46900047"," 0.23140862","-0.05971693"," 1.13264798"," 0.21640907","-0.02888428","-0.32050199"," 0.69570523","-0.46146721"," 0.50960822","-0.71574617"," 0.17407100"
"M751.392T1268.098","-0.09345793"," 0.04282666"," 0.23371834","-0.03476964","-0.42614611"," 1.12146863","-0.19713847","-0.33434487","-0.76375153"," 0.68026102","-0.41375487"," 0.68246880","-0.48208851","-0.01529152"
"M306.171T797.884","-0.3889613","-0.1211727"," 0.5691075","-0.2565412"," 0.7129736"," 1.0342401","-0.1178634","-0.7033111","-0.6402914"," 0.9867741"," 0.1202999","-0.3011462","-0.4078074","-0.4863005"
"M1000.263T316.358"," 0.07163083","-2.77496170"," 0.23236855","-0.10944672"," 0.31846907"," 0.87172483"," 0.16395007"," 0.08453881","-0.00445286"," 0.45863316","-0.09140824"," 0.60046035","-0.00141117"," 0.17990500"
"M699.398T1124.853","-0.87740404"," 0.26933534"," 0.37991223"," 0.42713596","-0.52382309"," 0.97936959","-0.33528438","-0.13685826","-0.34862305"," 0.17038993","-0.56441115"," 0.97507335","-0.46716227"," 0.05234984"
"M767.194T317.413","-0.003318743","-1.654924286","-0.024627433","-0.158931176"," 0.215989605"," 1.182599678"," 0.064779073","-0.269398913","-0.020665156"," 0.767422828","-0.228704650"," 0.503023258","-0.127513323","-0.245730762"
"M280.961T95.439","-0.54750679","-0.24539857"," 0.36996888"," 0.09084421","-0.09552047"," 1.04583338","-0.37014762","-0.02111197","-0.42542265"," 0.94895809","-0.72834883"," 0.52492856","-0.38764235","-0.15943386"
"M650.407T1378.088","-0.15061198","-1.36298015"," 0.02571388","-0.31264336","-0.04649536"," 1.20029455","-0.25977230","-0.09286738","-0.01063022"," 0.44295458","-0.16600993"," 0.44275891","-0.11289684"," 0.40318561"
"M653.891T318.024","-0.05496344","-1.68831258"," 0.02185609","-0.07557097"," 0.06133655"," 1.09929549","-0.15185801","-0.37471647","-0.06008541"," 0.80226104","-0.18685238"," 0.43915473","-0.03922369"," 0.20767905"
"M560.841T1187.938","-0.870334949","-1.198050639"," 0.154737184"," 0.007503913"," 0.224201320"," 1.094496499"," 0.046610303","-0.357525999","-0.110420300"," 0.939313066","-0.381214729"," 0.432002451","-0.250829048"," 0.269510930"
"M354.957T108.842","-0.36900572","-0.10092015"," 0.07578705"," 0.08079357","-0.05992969"," 1.18967019","-0.60171462","-0.73409752","-0.13750009"," 0.87272479","-0.31852569"," 0.27415162","-0.22853950"," 0.05710575"
