"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M723.413T940.853",0.41954,0.6939,0.64325,0.62109,0.62062,0.6201,0.62046,0.62047
"M393.188T983.065",0.41904,0.75536,0.77079,0.74085,0.73412,0.73372,0.73372,0.73372
"M515.105T113.414",0.41706,1.0794,0.99577,0.95919,0.95028,0.94947,0.94942,0.94942
"M318.143T1501.634",0.4163,0.77948,0.81405,0.78595,0.78449,0.78385,0.78383,0.78382
"M269.15T1584.952",0.4155,0.86137,0.87484,0.84749,0.84982,0.84911,0.84909,0.84909
"M554.347T1333.324",0.41357,0.88503,0.78397,0.76726,0.76197,0.76151,0.76148,0.76148
"M461.037T823.98",0.41329,0.69264,0.61673,0.95291,0.95146,0.95123,0.9512,0.9512
"M327.108T784.235",0.41298,0.8157,0.74747,0.7185,0.71206,0.71699,0.71741,0.71741
"M206.988T126.118",0.41236,0.84811,0.7815,0.75149,0.74534,0.74472,0.74469,0.74469
"M870.649T1317.21",0.4117,0.70412,0.70383,0.67736,0.67124,0.67169,0.67165,0.67165
"M870.809T67.494",0.41019,0.28495,1.1202,1.0997,1.1427,1.1429,1.1429,1.1429
"M811.459T986.188",0.40979,0.67929,0.87479,0.84457,0.83778,0.8381,0.83815,0.83815
"M322.871T96.154",0.4093,0.5831,0.7635,0.75316,0.7518,0.75116,0.75113,0.75113
"M941.462T1306.809",0.40904,0.69239,0.63717,0.67697,0.67151,0.67102,0.67099,0.67099
"M985.796T67.938",0.4085,0.29947,0.78484,0.93047,0.95769,0.95784,0.95783,0.95783
"M499.195T1235.932",0.40772,1.0709,0.95793,0.94285,0.93605,0.93548,0.93543,0.93543
"M305.082T1122.457",0.40756,0.67813,0.70482,0.67852,0.67467,0.67781,0.67778,0.67778
"M805.628T943.759",0.40718,1.1101,1.231,1.1844,1.1749,1.1739,1.174,1.174
"M615.334T1182.849",0.40686,0.59416,0.75642,0.76269,0.76395,0.76352,0.76352,0.76352
"M982.788T67.938",0.40653,0.25331,0.74323,0.97815,0.97699,0.97894,0.97892,0.97892
"M755.7T809.167",0.40538,1.3814,1.2436,1.2318,1.2343,1.2383,1.2383,1.2383
"M367.058T823.98",0.4051,1.2465,1.1039,1.0702,1.0605,1.0619,1.0618,1.0618
"M559.04T89.345",0.40461,0.71946,0.65004,0.6349,0.63524,0.63511,0.63507,0.63507
"M359.061T194.361",0.40365,0.91695,0.82458,0.79826,0.79346,0.7932,0.79319,0.79319
"M194.055T920.109",0.40331,0.73376,0.64985,0.71442,0.80766,0.80863,0.80892,0.80891
"M449.235T1266.066",0.40311,1.1886,1.189,1.1559,1.1487,1.1485,1.1484,1.1484
"M277.58T1368.559",0.40253,1.0911,1.1328,1.0973,1.0892,1.0882,1.0882,1.0882
"M1209.581T888.373",0.40214,1.1911,1.1406,1.0995,1.0953,1.0947,1.0947,1.0947
"M251.019T152.27",0.40136,0.9145,0.92759,0.93462,0.94709,0.94662,0.9466,0.9466
"M880.534T1198.774",0.40057,1.1881,1.2049,1.1584,1.1493,1.1483,1.1483,1.1483
"M1029.561T1129.699",0.40027,1.4452,1.289,1.2497,1.2384,1.2382,1.2381,1.2381
"M593.857T757.673",0.40015,0.62873,0.68835,0.6726,0.68289,0.68359,0.68359,0.68359
"M462.89T65.338",0.40011,0.27177,0.51756,0.63086,0.6254,0.62885,0.62883,0.62883
"M433.351T780.04",0.40009,0.87469,0.94463,0.91204,0.90793,0.91118,0.9112,0.9112
"M697.821T989.317",0.39928,0.65646,1.5069,1.5405,1.5269,1.5269,1.5268,1.5268
"M919.506T1426.463",0.39904,0.73392,0.69071,0.69363,0.68722,0.68693,0.68695,0.68695
"M413.091T89.817",0.399,1.0932,1.1158,1.0851,1.0759,1.075,1.0749,1.0749
"M558.844T67.933",0.39844,0.38958,0.44162,0.44899,0.45151,0.45116,0.45115,0.45116
"M442.823T96.43",0.39755,0.68954,0.71812,0.70255,0.71463,0.71402,0.71402,0.71402
"M309.579T1630.114",0.39754,0.61683,0.81584,0.78596,0.7798,0.77934,0.77932,0.77932
"M413.104T602.912",0.39674,1.0048,0.94787,0.9199,0.9205,0.91975,0.91972,0.91972
"M925.22T834.324",0.39657,0.50426,0.62003,0.76963,0.78265,0.78497,0.78561,0.78561
"M689.274T1192.785",0.39616,0.83913,0.79882,0.78343,0.77693,0.77627,0.77626,0.77626
"M418.896T66.885",0.39571,0.71726,0.68265,0.65671,0.68119,0.68068,0.68069,0.68069
"M211.133T1418.651",0.39562,1.0746,1.081,1.0644,1.0545,1.0537,1.0536,1.0536
"M981.461T1134.419",0.39552,1.2189,1.1792,1.1349,1.1262,1.1259,1.1259,1.1258
