"",F.stat,p.value,-log10(p),FDR
M393.201T1439.586,3.0527,0.063793,1.1952,0.513
M430.319T1312.999,3.0522,0.063817,1.1951,0.513
M544.443T1574.274,3.0379,0.064568,1.19,0.51722
M514.422T1505.037,3.0245,0.065277,1.1852,0.52098
M439.317T1401.37,3.0203,0.065502,1.1837,0.52098
M369.188T1341.992,3.0163,0.06572,1.1823,0.52098
M474.347T1575.715,3.0062,0.066265,1.1787,0.52138
M354.338T1291.55,3.0047,0.066347,1.1782,0.52138
M563.402T1408.532,2.9924,0.067014,1.1738,0.52138
M642.513T1591.557,2.9909,0.067097,1.1733,0.52138
M449.365T1540.699,2.9873,0.067294,1.172,0.52138
M767.537T1356.112,2.9857,0.067383,1.1715,0.52138
M629.459T1473.698,2.9797,0.067714,1.1693,0.52138
M713.46T1208.68,2.9781,0.067807,1.1687,0.52138
M395.288T1490.071,2.9779,0.067818,1.1687,0.52138
M701.542T1438.11,2.9722,0.068131,1.1667,0.52203
M535.447T1540.43,2.9673,0.06841,1.1649,0.52242
M652.499T1471.536,2.9592,0.068865,1.162,0.52415
M571.45T1291.55,2.9468,0.069565,1.1576,0.52773
M609.518T1624.418,2.9383,0.070057,1.1545,0.52971
M392.284T1436.378,2.9241,0.070879,1.1495,0.53416
M749.502T1458.08,2.9011,0.072231,1.1413,0.54009
M511.254T1186.899,2.9007,0.072255,1.1411,0.54009
M385.291T1372.761,2.8987,0.072373,1.1404,0.54009
M729.452T1109.944,2.8839,0.073264,1.1351,0.54496
M574.466T1295.888,2.8775,0.073647,1.1328,0.54604
M707.545T1574.274,2.871,0.074045,1.1305,0.54699
M449.369T1557.545,2.8667,0.074307,1.129,0.54699
M711.444T1322.388,2.8637,0.074492,1.1279,0.54699
M425.216T1473.286,2.8389,0.076032,1.119,0.55652
M718.53T1372.761,2.8284,0.076695,1.1152,0.55838
M559.389T1424.253,2.8272,0.076774,1.1148,0.55838
M485.356T1624.705,2.8095,0.077903,1.1084,0.5648
M623.426T1405.986,2.7891,0.079231,1.1011,0.57262
M355.282T1278.929,2.7818,0.079714,1.0985,0.57429
M624.436T1440.08,2.7681,0.080623,1.0935,0.57902
M711.445T1221.644,2.764,0.080895,1.0921,0.57916
M539.396T1624.559,2.7596,0.081197,1.0905,0.57951
M574.479T1609.148,2.7237,0.083656,1.0775,0.59521
M890.585T1428.316,2.6659,0.087779,1.0566,0.62071
M650.482T1439.948,2.6659,0.087783,1.0566,0.62071
M866.584T1473.64,2.6558,0.088528,1.0529,0.62405
M439.316T1312.999,2.6518,0.088825,1.0515,0.62423
M547.382T1348.634,2.6304,0.090427,1.0437,0.63214
M679.391T1153.775,2.6274,0.090657,1.0426,0.63214
M652.503T1490.314,2.6258,0.090779,1.042,0.63214
M357.157T1003.085,2.6207,0.091165,1.0402,0.6329
M501.359T1626.501,2.6075,0.092181,1.0354,0.63803
M651.489T1406.004,2.6001,0.092748,1.0327,0.64001
M645.453T1423.012,2.5942,0.093213,1.0305,0.64129
M429.317T1389.185,2.5681,0.095273,1.021,0.65295
M651.489T1439.586,2.5656,0.095477,1.0201,0.65295
M453.3T1456.918,2.5575,0.096127,1.0172,0.6547
M297.24T1335.811,2.5521,0.096567,1.0152,0.6547
M886.576T1523.593,2.5518,0.096591,1.0151,0.6547
M297.24T1355.686,2.5403,0.097529,1.0109,0.65911
M273.168T1570.267,2.5321,0.098204,1.0079,0.66172
M513.353T1456.772,2.5233,0.098934,1.0047,0.66468
M869.577T1456.932,2.5115,0.099926,1.0003,0.66939
M297.239T1372.882,2.5013,0.10079,0.99659,0.67319
M474.347T1608.13,2.4896,0.10179,0.99229,0.67791
M853.581T1456.932,2.4735,0.10319,0.98638,0.68522
M511.361T1439.891,2.47,0.10349,0.98511,0.68523
M589.434T1295.888,2.4493,0.10531,0.97752,0.6953
M568.445T1641.124,2.4322,0.10685,0.97121,0.70346
M825.585T1557.26,2.4173,0.10821,0.96573,0.71035
M903.583T1473.64,2.4105,0.10884,0.96322,0.7117
M965.706T1463.866,2.4059,0.10926,0.96154,0.7117
M825.609T1557.453,2.405,0.10935,0.96119,0.7117
M693.467T1225.817,2.4002,0.10979,0.95942,0.71258
M706.585T1658.237,2.3932,0.11045,0.95684,0.71479
M576.484T1418.277,2.3864,0.11109,0.95432,0.71692
M624.432T1423.013,2.3713,0.11252,0.94876,0.72413
M578.503T1590.788,2.3556,0.11404,0.94295,0.73035
M439.316T1439.553,2.3535,0.11424,0.94219,0.73035
M519.387T1507.107,2.3487,0.11471,0.94041,0.73035
M595.491T1621.712,2.3475,0.11482,0.93997,0.73035
M425.215T1355.365,2.3449,0.11508,0.93899,0.73035
M503.293T1473.286,2.3338,0.11617,0.9349,0.73521
M625.445T1372.464,2.3198,0.11757,0.92969,0.74204
M628.529T1624.373,2.2989,0.11969,0.92195,0.75332
M613.479T1523.593,2.2883,0.12078,0.918,0.7581
M341.27T1389.511,2.2797,0.12166,0.91484,0.76112
M514.42T1557.571,2.2772,0.12193,0.91391,0.76112
M666.518T1641.124,2.2721,0.12246,0.912,0.76239
M519.39T1490.033,2.2579,0.12396,0.90673,0.7696
M640.427T1423.35,2.2532,0.12446,0.90499,0.77062
M356.284T1591.049,2.2478,0.12503,0.90298,0.7721
M524.359T1643.061,2.2414,0.12573,0.90058,0.77429
M576.483T1456.027,2.2291,0.12706,0.896,0.7804
M658.504T1389.113,2.2158,0.12852,0.89103,0.78667
M388.255T1573.977,2.2136,0.12876,0.8902,0.78667
M847.517T1163.004,2.2088,0.12929,0.88842,0.78779
M519.308T1473.566,2.1962,0.1307,0.88373,0.79216
M651.489T1456.786,2.1962,0.1307,0.88372,0.79216
M425.215T1372.868,2.1893,0.13148,0.88115,0.79476
M484.413T1608.172,2.1854,0.13192,0.87968,0.79516
M385.292T1608.361,2.1813,0.13239,0.87814,0.79516
M650.569T1641.124,2.1796,0.13259,0.87751,0.79516
M447.35T1507.107,2.1591,0.13494,0.86985,0.80535
M291.231T1305.114,2.1587,0.13499,0.86971,0.80535
M867.589T1591.283,2.1543,0.1355,0.86805,0.80634
M297.24T1406.34,2.1343,0.13786,0.86055,0.81826
M393.197T1408.78,2.121,0.13945,0.85558,0.82553
M510.367T1523.593,2.1145,0.14024,0.85312,0.82635
M747.451T1490.329,2.1071,0.14114,0.85034,0.82635
M495.298T1036.333,2.1069,0.14117,0.85026,0.82635
M438.207T1136.982,2.1053,0.14136,0.84968,0.82635
M614.483T1621.712,2.1051,0.14139,0.84957,0.82635
M447.25T1372.484,2.1015,0.14183,0.84823,0.82681
M492.408T1557.26,2.0906,0.14317,0.84414,0.83011
M346.253T1607.605,2.0883,0.14346,0.84328,0.83011
M871.588T1456.932,2.0852,0.14384,0.84212,0.83011
M579.488T1406.122,2.0852,0.14385,0.8421,0.83011
M849.588T1608.07,2.0772,0.14484,0.83911,0.83273
M425.215T1440.098,2.0757,0.14503,0.83855,0.83273
M658.504T1422.678,2.0697,0.14579,0.83628,0.83276
M713.458T1120.063,2.0681,0.14599,0.83569,0.83276
M991.723T1642.233,2.067,0.14612,0.83528,0.83276
M520.268T1356.47,2.0609,0.14691,0.83295,0.83517
M471.314T1308.231,2.056,0.14753,0.83113,0.83524
M664.457T1578.697,2.0537,0.14783,0.83025,0.83524
M336.26T1207.169,2.0483,0.14851,0.82823,0.83524
M484.402T1523.787,2.0455,0.14888,0.82715,0.83524
M873.589T1438.489,2.045,0.14895,0.82696,0.83524
M438.219T1156.388,2.0427,0.14925,0.82609,0.83524
M534.444T1557.26,2.0409,0.14948,0.82541,0.83524
M801.479T1239.153,2.0378,0.14988,0.82427,0.83524
M511.374T1540.43,2.0351,0.15024,0.82322,0.83524
M474.345T1591.903,2.0325,0.15057,0.82226,0.83524
M599.276T1170.704,2.0204,0.15216,0.81769,0.84204
M469.3T1440.275,1.9994,0.15497,0.80974,0.85553
M1019.703T1376.163,1.9918,0.15601,0.80685,0.85829
M435.346T1540.43,1.9877,0.15656,0.80531,0.85829
M381.19T1440.054,1.985,0.15693,0.80428,0.85829
M643.504T1506.823,1.9847,0.15697,0.80418,0.85829
M991.717T1676.434,1.9753,0.15826,0.80064,0.86246
M604.473T1540.694,1.9737,0.15849,0.80001,0.86246
M562.399T1338.646,1.9654,0.15964,0.79686,0.86315
M701.599T1463.866,1.962,0.16011,0.79557,0.86315
M718.535T1356.181,1.9545,0.16117,0.79272,0.86315
M497.353T1308.231,1.9518,0.16154,0.79172,0.86315
M677.475T1440.046,1.9512,0.16163,0.79148,0.86315
M628.526T1540.694,1.9509,0.16167,0.79137,0.86315
M563.405T1612.829,1.9458,0.16239,0.78945,0.86315
M919.363T957.42,1.9453,0.16247,0.78924,0.86315
M354.284T1347.637,1.9444,0.16259,0.7889,0.86315
M708.511T1644.207,1.9423,0.16289,0.78811,0.86315
M967.385T975.822,1.9417,0.16297,0.78788,0.86315
M627.494T1593.359,1.9392,0.16334,0.78692,0.86315
M628.503T1369.501,1.9376,0.16356,0.78633,0.86315
M533.357T1207.169,1.9353,0.16389,0.78545,0.86315
M369.19T1295.888,1.9317,0.16441,0.78406,0.86393
M965.706T1490.033,1.9279,0.16495,0.78264,0.86477
M555.363T1275.021,1.9159,0.16669,0.77809,0.87043
M452.423T1557.26,1.9153,0.16679,0.77783,0.87043
M881.354T990.311,1.9084,0.16779,0.77522,0.87367
M699.451T1372.842,1.9055,0.16822,0.77411,0.87392
M477.343T1423.013,1.8978,0.16936,0.77119,0.87783
M605.432T1239.559,1.893,0.17007,0.76938,0.87796
M965.705T1641.413,1.8918,0.17026,0.76889,0.87796
M697.464T1209.593,1.8899,0.17053,0.76819,0.87796
M575.481T1540.694,1.8798,0.17205,0.76434,0.88201
M545.456T1607.833,1.874,0.17293,0.76213,0.88201
M669.539T1543.447,1.8706,0.17345,0.76083,0.88201
M844.601T1557.588,1.87,0.17354,0.76061,0.88201
M511.372T1473.254,1.8698,0.17358,0.7605,0.88201
M628.528T1608.773,1.8694,0.17363,0.76038,0.88201
M627.495T1641.124,1.8488,0.17681,0.75248,0.89348
