"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M661.445T1228.528",0.028421,-0.0021791,0.0018387,-0.011843,0.0076766,-0.012844,-0.005529,0.016239,0.014247,0.016218,0.018706,-0.0070364,0.013862,0.0061481,-0.026781,0.020547,0.017258,-0.011465,0.0064157,0.031603,-0.0095619,0.0046244,-0.03113,0.0060397,-0.0073526,0.019812,-0.01549,0.0038526,0.016124,0.0013041
"M850.318T843.183",0.03046,0.00055047,0.00057723,-0.0010079,0.024323,-0.00012044,0.0045628,-0.0081743,0.012401,-0.0043878,0.0061706,0.0019782,0.011172,-0.026415,0.029373,-0.0047855,0.013968,-1.2704e-05,-0.0062918,0.00012596,0.0030287,-0.013405,0.0021117,0.010394,0.020764,-0.0079985,0.018082,0.0053766,-0.014459,-0.0038889
"M699.264T863.447",0.033258,-0.0077299,0.0063642,-0.0017222,0.0018131,-0.012478,0.010295,0.0041849,0.027977,-0.010664,0.017493,0.0065619,0.0062696,-0.0097926,0.031621,0.0085426,-0.012747,-0.019766,-0.012907,0.0096109,0.0060663,-0.0041192,0.020238,0.0071292,0.032875,0.004347,0.0025185,0.028332,0.013402,-0.0080009
"M549.19T901.604",0.045999,-0.019766,0.0080513,0.0039346,-0.022097,0.0063956,-0.012516,-0.007661,0.02301,-0.013257,-0.010467,0.0052286,-0.019448,0.0021788,-0.0047942,0.002496,0.0046432,-0.035021,0.0085744,0.024,0.017487,0.012436,-0.012399,0.0045464,0.0082084,0.0021847,0.0021267,0.017443,-0.010626,-8.696e-05
"M863.509T1256.368",0.040137,-0.0060198,-0.019623,-0.0047851,-0.053558,0.0045162,-0.006595,-0.003843,-0.010985,0.011262,0.0080921,-0.0087201,-0.0059407,-0.00073994,-0.0078615,0.0050548,-0.017469,-0.018456,0.0020703,0.0036371,0.0017406,-0.011908,-0.0037712,-0.002215,-0.013188,-0.0045745,-0.0093339,-0.0096495,-0.011625,-0.0046862
"M947.375T872.624",0.028285,-0.0022793,0.00425,-0.0067804,0.013221,0.01259,0.0015006,-0.00887,0.014431,-0.0078314,0.018377,-0.014236,0.0055732,-0.021391,0.0031672,0.0087517,-0.0097322,0.026239,0.00075901,0.0070205,-0.0036754,-0.016313,-0.010912,0.0061731,-0.0041927,-0.0092459,0.022324,0.01696,-0.0031908,-0.0088958
"M1097.404T942.609",0.036424,-0.0061036,-0.0065787,-0.004324,0.0021059,-0.0006871,0.0066137,-0.002591,-0.0073276,0.0039633,0.0049397,-0.037643,-0.011685,-0.00031134,-0.010087,-0.04414,0.00024428,0.013411,-0.009629,0.017173,0.021248,0.0023527,0.0058471,0.020037,0.01169,-0.0034466,0.007222,-0.012958,0.0027696,-0.005751
"M1002.908T1006.792",0.024217,-0.0033508,0.0067327,0.023641,0.025912,-0.0037723,0.0022928,0.010105,0.0045224,-0.0012804,-0.00077102,0.0079158,-0.00029548,-0.021882,0.015397,-0.0032269,-0.00011743,0.024092,0.053633,0.017246,0.024914,0.0072985,-0.020179,0.014833,-0.012777,0.0026843,-0.012142,-0.0052226,0.014347,-0.0017586
"M349.198T1373.219",0.014481,-0.0026668,0.0035523,-0.015083,-0.01384,-0.0094992,0.014647,0.033393,-0.0035123,0.019907,0.024281,-0.023332,0.014412,-0.0033736,0.010671,0.0024504,-0.01645,0.026838,0.0033755,-0.010776,-0.011942,0.012687,0.017609,-0.016053,-0.0026129,-0.002126,0.01192,0.01489,-0.005366,-0.0082646
"M594.498T1557.26",0.006864,-0.020539,0.026631,-0.026598,0.020873,-0.00095203,-0.018676,-0.00024548,-0.016942,-0.0045597,0.00024496,0.0012252,0.00070355,-0.0078212,0.0035607,-0.020388,-0.021162,-0.017969,-0.025578,-0.027189,0.020758,-0.011412,-0.018116,-0.016078,0.017901,-0.027537,-0.027784,0.0051454,-0.028515,-0.0021868
