"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M467.383T1523.593",0.079921,-0.033177,0.051913,0.0067835,-0.13519,0.12367,0.012672,-0.13325,0.0645,-0.052864,-0.13702,0.021684
"M951.603T1424.253",0.12465,0.042167,-0.21525,-0.086972,0.07351,0.036379,-0.13791,-0.028516,-0.024545,0.07722,-0.06238,0.027423
"M477.403T1542.988",0.050405,0.07495,-0.023134,-0.092729,-0.034609,-0.0050646,0.025119,-0.018215,0.022781,0.13982,0.09031,-0.049119
"M477.407T1590.788",0.054532,0.049671,-0.00035729,-0.089135,-0.0435,-0.030518,0.029846,0.024056,0.041436,0.096284,0.067936,0.0069851
"M549.426T1489.95",0.080639,0.027794,0.048199,-0.064654,-0.045912,-0.073281,0.12669,-0.05157,0.053587,-0.050584,-0.031359,0.0091745
"M471.336T1557.26",0.075421,0.024864,0.055793,-0.077343,-0.086173,-0.069692,0.014227,0.0093192,0.063987,-0.038812,-0.041184,0.0093677
"M330.263T1439.913",-0.041945,0.052141,0.0080159,-0.044667,-0.038758,0.022111,-0.014348,0.025238,0.12217,-0.031156,-0.063311,-0.011136
"M629.529T1601.79",0.10345,0.052147,-0.02572,0.032712,-0.015434,-0.074732,-0.056998,-0.094146,-0.036756,-0.035175,-0.11091,0.008792
"M449.369T1557.545",0.076049,0.051845,0.085566,-0.028432,-0.040187,-0.017407,0.078045,-0.11035,-0.07183,-0.073602,0.10714,-0.019538
"M576.533T1641.124",0.12272,-0.039706,-0.06981,0.082154,-0.01454,-0.0045632,0.018601,-0.002608,0.044951,0.012288,0.069912,-0.023168
"M619.438T1245.233",-0.12831,0.060816,0.045169,-0.070216,-0.058621,-0.019324,-0.042579,-0.14041,0.030295,-0.055467,0.023471,0.011626
"M652.503T1490.314",0.075793,0.059768,0.003307,0.03491,-0.011466,-0.047518,-0.068991,-0.16502,0.014312,-0.019755,0.03003,-0.044509
"M313.161T1621.4",0.022872,-0.018601,-0.11283,0.012147,-0.11385,-0.10124,0.11903,0.002444,0.003466,0.03371,0.09783,0.056577
"M295.151T1624.873",0.045222,0.042669,0.02062,-0.021826,0.034453,-0.02625,0.017986,0.04843,-0.041348,-0.14357,-0.11154,0.025887
"M772.55T1170.538",-0.11295,-0.03208,0.02246,0.030938,0.061657,-0.01328,0.12137,-0.0076371,-0.20518,-0.13422,-0.080428,0.074089
"M494.565T1319.161",-0.040024,0.11609,-0.028796,-0.018217,-0.036946,-0.17882,-0.00048868,-0.1031,0.033159,0.0080186,0.11735,0.022821
"M423.321T1473.286",0.053587,0.11205,0.044822,-0.066462,-0.051742,-0.12676,-0.089318,-0.020672,-0.0094122,-0.020168,-0.036075,0.022165
"M722.581T1518.016",-0.095419,0.20373,-0.046761,0.11637,-0.013172,0.23002,-0.075526,0.17834,-0.21201,0.086902,0.022068,-0.001632
"M535.447T1540.43",0.08362,0.079697,0.062715,0.0036553,-0.065985,0.0038776,-0.075546,0.011565,-0.022977,-0.064263,0.022077,-0.016411
"M477.398T1574.327",0.057771,0.066072,0.0089175,-0.087925,-0.049624,-0.0049055,-0.02284,0.012232,0.024615,0.070966,0.086126,-0.054934
"M691.433T1253.346",-0.034634,0.11572,-0.051597,-0.051932,-0.017123,0.04681,0.058131,-0.027025,-0.029723,0.021244,-0.053144,-0.0020709
"M605.416T1473.993",0.062923,0.052587,0.0042034,-0.081068,-0.076242,-0.12552,0.05744,-0.029242,0.15613,0.021145,0.042384,-0.00072335
"M465.26T1373.143",-0.011464,-0.062512,0.22178,0.14565,0.0015336,0.037431,-0.009176,0.031322,0.057942,0.042895,-0.1154,-0.011538
"M341.283T1305.932",-0.11735,0.075899,0.048145,0.11719,-0.055198,-0.10799,-0.034486,0.015092,0.083682,0.011488,0.096753,-0.013331
"M330.261T1473.013",-0.030996,0.053443,0.0060593,-0.053238,-0.041433,0.0038878,-0.030757,0.028362,0.14968,0.02454,-0.068309,-0.0033659
"M533.435T1510.689",0.094232,0.044743,0.025083,-0.079549,-0.051725,-0.074915,-0.010749,-0.019038,-0.062206,0.0041744,0.0042168,0.016696
"M471.796T1446.028",-0.05438,0.019115,0.049363,-0.01462,-0.069793,0.072178,-0.1116,0.048185,0.041654,0.0059083,-0.1093,-0.00048989
"M339.172T1490.329",0.055381,-0.017891,-0.12413,0.023373,0.080443,-0.11196,0.10689,0.022459,-0.037481,0.14252,-0.19198,0.012418
"M558.46T1591.049",0.082581,0.072596,-0.0038878,0.063438,-0.031837,0.064983,-0.074487,0.016157,0.1024,-0.10392,0.086592,0.027571
"M516.434T1624.418",0.066632,0.01922,-0.046162,0.12027,-0.068065,0.0070838,0.074521,0.19572,0.011559,-0.07211,-0.024371,0.056833
"M722.58T1595.75",-0.066917,0.21799,-0.072698,0.098391,0.012407,0.09261,-0.053976,0.1542,-0.077203,0.15782,-0.072261,-0.085507
"M477.343T1423.013",0.012654,0.060459,0.044268,-0.030558,-0.020997,0.019817,-0.078305,0.11815,0.029948,-0.034503,-0.062487,-0.0005451
"M332.328T1440.13",-0.050468,0.028799,0.026175,-0.055068,0.004032,0.065764,0.039065,0.055303,0.039189,0.036193,-0.068433,-0.0086968
"M494.563T1509.9",0.079034,0.018234,-0.081624,0.032967,0.018513,-0.076764,-0.022397,-0.066196,0.084341,0.0092303,0.10276,-0.011859
"M481.362T1591.564",0.064486,0.038907,0.052602,0.06727,-0.18976,-0.010588,0.0826,0.13954,0.022699,-0.001581,0.15136,0.055538
"M443.333T1262.042",-0.15976,0.073414,0.05811,0.085605,-0.071172,-0.060893,-0.06959,-0.063613,0.040732,-0.031513,-0.048341,0.016578
"M510.367T1523.593",0.062588,0.10585,0.08242,0.01165,0.12564,-0.035147,0.014897,0.01328,0.1055,0.03902,-0.0041054,-0.075452
"M545.456T1607.833",0.07228,0.037943,0.0032385,0.024551,0.10623,-0.060789,-0.012303,-0.020165,-0.11382,-0.14,0.074383,-0.017275
"M669.539T1543.447",0.068854,0.097475,0.059291,-0.068816,0.041682,-0.063978,-0.14095,0.089341,-0.045522,0.035472,-0.027162,-0.045872
"M669.531T1507.08",0.079881,0.093269,0.053845,-0.071627,0.036671,-0.068696,-0.15561,0.0512,-0.050815,-0.023121,-0.026795,-0.04292
"M629.509T1624.418",0.10807,0.040351,0.0030256,0.058997,0.072817,-0.11608,-0.011738,-0.086796,-0.058811,-0.074582,-0.082572,0.050567
"M383.284T1439.726",-0.061792,0.044072,0.00053766,0.020715,-0.0093099,-4.4711e-05,-0.12271,0.010919,0.027433,-0.021402,-0.01249,0.00068241
"M589.501T1621.712",0.080322,0.17383,-0.040384,0.022827,0.12657,-0.092945,0.091848,-0.023189,-0.14787,0.076968,-0.094562,0.062945
"M534.444T1557.26",0.082811,0.054076,0.05623,-0.011893,-0.0061443,-0.16215,-0.0081485,0.067097,0.032951,-0.077048,0.051906,0.043008
"M494.565T1422.678",-0.019442,0.10706,-0.041717,-0.020073,-0.0066721,-0.13492,0.015226,-0.10654,0.070973,-0.0095203,0.093959,-0.012393
"M516.411T1568.021",0.046788,-0.0076932,0.042588,0.051278,0.050715,-0.038231,-0.034213,0.088788,0.044767,-0.013959,-0.015307,0.020575
"M492.408T1557.26",0.056656,0.048929,0.022738,-0.0071673,0.029287,-0.062918,-0.026304,-0.01162,-0.10513,-0.0059991,-0.1453,0.0058851
"M533.436T1590.96",0.070902,0.018734,0.14491,-0.044528,0.013418,-0.014313,-0.10299,0.16006,0.023095,0.075722,-0.15914,-0.018602
"M628.514T1473.756",0.087981,0.062913,-0.10766,-0.063184,0.028558,0.075214,-0.095799,-0.071022,-0.025939,0.030443,-0.065808,-0.022591
"M628.529T1624.373",0.086176,0.11153,0.012954,0.075043,0.12445,0.021871,-0.036064,-0.096363,-0.020825,0.15906,-0.046467,-0.056932
"M609.518T1624.418",0.07065,0.051014,-0.0008239,0.11356,-0.05702,0.00092235,-0.041157,-0.024566,-0.062867,0.0071272,-0.022082,0.021529
"M465.265T1237.073",-0.0098789,0.05839,0.099975,-0.021887,-0.027681,0.048255,-0.14506,0.01144,0.065283,0.017427,0.098554,-0.021985
"M669.562T1624.559",0.073371,0.088122,0.042637,-0.027229,0.059923,-0.036233,-0.14296,0.054301,-0.0075186,0.0047567,0.0045402,-0.0028021
"M628.528T1608.773",0.087572,0.1118,-0.0013957,0.099303,0.12001,0.019979,-0.0048655,-0.10505,0.0039737,0.09266,-0.011158,-0.036345
