"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M629.509T1624.418","-0.520975839","-0.841163357"," 0.227822859","-0.008417955","-0.307309893","-0.256441964"," 0.359236170"," 0.110745921"," 0.812834581"," 0.190380970","-0.150407541"," 0.383696048"
"M383.284T1439.726"," 0.659242902"," 0.357879527","-0.172169896"," 0.154295270"," 0.017600228","-0.190907694","-0.231749571"," 0.003778152","-0.106131228","-0.161717800","-0.143817415","-0.186302475"
"M589.501T1621.712","-0.145367248","-0.362182480","-0.390153861","-0.169442611","-0.484884900","-0.668726588"," 0.708020330","-0.180941778"," 1.146998759","-0.002984057"," 0.046260350"," 0.503404083"
"M534.444T1557.26","-0.393060524","-0.467812722","-0.008494904","-0.075585294","-0.669950895","-0.017900895"," 0.185753870"," 0.382961072"," 0.681204622"," 0.262366503","-0.028869752"," 0.149388918"
"M494.565T1422.678"," 0.511865703"," 0.198712110","-0.388002474","-0.117976182","-0.347933300","-0.279180684"," 0.005989687","-0.200391898"," 0.286123451"," 0.373545696","-0.219421433"," 0.176669325"
"M516.411T1568.021","-0.248624425","-0.447751550"," 0.106249772"," 0.018236598","-0.115352535"," 0.132860262","-0.008048975"," 0.216697062"," 0.404413902","-0.090610481"," 0.078578601","-0.046648230"
"M492.408T1557.26","-3.144132e-01","-2.613607e-01"," 1.373845e-01"," 8.205482e-02","-3.318905e-01","-3.352140e-01"," 3.175138e-01"," 8.022564e-02"," 5.075505e-01","-7.314428e-05","-1.946263e-02"," 1.376849e-01"
"M533.436T1590.96","-0.641544953","-0.178809129"," 0.187974887"," 0.183210559","-0.420566263","-0.004393649"," 0.196195667"," 0.472174586"," 0.672320256","-0.138726647"," 0.098667561","-0.426502877"
"M628.514T1473.756","-0.66767516","-0.41101530","-0.34232946"," 0.23952160"," 0.11975629","-0.64669136"," 0.37050341"," 0.16172596"," 0.50838538"," 0.36447952","-0.01327063"," 0.31660974"
"M628.529T1624.373","-0.30332479","-0.55601378","-0.27150776"," 0.04735364","-0.03354711","-0.34762177"," 0.60303733","-0.06189645"," 1.09312329","-0.02033041","-0.25415124"," 0.10487905"
"M609.518T1624.418","-0.13199694","-0.71409407","-0.04485948"," 0.04813953","-0.14708889","-0.20290811"," 0.58912126"," 0.27932859"," 0.36658094"," 0.04885164","-0.16450638"," 0.07343192"
"M465.265T1237.073"," 0.134291767"," 0.300479619","-0.237629459"," 0.125696134","-0.133664971","-0.000066796"," 0.020890477"," 0.347871096"," 0.257728105","-0.086280116","-0.383419081","-0.345896776"
"M669.562T1624.559","-0.39364440","-0.27584634","-0.23664339"," 0.20839318","-0.36777732","-0.30987286"," 0.20874603"," 0.37955054"," 0.84860049"," 0.01842711","-0.14417873"," 0.06424569"
"M628.528T1608.773","-0.234318953","-0.653158674","-0.281519543","-0.084052896"," 0.006560039","-0.328900839"," 0.583831709","-0.021157601"," 1.068257015"," 0.026336515","-0.269069883"," 0.187193112"
