"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"M722.259T892.9",23121.94275,10426.6994,540138.794,6109886.122,93337.556,66400,57704.086,82800,63100,82529.257,8841.8462,71557.1,11995.7253,68042.5539,58100,67617.77,71196.574,70023.067,82300
"M737.493T1439.78",34807.715975,72204.2362,71122.168,90444.847,102202.673,97800,135077.157,102000,130000,111826.537,67710.2179,134458.508,57008.1595,86077.0197,140000,92131.204,119919.429,122662.447,104000
"M523.599T1382.768",38815.0482,218080.0938,317868.564,315921.916,208311.899,235000,209973.236,234000,189000,187901.643,136725.8644,211283.462,210897.2758,264040.2347,206000,195436.671,148600.122,189794.41,216000
"M549.431T1507.08",56126.916,99370.8879,96042.493,103299.308,168451.468,149000,118372.837,134000,198000,166259.475,89217.532,184426.032,79866.9456,145549.236,147000,130258.336,185634.636,145343.016,154000
"M351.179T1358.969",45159.111325,90762.547,164496.381,177100.227,150617.176,184000,175417.843,186000,137000,129161.96,93360.9653,128317.161,109444.1113,168496.3593,124000,201169.752,144920.145,143340.358,135000
"M330.262T1456.934",12864.1155,110351.8984,137110.335,140737.016,102728.976,107000,109555.22,103000,109000,113688.708,109616.6357,104960.973,114084.608,123821.9636,97300,122322.8,119751.591,113404.789,94500
"M576.484T1557.453",83369.58575,43791.0566,64461.487,67670.811,126762.876,131000,122421.81,134000,161000,168693.101,32816.8324,168850.105,25245.283,119350.2081,274000,98509.224,172602.877,101121.043,152000
"M467.383T1523.593",45751.01645,52699.2113,57843.559,69790.605,155396.475,94000,124758.187,103000,178000,150611.838,41926.7419,101095.872,73786.5943,78910.7123,109000,106786.202,150212.898,86896.931,82800
"M951.603T1424.253",299948.3315,56709.9076,69557.287,92135.708,142506.451,511000,335187.966,97900,395000,291989.228,11904.0538,538493.035,2991.372,148407.7854,375000,92338.403,557435.338,383538.853,595000
"M477.403T1542.988",23307.7525,68754.7701,72109.807,93786.975,70969.575,94100,77218.281,85400,128000,94716.514,53846.9849,111848.974,56109.5131,58914.8385,78900,80611.062,120210.907,92936.348,97600
"M477.407T1590.788",27577.871425,83304.4861,82232.177,104177.767,93016.962,107000,87247.953,107000,137000,115987.442,72678.4973,123815.635,68590.9235,77279.8996,87800,93883.793,135185.524,112824.299,109000
"M549.426T1489.95",67013.182125,92561.8468,100676.424,133273.353,193435.432,126000,117594.929,166000,234000,189085.359,93543.9258,220140.569,81157.4442,179581.4385,172000,166601.017,241057.649,162981.319,174000
"M471.336T1557.26",50751.033975,75170.5993,74425.386,96848.858,130067.098,108000,80275.754,113000,151000,152414.519,86749.9269,141845.353,83888.4283,134566.7156,122000,144790.973,162500.226,115305.119,108000
"M330.263T1439.913",9787.44975,113723.4082,142481.663,144695.624,108400.102,107000,112890.062,106000,112000,116439.588,113143.7459,104941.687,114060.2786,120764.4175,111000,119620.828,119679.325,116487.621,98000
"M629.529T1601.79",116236.464,132953.3609,136004.841,102248.094,246765.089,239000,164330.099,149000,359000,258398.43,99408.1433,363855.34,63886.8421,212935.6676,222000,162267.555,304905.987,188421.4,271000
"M449.369T1557.545",60659.98675,74328.314,86776.903,112966.118,144770.653,106000,96359.396,138000,221000,164273.134,77577.0735,180255.763,75439.9438,127429.8601,172000,105429.918,156989.83,95990.049,156000
"M576.533T1641.124",37593.81155,28320.6636,22442.071,14288.021,56505.779,55200,58843.445,63900,85100,70381.221,26382.3995,71076.644,17797.8111,54376.0282,149000,48273.916,81091.533,61469.199,73900
"M619.438T1245.233",33549.95525,12008.9388,387624.432,451165.77,104462.331,105000,103155.111,96100,79900,81726.498,22931.4815,63128.596,64598.9192,88823.6815,93200,102750.241,110680.498,67480.761,81600
"M652.503T1490.314",53259.2025,66097.6051,103077.817,83127.343,128697.083,133000,110253.068,109000,181000,140423.77,38351.3794,184212.541,28090.4844,113186.4984,215000,89380.577,168202.505,91245.229,144000
"M313.161T1621.4",16278.5743,61415.9419,68126.836,53976.472,65577.015,65400,60961.809,75400,80600,62762.731,86826.8179,51501.376,63797.5098,72393.5838,65000,69814.076,90550.332,81216.187,81400
"M295.151T1624.873",31215.588225,159807.0927,153032.712,160391.252,192224.961,159000,152577.6,154000,195000,194619,170201.3013,200893.9,178349.4201,181277.6822,212000,162708.09,170212.803,181536.781,188000
"M772.55T1170.538",39825.76535,46578.7588,177454.114,163977.061,120148.097,57700,83777.944,85400,55600,45003.284,53509.8867,36260.34,52760.6622,114293.5964,82600,32344.628,36585.277,79056.676,88800
"M494.565T1319.161",68527.38085,188625.3734,417460.715,297804.155,170665.03,216000,148350.007,192000,237000,181237.479,325727.6019,241284.985,181959.6172,233923.5235,194000,183296.61,293896.667,181891.41,254000
