"","PC1","PC2","PC3","PC4","PC5"
"M417.177T763.775",0.030252,-0.011659,0.041212,-0.0023303,0.0044981
"M225.002T107.866",0.037576,-0.032849,-0.0025348,0.017502,-0.0035738
"M947.485T901.595",0.018821,0.01262,0.022166,0.040435,-0.006154
"M399.165T851.906",0.039135,0.012273,-0.0030845,-0.0059513,0.0070504
"M895.304T938.238",0.043347,0.024857,0.0021186,0.0035038,-0.0031875
"M455.081T744.378",0.023508,-0.023394,0.057641,-0.013103,0.0049139
"M430.136T769.014",0.051023,0.042732,0.082077,0.048284,0.020163
"M590.274T907.848",-0.038227,0.024479,0.056892,0.014409,-0.01271
"M353.181T807.324",0.044984,0.015826,-0.0019953,0.02857,-0.0011171
"M419.115T799.29",0.014672,-0.016572,0.05073,-0.020086,0.0020983
"M139.002T112.479",0.016254,-0.0049351,0.044531,0.0033481,0.0015557
"M1095.872T896.96",0.011794,-0.053307,0.027862,-0.066894,0.005224
"M429.646T308.971",0.031715,0.0052683,0.038398,0.0036283,0.0035792
"M968.4T974.568",0.047821,0.043286,-0.029194,0.010952,0.0050675
"M1015.586T1347.819",0.03752,-0.0071581,-0.0168,0.014847,0.003265
"M1033.603T1229.397",0.030737,0.0063165,-0.0083182,0.0060638,0.0052297
"M533.169T900.984",0.033289,-0.037589,-0.0088348,-0.035691,-0.00041958
"M1095.01T894.541",-0.026484,0.052395,0.012013,0.041743,-0.0087169
"M1209.581T888.373",0.0078758,0.0072188,0.062317,0.0023526,0.0025401
"M492.868T66.13",0.022891,-0.019408,0.050244,0.0086789,0.0034819
"M567.276T907.878",-0.027199,0.023144,0.069787,0.028559,-0.0068668
"M664.226T813.714",0.046422,0.011575,-0.022565,-0.015293,0.0049482
"M1035.397T978.889",0.050126,0.028558,0.0015729,0.0073083,0.0040682
"M1162.051T893.06",-0.01783,0.0052442,0.057154,0.015139,-0.0068702
"M812.842T69.273",0.035589,0.0098058,0.069704,0.017386,0.0020225
"M691.153T854.793",0.02546,-0.02092,0.056042,0.0059272,-0.0001166
"M433.351T780.04",0.036398,-0.057491,-0.039874,0.0089309,0.0019271
"M1363.57T899.951",-0.01213,-0.010032,0.082703,0.041378,-0.0033485
"M410.078T615.621",0.050362,-0.066648,-0.029952,-0.13096,0.0006919
"M1125.418T877.844",0.051216,0.050166,-0.024798,-0.0038639,-0.0001924
"M483.183T857.732",0.044326,-0.039859,0.03353,0.054889,0.019624
"M1323.575T889.628",0.006793,0.0046073,0.039646,0.00010056,0.0031098
"M695.298T853.355",0.044104,0.001549,0.025248,0.039825,-0.0090251
"M331.103T255.151",0.0307,-0.01445,0.041574,0.044057,0.010213
"M539.134T89.251",0.027526,0.031977,0.0056465,-0.036695,0.00089623
"M502.995T105.736",0.039281,-0.021846,0.052272,-0.017563,-0.0039265
"M967.36T964.868",0.050389,0.014425,-0.031112,0.083029,-0.003768
"M329.088T474.939",0.021702,0.0030306,0.043778,0.0047097,-0.0010178
"M669.182T316.584",0.035133,-0.014291,-0.0074315,0.00074521,-0.0023036
"M1097.514T1402.931",0.03367,-0.034008,3.9768e-05,0.0135,0.004808
"M990.329T838.789",0.056398,0.028367,-0.021496,0.014978,0.0068395
"M240.933T64.89",-0.048453,0.062233,0.076443,-0.0025506,-0.0038283
"M548.979T106.308",0.035582,-0.028476,0.015596,0.025223,0.00039088
"M1031.288T315.245",0.03877,0.0034138,-0.0085732,0.03606,-0.00071192
"M333.109T769.719",-0.03003,-0.013437,-0.055602,0.12909,-0.01845
"M324.072T215.478",-0.051506,-0.035744,-0.06646,-0.0086198,0.0031645
"M830.24T316.247",0.045834,-0.0046747,-0.0034515,0.050098,0.0043908
"M1087.412T876.684",0.042023,-0.012729,0.019856,0.031241,0.0040688
"M297.244T1278.646",0.014149,-0.042531,0.029615,0.018667,-0.0072745
"M1094.946T896.052",-0.024816,0.040798,-0.0085936,0.019869,-0.0033648
"M385.077T649.201",-0.010512,-0.0090409,-0.0022161,0.0009543,-0.0010221
"M549.205T845.853",0.043619,-0.020533,0.0059752,0.053888,-0.0034479
"M389.108T489.956",0.05874,0.012905,0.010607,0.047609,0.011134
"M632.847T316.374",0.044085,0.025776,-0.022382,-0.019157,0.0073237
"M341.535T617.585",0.040851,-0.043469,-0.0019986,-0.030067,-0.002251
"M387.034T831.689",0.065152,0.018519,-0.022127,-0.037144,0.004695
"M455.021T825.04",0.063015,0.026356,0.0049701,-0.020463,-0.0025588
"M941.462T1306.809",0.026155,-0.033681,-0.02935,0.044314,-0.0079932
"M1036.399T977.849",0.04585,0.058174,-0.034562,-0.015712,-0.00093938
"M305.082T1122.457",0.046308,0.042948,0.0064389,-0.035995,0.002261
"M435.217T805.716",0.051255,0.020195,0.021086,-0.0045089,-0.00090024
"M1136.545T907.7",-0.030376,0.028743,0.053781,0.014625,-0.00067601
"M1130.454T886.215",0.023682,0.001309,0.01835,0.022458,0.00024915
"M415.086T168.579",0.026104,-0.012786,0.03804,0.0074299,-0.00085641
"M567.333T903.822",-0.03697,0.050024,0.024315,0.035857,0.0068345
"M1163.56T905.015",-0.056852,0.065562,0.014909,0.027163,-0.0039701
"M401.18T764.21",0.046439,0.029913,0.010124,-0.021357,0.00082626
"M823.337T914.416",0.042987,0.035758,-0.026407,0.0029019,0.0057092
"M397.259T1311.545",0.030199,-0.017314,-0.018128,-0.049849,-0.0010051
"M443.191T791.98",0.03955,0.020691,0.030135,-0.012628,-0.0036841
"M413.167T733.785",0.036611,-0.0045618,0.049951,-0.0075213,-0.0010225
"M341.259T618.637",0.043164,-0.032733,-0.0053174,-0.0038192,0.0066842
"M859.153T942.886",0.010883,-0.043014,0.054202,0.0065025,-0.0037513
"M633.753T316.098",0.037229,0.02669,0.0079378,-0.0054431,0.0032384
"M919.334T939.971",0.038414,-0.015449,-0.0010023,0.03171,0.0037117
