"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M534.88T17.56","-0.54803978","-0.38897687","-0.38897687"," 0.01936013","-0.10062791","-0.13492832","-0.07195865","-0.02656978"," 0.04756145"," 0.49750971","-0.17395863"," 0.54748930"," 0.13448661"," 0.65562242"," 0.04168676"," 0.53280343","-0.10552877","-0.09361868","-0.01970566","-0.25586338","-0.16776653"
"M536.9T12.55","-0.037807180"," 0.496563411"," 0.496563411"," 0.032377405","-0.051356334","-0.002119553"," 0.119177744","-0.323849938","-0.168063943","-0.556167583","-0.286739644"," 0.601624602","-0.021827990","-0.186232600","-0.322052276"," 0.557708541","-0.232035603"," 0.061987291"," 0.119970094"," 0.033043690","-0.330763545"
"M536.9T17.56","-0.65787251","-0.17870928","-0.17870928"," 0.04859445","-0.06816930","-0.05281012"," 0.11408035"," 0.65815894","-0.06647612"," 0.69231841","-0.04341543","-0.53066144","-0.06033388"," 0.71966108"," 0.19594483","-0.14702746"," 0.30427959","-0.34428509"," 0.02520067","-0.39562394","-0.03414446"
"M544.89T18.56","-0.496069310","-0.238871461","-0.238871461","-0.004838141"," 0.227265390"," 0.187751394"," 0.103669454","-0.110058704","-0.062492839"," 0.226691949"," 0.047235959"," 0.285923705"," 0.127151764"," 0.703370230"," 0.198284040","-0.226239045","-0.003207608","-0.247435918"," 0.123890369","-0.675820141"," 0.072670374"
"M544.89T11.54"," 0.13066632","-0.41210224","-0.41210224"," 0.00947055"," 0.44624529"," 0.05522221"," 0.06966925","-0.40706633"," 0.09233383","-0.28316022"," 0.67106768"," 0.04134446","-0.04380333","-0.16184430"," 0.20932452","-0.14702014"," 0.09712555"," 0.01516569"," 0.31808723"," 0.10103887","-0.38966267"
"M549.19T881.43","-1.1898246"," 0.6441598"," 0.6441598"," 0.7822075"," 0.6036466"," 0.5281251"," 0.5771826"," 0.8888453"," 0.3745880","-1.2959425"," 1.0655348","-1.3170938","-1.9368397","-1.9465460","-0.1989744","-1.9530748"," 0.4031598"," 1.0257420"," 1.0312350"," 0.6827550"," 0.5869544"
"M564.89T12.55"," 0.12012776"," 0.03669542"," 0.03669542"," 0.04282013","-0.08579492","-0.01202163"," 0.41905303"," 0.30263460","-0.14268717","-0.66258293"," 0.38037939","-0.21434538","-0.07827916","-0.11242733","-0.05937750","-0.19751180","-0.02347338"," 0.07238953","-0.05341388"," 0.13135433"," 0.09976548"
"M565.89T17.56","-0.3391988297","-0.2757365635","-0.2757365635","-0.0548036052","-0.2320885129"," 0.0760531670","-0.0005633787"," 0.1078608569","-0.0996413200"," 0.7246401784","-0.0621998812"," 0.7335594317","-0.0740557517","-0.1457931021","-0.0690558115"," 0.6082153703","-0.1273183339"," 0.0878910746","-0.1721026015","-0.4498497877"," 0.0399239643"
"M569.88T19.56","-0.55718661"," 0.25879887"," 0.25879887"," 0.12144307"," 0.14119953"," 0.26321099"," 0.02918045"," 0.21267084"," 0.10261115","-0.18604198"," 0.05062784","-0.23716051"," 0.15602330"," 0.09891074","-0.14364685","-0.01256038"," 0.09188960","-0.42852383"," 0.51163560","-0.55123113","-0.18064957"
"M573.47T1437.42","-1.0406944"," 0.4471183"," 0.4471183"," 0.5668273"," 0.4310560"," 0.2085934"," 0.3344249"," 0.5442188"," 0.3296200","-1.1432795"," 0.6107656","-1.6550692","-0.8269731","-1.0898327","-0.1685153","-1.0852435"," 0.3248362"," 0.8447080"," 0.7741443"," 0.5864580"," 0.5597188"
