"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M1594.44T13.55","9452.981","8705.017","8705.017","9935.718","10559.118","10057.866","9871.141","8200","8817.399","9553.3173","9072.128","10381.798","11594.487","9756.65","9728.13","10122.257","9469.499","9156.352","10711.133","8889.571","10353.048"
"M1595.36T13.55","16832.708","15454.518","15454.518","20824.286","18685.567","19829.917","17881.707","17800","18752.016","20333.1001","17235.124","20088.087","15422.038","20224.116","18347.053","14980.269","21511.926","19219.754","19991.833","16822.715","22244.11"
"M1596.37T13.55","7449.584","8296.124","8296.124","10290.78","10075.022","9514.566","7804.527","6800","10303.68","9456.7646","8170.246","9145.796","9494.65","5953.585","6493.292","9126.855","6215.354","10807.101","9407.465","9411.183","11099.149"
"M1597.03T13.54","7050.191","9302.9","9302.9","7797.322","9100.661","8350.154","7969.214","6100","6094.007","7051.0097","6468.363","8595.338","8798.843","8818.936","4258.588","8094.032","8709.452","9040.862","8441.321","4744.19","11935.316"
"M1599.43T13.55","7285.411","8911.468","8911.468","7815.376","9024.376","8642.79","5813.461","6770","8417.445","8653.0246","8948.939","9101.754","8816.89","8507.703","8386.667","8166.14","8754.897","9560.002","8515.578","7720.05","8249.441"
"M1599.94T13.55","10370.033","8753.311","8753.311","12318.846","10767.015","11281.537","8940.742","8530","11290.726","12169.8719","11449.584","11065.133","12033.24","11067.844","9996.796","11554.274","12671.351","11077.001","11888.011","10500.567","12349.92"
"M1600.69T13.55","9995.126","8149.217","8149.217","13030.976","12271.072","11223.089","13135.111","12500","11507.298","12414.664","12306.362","12857.474","11775.365","12186.275","10705.699","12326.324","11855.317","11677.444","13099.273","11280.988","14355.369"
"M1603.36T13.55","7618.876","9434.452","9434.452","10902.61","9370.444","9108.008","9913.316","9340","9690.02","9878.8855","10561.49","9289.968","9448.908","9964.479","8727.139","10014.888","11414.077","4591.734","10173.959","5662.938","9992.01"
"M1604.01T13.55","14114.193","11376.662","11376.662","16106.174","15249.928","15072.084","16658.169","12500","13486.764","13861.5125","14676.741","15530.278","15375.192","14704.25","14022.619","16358.812","18779.137","15978.404","16003.092","13477.652","18984.589"
"M1610.02T13.55","11801.088","12227.221","12227.221","14621.734","14433.577","11834.353","13359.96","10200","14012.907","13664.6557","13590.987","13386.218","12399.803","14569.896","14706.659","13491.002","14236.007","12920.363","13220.613","11459.7","14473.693"
"M1610.94T13.55","9795.067","7546.428","7546.428","12641.812","9921.533","13292.953","11006.733","10500","10544.586","10086.8372","10704.469","11161.926","10310.281","9796.809","11749.846","11646.404","10849.418","11019.866","11911.68","10620.823","13758.665"
"M1610.96T13.55","9801.575","9628.873","9628.873","11723.064","9330.878","10156.08","11303.109","10100","10085.852","10405.6078","11694.43","11635.968","11158.971","9796.809","11709.61","12142.05","10849.418","11019.866","11226.996","9771.314","13099.164"
"M1611.18T13.55","7600.126","7594.591","7594.591","8892.598","8788.272","11080.089","8952.778","9780","10441.934","10152.2951","8878.047","8541.592","10038.061","8890.069","9698.534","9301.101","9207.875","9155.151","9630.411","8212.564","11015.713"
"M1611.43T13.55","8320.924","8935.74","8935.74","10443.236","10081.151","9334.293","8583.674","7240","9016.003","9010.2267","10437.76","9607.591","10453.138","10357.029","8644.782","10200.367","10604.891","8945.792","11854.242","6252.702","12012.668"
