"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M1096.195T893.605",1.0282,1.0217,1.0217,1.0217,1.0217
"M1008.375T923.099",1.0278,1.0546,1.0545,1.0545,1.0545
"M413.091T89.817",1.0268,1.0117,1.0115,1.0115,1.0115
"M715.427T310.719",1.0265,1.0134,1.0132,1.0132,1.0132
"M715.392T322.783",1.0195,1.0058,1.0057,1.0057,1.0057
"M495.025T292.616",1.0167,1.0222,1.0221,1.0221,1.0221
"M507.151T845.473",1.0163,1.0237,1.0235,1.0235,1.0235
"M889.313T902.886",1.0147,1.0033,1.0033,1.0033,1.0033
"M807.744T937.741",1.0123,0.99731,0.99732,0.99732,0.99732
"M509.218T928.864",1.0114,0.99798,0.99791,0.99791,0.99791
"M621.037T758.225",1.0102,0.9971,0.99703,0.99703,0.99703
"M399.275T1363.391",1.0081,0.98687,0.98669,0.98669,0.98669
"M1144.448T942.538",1.0056,1.0507,1.0505,1.0505,1.0505
"M627.643T1193.32",1.0055,1.0313,1.0317,1.0317,1.0317
"M399.065T319.722",1.0041,1.049,1.0489,1.0489,1.0489
"M593.934T851.064",1.0039,1.0311,1.031,1.031,1.031
"M941.317T938.576",1.0027,0.98789,0.98804,0.98804,0.98804
"M901.161T984.095",1.0022,1.0148,1.0152,1.0152,1.0152
"M517.897T66.885",1.0018,1.05,1.0498,1.0498,1.0498
"M472.886T66.482",0.99848,0.99312,0.99293,0.99293,0.99293
"M1031.347T966.014",0.99734,0.99989,0.9997,0.9997,0.9997
"M1162.717T895.445",0.99698,0.97876,0.97882,0.97882,0.97882
"M409.002T109.878",0.99578,0.97487,0.97468,0.97468,0.97468
"M633.697T313.008",0.99361,1.0483,1.0481,1.0481,1.0481
"M469.208T948.545",0.99213,0.97123,0.97205,0.97205,0.97205
"M1103.384T928.554",0.99128,1.0146,1.0144,1.0144,1.0144
"M702.255T837.404",0.98821,0.97061,0.97043,0.97043,0.97043
"M1106.454T890.453",0.98577,0.97,0.96999,0.96999,0.96999
"M281.069T746.743",0.98557,0.96735,0.96717,0.96717,0.96717
"M653.891T318.024",0.98306,0.96298,0.9628,0.9628,0.9628
"M316.427T318.614",0.982,0.96237,0.96224,0.96224,0.96224
"M968.4T974.568",0.97987,0.97366,0.97435,0.97435,0.97435
"M1461.92T936.679",0.97934,0.97193,0.97177,0.97177,0.97177
"M830.24T316.247",0.9788,1.0019,1.0018,1.0018,1.0018
"M445.207T780.093",0.97845,0.95785,0.95767,0.95767,0.95767
"M451.125T735.96",0.97587,0.96262,0.96244,0.96244,0.96244
"M545.298T995.647",0.97196,0.95181,0.95163,0.95163,0.95163
"M483.209T897.853",0.97103,0.95507,0.95503,0.95503,0.95503
"M807.113T936.925",0.96978,0.96398,0.96381,0.96381,0.96381
"M413.167T733.785",0.96646,0.94882,0.94865,0.94865,0.94865
"M505.029T765.672",0.96614,0.94656,0.94683,0.94683,0.94683
"M367.058T823.98",0.96565,1.045,1.0451,1.0451,1.0451
"M785.833T68.422",0.96211,1.0082,1.0081,1.0081,1.0081
"M463.182T861.112",0.96148,0.94129,0.94188,0.94189,0.94188
"M241.108T881.116",0.96106,0.94179,0.94259,0.94259,0.94259
"M289.026T88.643",0.96001,0.94075,0.94065,0.94065,0.94065
"M593.857T757.673",0.95982,0.94189,0.94228,0.94228,0.94228
"M460.969T105.772",0.95877,0.94117,0.94109,0.94109,0.94109
"M309.119T137.634",0.95826,0.98241,0.98233,0.98233,0.98233
"M1129.441T885.407",0.95706,0.93699,0.93685,0.93685,0.93685
"M1161.521T895.466",0.95642,0.93623,0.93612,0.93612,0.93612
"M909.388T926.435",0.95623,1.036,1.0358,1.0358,1.0358
"M632.847T316.374",0.95587,0.97645,0.97627,0.97627,0.97627
"M886.794T67.143",0.95075,0.99031,0.99038,0.99038,0.99038
"M560.841T1187.938",0.94957,0.93345,0.93341,0.93341,0.93341
"M695.12T755.765",0.94899,0.93534,0.93581,0.93581,0.93581
"M769.419T945.253",0.94284,0.92303,0.92312,0.92312,0.92312
"M526.316T1188.04",0.94173,0.94499,0.94583,0.94583,0.94583
"M335.137T198.47",0.94122,0.93872,0.93857,0.93857,0.93857
"M649.026T106.128",0.94023,0.92729,0.92716,0.92716,0.92716
"M548.179T817.387",0.93632,0.92338,0.92353,0.92353,0.92353
"M415.27T1182.702",0.93385,0.96381,0.96362,0.96362,0.96362
"M890.319T900.562",0.93038,0.94905,0.94891,0.94891,0.94891
"M405.167T106.416",0.92751,0.92053,0.92036,0.92036,0.92036
"M1192.04T901.764",0.92746,0.9276,0.92863,0.92863,0.92863
"M714.253T913.384",0.9248,0.93119,0.93108,0.93108,0.93108
"M417.177T763.775",0.92468,0.90537,0.90586,0.90586,0.90586
"M333.083T110.42",0.92395,0.91186,0.91175,0.91175,0.91175
"M329.089T195.942",0.92041,0.9014,0.90186,0.90186,0.90186
"M709.31T874.193",0.91906,0.91717,0.917,0.917,0.917
"M408.822T1801.685",0.91708,0.89921,0.8992,0.8992,0.8992
"M220.134T731.802",0.91447,0.89969,0.89982,0.89982,0.89982
