"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.259T909.874","-0.41508522","-0.08977042"," 0.40876748"," 0.17517459"," 0.14544284"," 0.22803338","-0.48132678"," 0.26932630","-0.02522190","-0.07528509","-0.04833687","-0.09171831"
"M593.49T1539.529","-0.49852367","-0.28646509","-0.14075548"," 0.07061974"," 0.14742905","-0.11266036"," 0.08141919"," 0.23668556"," 0.49041309"," 0.21661910","-0.35283680"," 0.14805567"
"M711.565T1605.092","-0.42326916","-0.31902169","-0.07729435"," 0.12862162","-0.26800794","-0.26651194"," 0.28607213","-0.14269604"," 1.23669460","-0.09510160","-0.33970678"," 0.28022117"
"M649.479T1423.325","-0.64505803","-0.14599774"," 0.22912279"," 0.11082056","-0.26904199","-0.07362073"," 0.27360364"," 0.13714198"," 0.36341027"," 0.45966406","-0.34455666","-0.09548814"
"M723.435T1322.772"," 0.236097336","-0.196973113","-0.163228990"," 0.312096299"," 0.199783570"," 0.004688185","-0.366405723","-0.330482252"," 0.263401562"," 0.060678592"," 0.003248276","-0.022903743"
"M423.198T1506.423"," 0.23334697"," 0.22653165","-0.14570460","-0.04225444"," 0.21568565","-0.19545719","-0.03603431"," 0.09142987"," 0.26924218","-0.28333520","-0.23593959","-0.09751099"
"M727.445T1338.726","-0.27631286","-0.04142630","-0.01560762"," 0.28133922"," 0.02530731","-0.20891204","-0.02313120","-0.30582545","-0.10734662"," 0.66424718"," 0.07588450","-0.06821613"
"M986.584T1288.291"," 0.40732225"," 0.52239433","-0.28473054"," 0.21982643"," 0.02692646"," 0.08085493","-0.41536104","-0.30744920"," 0.38425957","-0.38279845","-0.07875881","-0.17248592"
"M593.489T1519.555","-0.51434574","-0.19936320","-0.14305069"," 0.09723922"," 0.13948265","-0.12875758"," 0.13373379"," 0.19805866"," 0.50584915"," 0.19388950","-0.36334680"," 0.08061103"
"M385.184T1473.566","-0.21424000"," 0.07833950","-0.15288441"," 0.06198044","-0.49148577","-0.41219668"," 0.20890513"," 0.13991462"," 0.01070733"," 0.14711784","-0.32296052"," 0.94680254"
"M571.362T1440.098","-0.12652550","-0.35925049","-0.06382359"," 0.04985024","-0.11337964","-0.26955903"," 0.35158969","-0.15724523","-0.03050487"," 0.66100993","-0.08346554"," 0.14130403"
"M646.461T1352.771","-0.47902410","-0.02318966","-0.05531705"," 0.18835970","-0.10689149","-0.40785582"," 0.42607502","-0.04800040"," 0.02963444"," 0.23076960"," 0.07712283"," 0.16831692"
"M555.456T1423.317","-0.45988928","-0.06188125"," 0.23288152"," 0.09206178","-0.29663506","-0.19665607"," 0.32298977","-0.31967830"," 0.29504574"," 0.52889447","-0.09811552","-0.03901778"
"M679.553T1406.451","-0.45512939","-0.92604267"," 0.27684269"," 0.45202664","-0.11262194","-0.07563266"," 0.39290354"," 0.05126912","-0.64712012"," 0.87789322"," 0.20970513","-0.04409357"
"M547.402T1437.709","-0.34524244","-0.70150265"," 0.16985477"," 0.16311339","-0.20152725","-0.09903398"," 0.34281814"," 0.03896366"," 0.13906155"," 0.59601090","-0.08241325","-0.02010284"
"M985.575T1306.148"," 0.208844969"," 0.291341048","-0.103781627","-0.313166951"," 0.201841225","-0.008820568","-0.311287305","-0.249839050"," 0.114501343"," 0.013927282"," 0.285387560","-0.128947927"
"M716.516T1356.112"," 0.460884345","-0.241329738","-0.127570136"," 0.596006794","-0.045068797","-0.362471382","-0.265071596","-0.189669111","-0.194993273"," 0.001907046"," 0.397689858","-0.030314011"
"M775.526T1457.082","-0.1437216099"," 0.0071637053"," 0.0004127218","-0.2540600864"," 0.5915405008","-0.0627822964","-0.3519831572","-0.2577886027","-0.0938442548","-0.1022824814"," 0.4639047055"," 0.2034408554"
"M590.446T1338.898","-0.719964022"," 0.079560624"," 0.221967592"," 0.203189290","-0.084380428","-0.333905258","-0.029862847"," 0.101994158"," 0.173127308"," 0.218848960"," 0.003360058"," 0.166064565"
"M826.525T1288.728","-0.66331688"," 0.21594371","-0.22317730","-0.15317176"," 0.28586936","-0.17399362"," 0.12251275","-0.01779910"," 0.27478570"," 0.00482155"," 0.28892016"," 0.03860542"
"M879.468T1338.726","-0.832839720"," 0.081884191","-0.355836365","-0.114900837","-0.005607687","-0.211407081"," 0.680993848"," 0.160605714"," 0.518576158","-0.006739034","-0.017976634"," 0.103247449"
"M826.503T1348.634","-0.65458104"," 0.26493877","-0.20582183","-0.14175633"," 0.24092525","-0.19153225"," 0.12182914","-0.03105607"," 0.25420172","-0.00523292"," 0.28781225"," 0.06027333"
"M808.523T1304.698","-0.3556575173"," 0.1097104568","-0.3109613149","-0.1232451479"," 0.2093098583","-0.0713949269","-0.1481930447","-0.2740024657"," 0.3719818502"," 0.0008026203"," 0.2544117041"," 0.3372379277"
