"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M457.136T788.61",0.042641,0.0092034,-0.0078414,-0.015647,0.037252,-0.032801,0.01385,0.016127
"M311.138T170.155",0.037858,-0.0011281,0.021105,-0.018249,-0.035525,-0.0094618,-0.025189,-0.013197
"M593.763T756.056",0.032516,-0.1108,0.048827,0.0071449,0.023418,-0.065976,0.011521,0.050527
"M392.068T765.784",0.03421,-0.041302,0.036671,-0.024584,-0.0053572,0.014501,-0.03717,-0.030957
"M433.661T789.942",0.035885,0.015321,0.032087,-0.028174,-0.0098309,0.013622,-0.0053312,0.030962
"M919.493T1102.884",0.034622,-0.01849,0.033647,-0.0078508,-0.027434,0.05865,-0.016551,0.026877
"M437.044T765.875",0.042197,0.012057,0.032274,-0.035057,-0.0015598,-0.0019939,-0.029566,-0.012006
"M715.427T310.719",0.031546,-0.040769,-0.0072916,0.02558,-0.0489,0.07206,-0.0071058,-0.060539
"M1095.84T892.791",0.040195,-0.023391,0.056606,0.062231,-0.032071,0.047565,-0.061566,-0.043803
"M485.168T916.74",0.0378,0.011817,0.01389,-0.027937,-0.016675,0.025001,0.0008254,0.012846
"M313.119T883.187",0.038325,0.011168,-0.12226,0.0274,0.074486,0.0091866,0.036442,-0.026903
"M433.039T456.919",0.045986,-0.024204,-0.087302,0.15906,0.066413,-0.093042,-0.10369,0.036337
"M447.259T942.596",0.038834,-0.030628,0.028754,-0.011836,-0.019012,0.012558,0.0071759,-0.017677
"M355.067T660.488",0.03035,-0.05935,0.00050866,0.0015837,-0.0022465,0.0038394,0.025495,-0.017807
"M1134.038T907.684",0.011764,-0.11951,0.034313,-0.041169,0.066188,-0.00823,-0.003894,-0.0088209
"M819.254T316.358",0.03328,0.015831,-0.00010395,0.002438,0.019001,-0.011402,0.021326,0.014039
"M383.609T322.831",0.034993,-0.025442,0.023064,-0.0022883,-0.030664,0.019955,-0.017675,0.029466
"M341.31T626.276",0.042121,0.0030854,-0.021281,0.058701,-0.038868,-0.016063,0.035021,-0.018229
"M579.151T798.32",0.034345,-0.08629,0.03341,0.0031607,0.054714,0.0019726,0.0031502,-0.011674
"M784.154T761.471",0.037901,-0.0020809,0.036634,-0.02907,-0.016542,-0.013128,-0.0067335,-0.01541
"M323.187T1016.246",0.033523,0.036468,0.053545,-0.015319,-0.027865,0.048435,-0.041651,0.01285
"M1099.581T1224.487",0.034192,-0.0074697,0.0013089,-0.03277,-0.00976,0.021644,0.016981,-0.008831
"M206.988T126.118",0.033223,-0.026621,0.024103,-0.019426,-0.015741,0.030624,-0.029521,0.042231
"M685.228T857.881",0.04312,-0.005855,-1.89e-05,-0.011106,0.041393,-0.034918,0.035148,-0.070488
"M441.162T763.637",0.037342,-0.004232,0.035863,-0.056755,0.035289,0.0019084,0.034703,0.0072067
"M963.275T732.778",0.037806,-0.022598,0.023755,-0.013026,0.037496,-0.0046684,-0.002542,0.021073
"M991.316T318.206",0.033819,0.0019191,-0.0025437,-0.0021535,0.021034,0.0077751,0.0029674,0.038356
"M867.206T809.129",0.042453,-0.082282,-0.010669,-0.014703,-0.017305,0.069928,0.022789,0.0068108
"M403.064T798.991",0.030367,-0.097663,0.061683,0.010003,0.0068193,0.010342,0.023852,0.014857
"M836.522T1479.692",0.036098,-0.0023638,0.03551,-0.019604,-0.035264,0.045124,-0.0072444,-0.0053598
"M399.275T1363.391",0.037014,-0.039424,-0.006772,0.016526,-0.019396,0.037258,-0.022748,-0.02359
"M548.179T817.387",0.037831,-0.00031951,-0.037806,0.022209,0.0645,0.022516,0.048789,-0.075756
"M524.183T892.811",0.037247,0.010145,0.0032642,-0.015016,0.0056981,0.0046014,0.00054367,0.01304
"M518.153T824.178",0.034698,-0.01363,-0.059677,0.022728,-0.034835,0.015771,-0.041794,0.022293
"M1096.548T894.929",0.033579,-0.078888,0.046511,-0.038763,0.0048012,-0.0022897,0.027843,-0.017231
"M999.268T316.316",0.034244,0.024641,0.027556,-0.0014384,0.0090644,0.0035258,0.013298,0.012302
"M266.366T1577.236",0.032648,-0.011266,0.025653,-0.027299,-0.048364,0.012672,-0.019343,0.023487
"M836.743T1479.398",0.033502,-0.0019633,0.0025851,-0.0036287,-0.03027,0.019993,-0.055176,0.01307
"M252.965T98.618",0.034811,-0.017009,0.05781,-0.050338,0.003992,-0.024125,0.021171,0.018356
"M529.154T821.794",0.036363,0.023541,-0.0095691,0.0070079,-0.0023556,0.021572,-0.022469,-0.040862
"M487.212T857.117",0.039078,0.022357,0.0087433,0.011133,-0.021921,0.0061451,-0.050245,-0.021959
"M1323.386T316.247",0.032644,0.016544,-0.016441,-0.0073323,0.038131,0.03227,0.027136,-0.013184
