"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M433.122T384.02",0.36539,0.32731,0.3171,0.69321,0.71806,0.71767,0.71764,0.71764
"M1161.521T895.466",0.36104,1.3781,1.3333,1.3261,1.323,1.3222,1.3222,1.3222
"M575.708T1045.732",0.36022,1.0115,0.99738,0.9853,0.98406,0.98347,0.98358,0.98358
"M1192.04T901.764",0.3595,2.221,2.1384,2.1112,2.1075,2.1065,2.1064,2.1064
"M355.067T660.488",0.35416,1.1649,1.1171,1.1024,1.0996,1.099,1.0989,1.0989
"M564.929T1201.416",0.35328,0.74074,0.71875,0.74449,0.74347,0.74365,0.74372,0.74372
"M289.446T802.654",0.35195,1.1379,1.2226,1.2116,1.209,1.2087,1.2087,1.2087
"M579.151T798.32",0.35023,1.4216,1.419,1.4035,1.4044,1.4036,1.4035,1.4035
"M333.135T1582.426",0.34223,0.69268,0.67082,0.7237,0.72192,0.72171,0.72169,0.72169
"M577.137T781.037",0.33967,1.5297,1.5572,1.5407,1.5395,1.5394,1.5393,1.5393
"M273.314T67.476",0.33006,1.7678,1.7294,1.7345,1.7332,1.7356,1.7355,1.7355
"M590.274T907.848",0.32926,2.0183,1.9392,1.9162,1.912,1.911,1.9109,1.9109
"M1096.548T894.929",0.31987,1.4367,1.3865,1.3785,1.3751,1.3743,1.3743,1.3743
"M613.564T887.981",0.31947,1.1935,1.1476,1.1324,1.1321,1.1315,1.1314,1.1314
"M569.273T895.199",0.31904,1.4467,1.3976,1.3823,1.3791,1.3783,1.3783,1.3783
"M264T169.106",0.31585,1.2202,1.1883,1.1747,1.1735,1.1734,1.1733,1.1733
"M645.124T781.203",0.31047,1.5736,1.5113,1.4926,1.489,1.4892,1.4891,1.4891
"M1093.54T895.081",0.30958,1.4634,1.4112,1.3965,1.3931,1.3923,1.3923,1.3923
"M569.775T895.343",0.30899,1.4294,1.3764,1.3606,1.3577,1.357,1.3569,1.3569
"M732.379T69.273",0.304,1.7558,1.702,1.6869,1.694,1.6977,1.6977,1.6977
"M653.717T312.26",0.28852,0.97062,0.93098,0.92484,0.92271,0.92217,0.92221,0.92221
"M531.009T876.272",0.2523,2.2615,2.2612,2.3015,2.2994,2.2984,2.2984,2.2984
"M651.363T1268.695",0.2478,1.4344,1.3829,1.3684,1.3664,1.3664,1.3663,1.3663
"M1094.047T894.516",0.23418,1.6476,1.5923,1.5791,1.5753,1.5743,1.5742,1.5742
"M589.773T907.878",0.22194,1.915,1.8371,1.8145,1.8106,1.8098,1.8098,1.8097
"M519.896T67.425",0.20635,1.3651,1.309,1.2919,1.2902,1.2945,1.2946,1.2946
"M596.277T932.512",0.20565,0.43668,0.43676,0.57518,0.59698,0.5989,0.59894,0.59894
"M285.243T1390.408",0.20119,0.96399,0.9665,0.95591,0.95689,0.95853,0.95848,0.95848
"M403.064T798.991",0.19665,1.4961,1.5485,1.5294,1.5258,1.525,1.525,1.525
"M593.857T757.673",0.1962,1.7115,1.7001,1.6789,1.6748,1.6739,1.6739,1.6739
"M861.451T1062.153",0.1829,1.3688,1.3139,1.2966,1.2935,1.2947,1.2947,1.2947
"M1095.063T894.34",0.17901,1.714,1.6537,1.6354,1.6314,1.6304,1.6303,1.6303
"M265.426T1576.148",0.1788,1.9379,1.9704,1.9522,1.9477,1.9469,1.9468,1.9468
"M287.077T663.979",0.17645,1.3532,1.2978,1.2835,1.2835,1.2834,1.2835,1.2835
