"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M735.437T1351.512","7463.1438","10382.5521","10917.992","5419.3385","10506.784","301.15942","7296.0711","12449.1291","8908.9319","8312.7421","9145.182","776.0806","8644.521","8050.4009","6005.756","60.231884","11081.0146","9828.3492"
"M851.154T319.552","13108.6001","14347.3504","16040.9134","14269.8131","15436.2286","2517.41108","16437.9052","14343.8802","12620.3264","12587.0554","15006.4235","2517.41108","14599.5248","15741.1797","15927.8919","2517.41108","13328.1653","14475.2688"
"M265.093T134.502","14866.3999","11793.9869","17703.8038","15326.2689","17144.5021","38.8","22340.8208","12021.64","11367.9638","19265.0272","20595.1417","38.8","14968.9155","14355.3924","14843.3252","194","25078.6539","15844.048"
"M575.708T1045.732","10669.8765","16623.446","9565.5536","14014.2673","14547.9653","486.5729","12189.2815","11693.2707","8560.7832","9601.7717","14971.6104","486.5729","10412.3842","12078.3024","2432.8645","486.5729","4369.8861","10982.2054"
"M657.063T941.851","7500.7009","14558.1446","5099.4111","5274.0379","7910.769","189.93774","8468.4653","11049.1419","9250.6567","9344.7649","13910.0621","949.6887","10111.6782","26974.7343","8566.0223","189.93774","6842.7526","7166.5599"
"M632.663T319.55","27171.3746","17353.4347","33805.5536","12633.7293","17159.0535","312.90954","28389.411","27587.03","16810.9857","33032.7206","22228.4142","418.6103","27047.0347","26582.696","25260.759","173","30642.7526","28178.985"
"M809.433T1339.33","9099.6443","7604.0251","7183.1655","5663.9811","7874.2383","23","7548.6494","9300.0464","8016.5369","7276.8973","8408.0696","167.664","6304.7914","5886.8516","7698.5691","115","7339.0911","7735.7218"
"M654.008T318.692","12741.7018","6412.4275","13098.6079","8666.4025","9167.9665","41.5814","10939.9691","17908.4583","9489.267","13867.4264","9527.1704","207.907","13296.4968","13110.0874","15636.3967","41.5814","12450.4339","20849.6472"
"M923.402T931.508","2596.3918","925.3202","5038.3866","7678.475","5181.6242","185.06404","15362.251","7731.502","5559.1392","10623.4902","7797.4839","185.06404","9314.7137","3068.3882","5254.2718","185.06404","6651.5591","7374.7461"
"M428.2T856.891","2958.4344","1870.2389","4674.1284","2455.335","3004.4568","374.04778","5540.3122","5862.0341","5188.1472","5042.3573","7742.2144","374.04778","5223.5428","5188.9519","2783.2739","374.04778","6042.1578","9713.5246"
"M281.069T746.743","2784.0938","2583.6568","2944.3462","3891.6261","3608.0445","43.26508","3901.2318","2249.6239","2657.7395","3390.0913","2746.1499","216.3254","3328.7589","2490.5535","2833.1302","43.26508","3027.3185","2393.3815"
"M703.247T844.715","5191.0637","3007.185","6053.6741","2925.4883","4160.8848","43.4","7603.1476","9241.5716","5655.5377","7733.8938","8574.3353","411.9396","2005.8896","5034.992","5458.8571","217","8852.6938","5364.9794"
"M590.015T907.684","11007.2351","21324.8831","15043.9199","7204.0848","9105.6326","256.95068","9624.1339","14466.0219","16775.4078","13466.0918","18512.8966","51.390136","13099.1747","15492.6134","13359.7416","51.390136","3236.3403","5619.8417"
"M455.081T704.884","14953.8039","17203.7733","21386.8131","15228.245","19041.3667","267.65931","31359.8906","13865.1566","14727.0318","20809.14","28927.0596","230.1389","17786.1537","19204.2983","15935.5415","46.02778","11066.61","21012.698"
"M970.813T317.253","9667.6521","6303.8972","12334.4981","16291.66","7118.9425","1004.38618","10737.7219","14817.8461","5021.9309","14177.4737","17190.8709","1004.38618","7245.7089","9292.1011","5484.6112","1004.38618","15574.4193","11429.6609"
"M997.575T1403.78","84658.9954","104490.6782","117454.762","90500.2174","132024.6016","62.2","129496.9929","106188.025","80043.7431","105337.4544","121436.4868","580.8584","90405.508","100087.5674","113162.7572","311","200092.0737","115836.7552"
"M1053.286T316.584","16926.781","10325.9174","19213.5072","19418.9738","12881.1724","282.38316","19138.6799","16384.8836","9700.8718","16249.1957","19247.455","56.476632","13521.713","14818.0206","15285.8729","56.476632","19883.2535","18507.1329"
"M1163.085T907.707","17773.1256","45165.872","22506.7869","7825.1468","1329.0296","136.10004","15500.123","11877.4948","6279.4973","13921.7336","27632.807","136.10004","13273.6407","11506.4575","13755.2591","136.10004","136.10004","680.5002"
