"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M530.968T106.005","-0.39456298","-0.48929250","-0.40542180","-0.07457143","-0.36433738","-0.64182794"," 0.33309576"," 1.22517295"," 0.53069182"," 0.12118394","-0.07224603"," 0.23211560"
"M1009.607T1323.757","-0.43900703","-0.50018056","-0.23083645","-0.31107074","-0.02083837","-0.77918466"," 0.37689959"," 1.15366304"," 0.31202452"," 0.12858683"," 0.22384751"," 0.08609632"
"M653.717T312.26","-0.21509023","-0.20777403"," 0.09228591"," 0.04416847","-0.65472855","-0.52034260"," 0.74598209"," 0.77056953"," 0.55780893"," 0.05057225","-0.41361242","-0.24983935"
"M1031.899T1225.646","-0.18747704","-0.37688192","-0.27603854","-0.12415707","-0.07162675","-0.77383151"," 0.44453437"," 0.46182756"," 0.86297936"," 0.08473167"," 0.01809456","-0.06215470"
"M297.119T136.686","-0.34495153","-0.62516376","-0.37556696","-0.22682327","-0.04635892","-0.70138347"," 0.35626597"," 1.25514925"," 0.56870741"," 0.31406638","-0.24060873"," 0.06666763"
"M769.419T945.253","-0.32270990","-0.88504868","-0.66030275","-0.30042398","-0.22201602","-0.14666227"," 0.36470919"," 0.95555064"," 0.45258230"," 0.65212346","-0.02134811"," 0.13354612"
"M1201.918T909.936","-0.3708769","-0.5405625","-0.1847304","-0.1604275","-0.1386435","-0.2956764"," 0.2760670"," 1.1690062"," 0.3952316"," 0.6454606","-0.9251568"," 0.1303086"
"M864.188T806.912","-0.36725149","-0.08025147","-0.13028590","-0.58696663","-0.50071189","-0.72399634"," 0.48457690"," 1.33722229"," 0.46404101"," 0.68806977","-0.33664125","-0.24780501"
"M865.489T1291.829","-0.36159673","-0.19999678","-0.27704473","-0.55902814"," 0.10646745","-0.72669321"," 0.39631754"," 1.22263828"," 0.34973186"," 0.12245387","-0.11264644"," 0.03939705"
"M799.191T949.166","-0.74150104","-0.48284431","-0.42483027"," 0.01728416"," 0.04931706","-0.31355218"," 0.47191492"," 1.27870447"," 0.34367339"," 0.49879879","-0.19095785","-0.50600716"
