"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M862.51T1288.291,4.1477,0.38638,0.41298,0.68336,NA
M731.469T1179.269,4.1461,0.38659,0.41274,0.68336,NA
M563.405T1612.829,4.144,0.38687,0.41244,0.68336,NA
M763.445T1321.849,4.1416,0.38718,0.41209,0.68338,NA
M423.211T1338.363,4.1384,0.3876,0.41161,0.68358,NA
M825.585T1557.26,4.1362,0.38789,0.41129,0.68358,NA
M965.706T1490.033,4.1292,0.3888,0.41027,0.68438,NA
M436.428T1590.788,4.1277,0.389,0.41005,0.68438,NA
M803.494T1321.954,4.1248,0.38938,0.40963,0.68438,NA
M853.584T1513.559,4.1236,0.38954,0.40945,0.68438,NA
M354.339T1389.852,4.1206,0.38993,0.40901,0.68455,NA
M384.193T1439.78,4.1103,0.39129,0.4075,0.68632,NA
M723.497T1490.314,4.1084,0.39154,0.40723,0.68632,NA
M563.405T1390.077,4.0994,0.39272,0.40591,0.68694,NA
M484.409T1591.044,4.0975,0.39297,0.40564,0.68694,NA
M865.578T1540.43,4.0973,0.393,0.4056,0.68694,NA
M387.25T1406.584,4.0941,0.39342,0.40514,0.68694,NA
M585.446T1557.882,4.0937,0.39347,0.40509,0.68694,NA
M861.504T1319.031,4.085,0.39462,0.40382,0.68694,NA
M789.515T1306.035,4.0843,0.39472,0.40371,0.68694,NA
M824.549T1406.219,4.0818,0.39505,0.40335,0.68694,NA
M796.542T1269.605,4.0816,0.39508,0.40332,0.68694,NA
M672.566T1593.359,4.0815,0.39509,0.4033,0.68694,NA
M524.437T1458.08,4.0793,0.39538,0.40298,0.68694,NA
M449.369T1557.545,4.0761,0.39581,0.40252,0.68694,NA
M875.492T1306.216,4.0741,0.39607,0.40223,0.68694,NA
M325.869T1809.259,4.0739,0.39609,0.40221,0.68694,NA
M841.499T1306.17,4.0692,0.39672,0.40151,0.68752,NA
M303.177T1540.698,4.066,0.39715,0.40105,0.68773,NA
M629.463T1474.173,4.0596,0.398,0.40011,0.68837,NA
M521.219T1019.35,4.0587,0.39812,0.39998,0.68837,NA
M385.183T1341.992,4.055,0.39862,0.39944,0.6886,NA
M439.315T1456.515,4.0527,0.39892,0.39911,0.6886,NA
M970.603T1291.55,4.0508,0.39917,0.39884,0.6886,NA
M297.239T1245.233,4.0487,0.39946,0.39853,0.6886,NA
M325.099T760.387,4.0431,0.40021,0.39771,0.68939,NA
M909.618T1376.163,4.0371,0.401,0.39685,0.69023,NA
M459.313T1390.374,4.0316,0.40174,0.39606,0.69098,NA
M954.595T1540.43,4.0232,0.40287,0.39483,0.6918,NA
M326.288T1456.744,4.022,0.40304,0.39465,0.6918,NA
M297.24T1355.686,4.0188,0.40347,0.39419,0.6918,NA
M841.479T1256.766,4.0173,0.40367,0.39397,0.6918,NA
M655.523T1471.536,4.0169,0.40373,0.39391,0.6918,NA
M471.315T1439.847,4.0132,0.40423,0.39337,0.69214,NA
M299.11T1456.862,4.0105,0.40458,0.39299,0.69223,NA
M736.523T1710.061,4.0061,0.40518,0.39235,0.69274,NA
M505.27T1240.129,3.9969,0.40642,0.39102,0.69414,NA
M825.609T1557.453,3.9928,0.40698,0.39042,0.69414,NA
M563.502T1108.062,3.9881,0.40761,0.38975,0.69414,NA
M987.582T1306.56,3.9843,0.40814,0.38919,0.69414,NA
M425.287T1423.366,3.9825,0.40838,0.38894,0.69414,NA
M475.412T1607.605,3.9797,0.40875,0.38854,0.69414,NA
M1005.66T1302.601,3.9791,0.40885,0.38844,0.69414,NA
M538.537T1456.786,3.9767,0.40917,0.38809,0.69414,NA
M475.409T1390.36,3.9742,0.40952,0.38773,0.69414,NA
M566.424T1474.624,3.9734,0.40962,0.38762,0.69414,NA
M555.365T1456.26,3.9721,0.4098,0.38743,0.69414,NA
M933.608T1624.867,3.9697,0.41012,0.38709,0.69414,NA
M917.583T1475.069,3.968,0.41035,0.38684,0.69414,NA
M491.404T1557.26,3.9674,0.41044,0.38675,0.69414,NA
M803.491T1338.543,3.9666,0.41054,0.38664,0.69414,NA
M664.457T1578.697,3.9633,0.411,0.38616,0.6944,NA
M424.206T1456.482,3.9594,0.41152,0.38561,0.69456,NA
M463.37T1420.709,3.9581,0.41171,0.38541,0.69456,NA
M789.516T1356.123,3.9528,0.41243,0.38465,0.69514,NA
M664.462T1368.515,3.9512,0.41265,0.38441,0.69514,NA
M587.251T901.604,3.9465,0.4133,0.38374,0.69515,NA
M1114.854T834.347,3.944,0.41363,0.38338,0.69515,NA
M537.533T1295.888,3.9427,0.41382,0.38319,0.69515,NA
M843.597T1463.866,3.937,0.4146,0.38237,0.69515,NA
M993.569T1322.588,3.9361,0.41472,0.38225,0.69515,NA
M883.588T1473.64,3.9343,0.41497,0.38199,0.69515,NA
M653.412T1258.482,3.9315,0.41535,0.38159,0.69515,NA
M506.856T1358.969,3.9306,0.41548,0.38145,0.69515,NA
M441.32T1358.969,3.9299,0.41557,0.38135,0.69515,NA
M891.589T1509.101,3.929,0.41569,0.38123,0.69515,NA
M409.264T1339.403,3.9175,0.41728,0.37957,0.69729,NA
M865.579T1358.969,3.9075,0.41866,0.37814,0.69857,NA
M646.595T1557.26,3.9061,0.41886,0.37793,0.69857,NA
M377.324T1406.262,3.9054,0.41896,0.37783,0.69857,NA
M408.308T1456.538,3.9023,0.41939,0.37739,0.69877,NA
M824.546T1389.363,3.8882,0.42135,0.37536,0.70062,NA
M910.623T1410.795,3.8879,0.42139,0.37531,0.70062,NA
M452.423T1557.26,3.8877,0.42141,0.37529,0.70062,NA
M547.387T1389.173,3.8833,0.42203,0.37465,0.70114,NA
M299.11T1608.887,3.8798,0.42251,0.37416,0.70143,NA
M1021.333T740.285,3.8688,0.42405,0.37258,0.7033,NA
M608.525T1624.418,3.8674,0.42425,0.37238,0.7033,NA
M906.636T1393.418,3.8614,0.42509,0.37152,0.7039,NA
M512.413T1558.325,3.8592,0.42539,0.37121,0.7039,NA
M951.568T1338.092,3.8582,0.42553,0.37107,0.7039,NA
M511.254T1186.899,3.8531,0.42625,0.37034,0.70457,NA
M873.584T1509.101,3.8425,0.42775,0.36881,0.70654,NA
M369.19T1418.277,3.8363,0.42861,0.36794,0.70709,NA
M497.351T1457.506,3.8357,0.4287,0.36785,0.70709,NA
M937.606T1601.965,3.8246,0.43026,0.36627,0.70876,NA
M409.225T1456.762,3.8215,0.4307,0.36583,0.70876,NA
M308.129T1438.751,3.8191,0.43104,0.36548,0.70876,NA
M439.317T1473.604,3.8162,0.43145,0.36507,0.70876,NA
M424.205T1508.296,3.8154,0.43156,0.36496,0.70876,NA
M613.185T813.994,3.8154,0.43157,0.36495,0.70876,NA
M449.281T1423.013,3.809,0.43247,0.36404,0.70974,NA
M571.455T1406.584,3.8051,0.43302,0.36349,0.71013,NA
M330.263T1492.022,3.8012,0.43358,0.36293,0.71053,NA
M632.473T1456.772,3.7988,0.43392,0.36259,0.71059,NA
M1009.698T1619.342,3.7924,0.43483,0.36168,0.71157,NA
M641.443T1389.187,3.7869,0.43561,0.3609,0.71233,NA
M514.252T1322.055,3.7832,0.43614,0.36037,0.7127,NA
M841.587T1509.04,3.769,0.43818,0.35835,0.71551,NA
M661.445T1228.528,3.7635,0.43896,0.35758,0.71628,NA
M997.722T1591.283,3.7594,0.43955,0.35699,0.71663,NA
M840.545T1322.545,3.7576,0.4398,0.35675,0.71663,NA
M379.265T1245.233,3.75,0.4409,0.35566,0.71768,NA
M672.569T1574.276,3.7488,0.44107,0.35549,0.71768,NA
M841.582T1567.222,3.7462,0.44144,0.35513,0.71777,NA
M700.599T1557.484,3.7393,0.44243,0.35415,0.71804,NA
M468.418T1518.016,3.7393,0.44243,0.35415,0.71804,NA
M752.544T1678.566,3.7385,0.44255,0.35404,0.71804,NA
M471.313T1295.888,3.7286,0.44398,0.35263,0.71955,NA
M333.203T1105.19,3.7277,0.44411,0.35251,0.71955,NA
M795.419T1389.363,3.7166,0.44572,0.35094,0.72114,NA
M387.235T1746.448,3.7164,0.44575,0.35091,0.72114,NA
M313.162T1474.572,3.7133,0.4462,0.35047,0.72114,NA
M439.316T1439.553,3.7123,0.44634,0.35033,0.72114,NA
M633.416T1356.47,3.7088,0.44685,0.34983,0.72124,NA
M872.592T1376.163,3.7075,0.44704,0.34966,0.72124,NA
M474.345T1591.903,3.6914,0.44937,0.34739,0.72415,NA
M637.414T1384.421,3.6903,0.44954,0.34723,0.72415,NA
M787.547T1591.444,3.6864,0.45011,0.34668,0.72415,NA
M736.522T1695.525,3.6841,0.45044,0.34636,0.72415,NA
M611.437T1557.675,3.684,0.45046,0.34634,0.72415,NA
M965.706T1463.866,3.6813,0.45086,0.34596,0.72415,NA
M899.583T1473.64,3.6796,0.4511,0.34573,0.72415,NA
M555.365T1423.011,3.6778,0.45137,0.34547,0.72415,NA
M914.568T1454.879,3.6756,0.45169,0.34516,0.72416,NA
M841.51T1289.741,3.6733,0.45202,0.34485,0.72417,NA
M403.244T1423.342,3.6711,0.45235,0.34453,0.7242,NA
M920.647T1608.07,3.6646,0.45329,0.34362,0.7252,NA
M369.188T1624.498,3.65,0.45544,0.34157,0.72814,NA
M586.472T1591.044,3.6426,0.45653,0.34053,0.72914,NA
M824.536T1352.157,3.6403,0.45686,0.34021,0.72914,NA
M511.372T1473.254,3.6391,0.45705,0.34004,0.72914,NA
M563.503T1704.229,3.6371,0.45734,0.33976,0.72914,NA
M519.308T1473.566,3.6322,0.45806,0.33908,0.72977,NA
M925.592T1490.371,3.6253,0.45908,0.33811,0.73037,NA
M897.474T1222.337,3.6244,0.45922,0.33798,0.73037,NA
M915.582T1601.965,3.6232,0.45939,0.33782,0.73037,NA
M469.396T1355.605,3.6109,0.46122,0.3361,0.73233,NA
M873.58T1556.7,3.6105,0.46128,0.33603,0.73233,NA
M1059.419T884.787,3.6058,0.46197,0.33538,0.73233,NA
M513.386T1523.593,3.6,0.46283,0.33458,0.73233,NA
M646.454T1406.122,3.5985,0.46306,0.33437,0.73233,NA
M963.689T1446.028,3.5977,0.46319,0.33424,0.73233,NA
M663.458T1406.394,3.5971,0.46326,0.33417,0.73233,NA
M417.157T908.195,3.5957,0.46347,0.33398,0.73233,NA
M945.585T1492.083,3.5956,0.4635,0.33395,0.73233,NA
M367.179T1456.129,3.5881,0.46461,0.33291,0.73358,NA
M471.317T1423.334,3.5791,0.46596,0.33165,0.73447,NA
M365.275T1406.394,3.5787,0.46601,0.33161,0.73447,NA
M516.411T1568.021,3.5779,0.46613,0.33149,0.73447,NA
M333.203T1120.498,3.5735,0.46679,0.33088,0.73499,NA
M997.719T1446.028,3.5672,0.46773,0.33,0.73563,NA
M849.59T1481.744,3.5649,0.46808,0.32968,0.73563,NA
M587.369T1456.786,3.5608,0.46869,0.32911,0.73563,NA
M432.723T1389.363,3.5608,0.4687,0.3291,0.73563,NA
M866.586T1601.965,3.5582,0.46908,0.32875,0.73563,NA
M813.513T1358.969,3.5579,0.46912,0.32871,0.73563,NA
M321.239T1209.593,3.5452,0.47103,0.32695,0.73812,NA
M937.608T1536.307,3.5249,0.47411,0.32412,0.74216,NA
M860.506T1372.394,3.5239,0.47426,0.32399,0.74216,NA
M908.619T1557.26,3.5194,0.47493,0.32337,0.7426,NA
M351.177T1540.43,3.5175,0.47522,0.32311,0.7426,NA
M624.432T1423.013,3.5144,0.4757,0.32267,0.7426,NA
M559.389T1424.253,3.5088,0.47655,0.3219,0.7426,NA
M326.288T1489.992,3.5085,0.47659,0.32185,0.7426,NA
M379.265T1372.423,3.5073,0.47677,0.32169,0.7426,NA
M877.615T1591.283,3.5056,0.47702,0.32146,0.7426,NA
M424.204T1541.842,3.5049,0.47713,0.32136,0.7426,NA
M544.443T1574.274,3.5001,0.47786,0.3207,0.7428,NA
M836.499T1557.453,3.4981,0.47816,0.32043,0.7428,NA
M505.253T1389.277,3.4977,0.47823,0.32036,0.7428,NA
M333.204T1139.313,3.4954,0.47857,0.32005,0.74282,NA
M763.448T1339.403,3.4918,0.47912,0.31955,0.7431,NA
M677.438T1339.916,3.4898,0.47943,0.31928,0.7431,NA
M641.452T1372.182,3.4879,0.47973,0.31901,0.7431,NA
M305.302T1591.458,3.4847,0.48021,0.31857,0.74336,NA
M939.612T1475.069,3.4788,0.48111,0.31776,0.74424,NA
M641.505T1439.707,3.4757,0.48159,0.31733,0.74448,NA
M915.581T1473.64,3.4717,0.48219,0.31678,0.74491,NA
M637.415T1439.736,3.4636,0.48344,0.31566,0.74613,NA
M866.585T1504.486,3.4623,0.48363,0.31549,0.74613,NA
M979.605T1440.166,3.4576,0.48436,0.31483,0.74636,NA
M617.433T1456.129,3.4571,0.48443,0.31476,0.74636,NA
M882.575T1523.543,3.4435,0.48651,0.3129,0.74906,NA
M637.411T1406.122,3.4353,0.48778,0.31177,0.7501,NA
M849.588T1608.07,3.4349,0.48784,0.31172,0.7501,NA
M631.469T1456.902,3.4308,0.48848,0.31116,0.7502,NA
M695.45T1338.973,3.4291,0.48874,0.31092,0.7502,NA
M656.533T1490.071,3.4278,0.48895,0.31074,0.7502,NA
M568.443T1523.593,3.426,0.48922,0.3105,0.7502,NA
M299.11T1437.651,3.415,0.49092,0.30899,0.75195,NA
M809.525T1357.137,3.4144,0.49102,0.3089,0.75195,NA
M841.489T1146.934,3.4104,0.49163,0.30836,0.75239,NA
M628.514T1473.756,3.403,0.49278,0.30735,0.75364,NA
M453.3T1352.626,3.3988,0.49344,0.30677,0.75402,NA
M664.461T1422.743,3.3972,0.49368,0.30655,0.75402,NA
M965.704T1619.342,3.3886,0.49502,0.30538,0.75546,NA
M609.489T1506.592,3.3847,0.49562,0.30485,0.75546,NA
M615.484T1373.389,3.3837,0.49578,0.30471,0.75546,NA
M701.542T1438.11,3.3826,0.49595,0.30457,0.75546,NA
M624.436T1440.08,3.3757,0.49703,0.30361,0.75633,NA
M659.418T1406.262,3.3747,0.49718,0.30349,0.75633,NA
M514.422T1423.013,3.3598,0.49951,0.30145,0.75879,NA
M841.485T1289.594,3.3564,0.50004,0.301,0.75879,NA
M568.457T1473.551,3.3525,0.50065,0.30047,0.75879,NA
M361.24T1455.883,3.3523,0.50069,0.30044,0.75879,NA
M843.487T1195.638,3.3503,0.501,0.30016,0.75879,NA
M735.519T1710.011,3.3496,0.50111,0.30006,0.75879,NA
M492.408T1557.26,3.3496,0.50111,0.30006,0.75879,NA
M899.582T1490.329,3.3461,0.50166,0.29959,0.75912,NA
M387.248T1607.528,3.3342,0.50354,0.29797,0.76145,NA
M556.438T1591.725,3.3313,0.50399,0.29758,0.7615,NA
M911.589T1490.35,3.3297,0.50423,0.29737,0.7615,NA
M565.454T1591.061,3.3276,0.50457,0.29708,0.76151,NA
M387.251T1439.586,3.3226,0.50537,0.29639,0.76221,NA
M707.545T1574.274,3.3146,0.50662,0.29532,0.76295,NA
M499.365T1490.14,3.3135,0.5068,0.29517,0.76295,NA
M898.575T1473.64,3.3131,0.50686,0.29511,0.76295,NA
M371.101T1558.593,3.3108,0.50722,0.2948,0.763,NA
M349.198T1373.219,3.3068,0.50785,0.29426,0.76301,NA
M865.485T1406.262,3.3065,0.5079,0.29422,0.76301,NA
M795.538T1390.404,3.3032,0.50842,0.29378,0.7633,NA
M569.292T994.771,3.293,0.51004,0.29239,0.76523,NA
M983.608T1358.969,3.2886,0.51075,0.29179,0.76579,NA
M627.494T1593.359,3.2784,0.51237,0.29042,0.76727,NA
M500.359T1492.083,3.2764,0.51267,0.29016,0.76727,NA
M930.57T1457.506,3.276,0.51274,0.2901,0.76727,NA
M505.27T1185.014,3.2723,0.51333,0.28961,0.76735,NA
M329.158T1456.789,3.2715,0.51347,0.28949,0.76735,NA
M565.558T1423.01,3.2545,0.51617,0.28721,0.76984,NA
M1131.542T920.434,3.2538,0.51628,0.28712,0.76984,NA
M293.21T1109.944,3.2529,0.51643,0.28699,0.76984,NA
M840.547T1302.363,3.2526,0.51647,0.28695,0.76984,NA
M882.577T1472.663,3.2498,0.51693,0.28657,0.77002,NA
M892.608T1557.588,3.2468,0.51741,0.28616,0.77012,NA
M599.418T1423.366,3.2447,0.51774,0.28589,0.77012,NA
M688.526T1421.35,3.243,0.51801,0.28566,0.77012,NA
M693.444T1356.441,3.2409,0.51834,0.28538,0.77012,NA
M757.5T1592.201,3.2357,0.51918,0.28468,0.77086,NA
M312.106T122.685,3.231,0.51995,0.28404,0.7715,NA
M843.597T1509.101,3.2282,0.52038,0.28368,0.77165,NA
M892.609T1509.101,3.2043,0.52424,0.28047,0.77606,NA
M547.402T1437.709,3.2022,0.52458,0.28019,0.77606,NA
M429.317T1389.185,3.2012,0.52473,0.28006,0.77606,NA
M569.45T1658.237,3.2007,0.52482,0.27999,0.77606,NA
M655.208T834.347,3.1992,0.52505,0.2798,0.77606,NA
M309.294T1456.538,3.1929,0.52608,0.27895,0.77708,NA
M295.151T1312.999,3.1856,0.52726,0.27798,0.77822,NA
M890.585T1428.316,3.1832,0.52765,0.27765,0.77822,NA
M474.347T1575.715,3.1818,0.52787,0.27747,0.77822,NA
M293.127T903.94,3.1777,0.52854,0.27692,0.77871,NA
M558.209T908.106,3.1755,0.52889,0.27663,0.77872,NA
M377.325T1390.374,3.1721,0.52945,0.27618,0.77904,NA
M327.177T1330.308,3.1679,0.53013,0.27561,0.77955,NA
M870.583T1512.438,3.1613,0.5312,0.27474,0.78037,NA
M219.938T1831.409,3.1603,0.53137,0.2746,0.78037,NA
M916.596T1474.354,3.158,0.53173,0.27431,0.7804,NA
M828.538T1289.688,3.1536,0.53246,0.27371,0.78054,NA
M931.588T1473.551,3.1533,0.53251,0.27367,0.78054,NA
M285.298T1492.083,3.1434,0.53412,0.27236,0.78069,NA
M813.466T1256.694,3.1429,0.5342,0.27229,0.78069,NA
M945.57T1518.016,3.1422,0.53432,0.2722,0.78069,NA
M341.27T1389.511,3.1408,0.53454,0.27202,0.78069,NA
M513.265T1237.158,3.1404,0.5346,0.27197,0.78069,NA
M512.261T1189.341,3.1373,0.53511,0.27155,0.78069,NA
M1009.727T1421.54,3.1371,0.53515,0.27153,0.78069,NA
M775.254T776.817,3.136,0.53534,0.27137,0.78069,NA
M512.262T1169.348,3.1273,0.53675,0.27023,0.78225,NA
M843.488T1237.073,3.1143,0.53888,0.26851,0.78457,NA
M943.401T977.152,3.1134,0.53903,0.26839,0.78457,NA
M447.25T1372.484,3.1101,0.53957,0.26795,0.78459,NA
M858.58T1574.486,3.1089,0.53978,0.26779,0.78459,NA
M409.18T831.535,3.1071,0.54007,0.26755,0.78459,NA
M349.196T1335.803,3.1038,0.54062,0.26711,0.78471,NA
M669.562T1624.559,3.0972,0.5417,0.26624,0.78471,NA
M484.413T1608.172,3.0967,0.54178,0.26618,0.78471,NA
M865.582T1509.04,3.0948,0.54208,0.26593,0.78471,NA
M401.317T1390.374,3.0943,0.54217,0.26586,0.78471,NA
M423.198T1506.423,3.0941,0.54221,0.26583,0.78471,NA
M927.605T1584.638,3.0913,0.54267,0.26546,0.78488,NA
M277.217T1187.469,3.0889,0.54306,0.26516,0.78493,NA
M859.595T1509.101,3.0869,0.54338,0.26489,0.78493,NA
M503.259T1255.66,3.0761,0.54517,0.26347,0.78659,NA
M857.584T1492.083,3.0758,0.54522,0.26343,0.78659,NA
M372.364T1473.637,3.0692,0.54631,0.26256,0.78745,NA
M557.47T1591.049,3.068,0.54651,0.26241,0.78745,NA
M841.585T1446.028,3.0618,0.54754,0.26158,0.78844,NA
M691.43T1301.409,3.0522,0.54914,0.26032,0.79025,NA
M349.193T1438.11,3.0483,0.54978,0.25981,0.79035,NA
M987.579T1163.004,3.0463,0.5501,0.25956,0.79035,NA
M424.216T1338.866,3.0455,0.55025,0.25944,0.79035,NA
M688.545T1335.803,3.0422,0.55078,0.25902,0.79038,NA
M330.261T1608.211,3.0408,0.55102,0.25883,0.79038,NA
M897.571T1491.061,3.0335,0.55223,0.25788,0.79038,NA
M737.58T1624.418,3.0335,0.55224,0.25787,0.79038,NA
M806.54T1492.083,3.0322,0.55245,0.25771,0.79038,NA
M840.53T1307.309,3.031,0.55264,0.25755,0.79038,NA
M315.251T1401.37,3.0308,0.55268,0.25752,0.79038,NA
M655.217T820.228,3.0266,0.55339,0.25697,0.79065,NA
M610.486T1325.086,3.0255,0.55356,0.25684,0.79065,NA
M736.521T1355.744,3.0204,0.55442,0.25616,0.79105,NA
M557.468T1570.748,3.0188,0.55469,0.25595,0.79105,NA
M691.432T1339.057,3.0158,0.55519,0.25556,0.79105,NA
M587.548T1675.036,3.0115,0.5559,0.255,0.79105,NA
M1017.703T1376.163,3.0075,0.55657,0.25448,0.79105,NA
M795.538T1365.583,3.0056,0.55689,0.25423,0.79105,NA
M781.432T903.94,3.0046,0.55706,0.2541,0.79105,NA
M1021.696T1456.932,3.0043,0.5571,0.25407,0.79105,NA
M387.235T1141.287,3.0025,0.55741,0.25383,0.79105,NA
M826.525T1256.824,3.0022,0.55746,0.25379,0.79105,NA
M619.312T1321.849,2.9974,0.55827,0.25316,0.79105,NA
M857.586T1540.43,2.993,0.55899,0.25259,0.79105,NA
M333.203T1439.392,2.9917,0.55922,0.25241,0.79105,NA
M628.503T1369.501,2.9906,0.5594,0.25228,0.79105,NA
M311.255T1280.542,2.9905,0.55942,0.25226,0.79105,NA
M539.393T1476.552,2.9891,0.55965,0.25208,0.79105,NA
M895.471T1240.129,2.9869,0.56002,0.2518,0.79105,NA
M339.257T1389.773,2.9867,0.56005,0.25177,0.79105,NA
M677.475T1440.046,2.9795,0.56127,0.25083,0.79195,NA
M627.535T1591.081,2.9788,0.56138,0.25074,0.79195,NA
M707.266T798.136,2.9707,0.56275,0.24969,0.79339,NA
M671.547T1376.163,2.9579,0.56489,0.24804,0.7956,NA
M369.296T1295.888,2.9572,0.56501,0.24794,0.7956,NA
M423.212T1319.031,2.9519,0.56592,0.24725,0.79584,NA
M843.596T1549.933,2.9504,0.56615,0.24707,0.79584,NA
M495.326T1408.99,2.95,0.56622,0.24701,0.79584,NA
M904.648T1499.87,2.9456,0.56697,0.24644,0.79623,NA
M301.141T1305.07,2.9442,0.5672,0.24627,0.79623,NA
M866.582T1523.593,2.9373,0.56838,0.24536,0.79737,NA
M655.525T1490.395,2.9353,0.5687,0.24511,0.79737,NA
M751.389T1389.363,2.9202,0.57127,0.24316,0.80035,NA
M285.297T1507.107,2.9186,0.57154,0.24296,0.80035,NA
M1059.694T1439.78,2.9146,0.57222,0.24244,0.80035,NA
M539.369T1312.999,2.9145,0.57223,0.24243,0.80035,NA
M327.179T1358.969,2.9098,0.57304,0.24182,0.80099,NA
M585.449T1591.044,2.9027,0.57423,0.24091,0.80172,NA
M365.193T1440.036,2.9026,0.57425,0.2409,0.80172,NA
M513.251T1355.541,2.8978,0.57508,0.24028,0.80237,NA
M299.109T1514.352,2.8917,0.5761,0.2395,0.80332,NA
M534.319T1540.699,2.8888,0.57661,0.23912,0.80353,NA
M883.583T1506.898,2.8857,0.57713,0.23873,0.80377,NA
M666.518T1641.124,2.8775,0.57852,0.23768,0.80522,NA
M666.429T1691.217,2.8737,0.57918,0.23719,0.80562,NA
M562.399T1338.646,2.8702,0.57978,0.23674,0.80562,NA
M285.296T1540.702,2.8697,0.57986,0.23668,0.80562,NA
M301.14T1288.592,2.8629,0.58103,0.2358,0.80675,NA
M609.462T1356.757,2.8567,0.58209,0.23501,0.80759,NA
M477.403T1542.988,2.8546,0.58245,0.23474,0.80759,NA
M965.537T1163.004,2.8514,0.58299,0.23434,0.80759,NA
M275.203T1123.072,2.8494,0.58333,0.23409,0.80759,NA
M959.573T1587.713,2.8484,0.5835,0.23396,0.80759,NA
M655.418T1389.36,2.847,0.58375,0.23377,0.80759,NA
M949.605T1473.64,2.8441,0.58424,0.23341,0.80762,NA
M645.592T1558.721,2.8418,0.58463,0.23312,0.80762,NA
M409.175T877.183,2.8401,0.58493,0.2329,0.80762,NA
M353.192T1505.037,2.8354,0.58574,0.23229,0.80762,NA
M569.411T1423.013,2.8332,0.58611,0.23202,0.80762,NA
M917.594T1518.016,2.8327,0.5862,0.23195,0.80762,NA
M349.196T1389.794,2.8325,0.58624,0.23193,0.80762,NA
M455.319T1542.988,2.8199,0.58839,0.23033,0.80985,NA
M699.595T1557.568,2.819,0.58856,0.23021,0.80985,NA
M857.595T1473.143,2.8168,0.58894,0.22993,0.80988,NA
M876.617T1446.028,2.8133,0.58955,0.22948,0.81011,NA
M855.589T1474.624,2.8117,0.58981,0.22928,0.81011,NA
M437.323T1509.101,2.8075,0.59054,0.22875,0.81022,NA
M721.577T1536.307,2.8071,0.5906,0.2287,0.81022,NA
M511.378T1591.725,2.7998,0.59187,0.22777,0.81118,NA
M589.432T1330.445,2.799,0.59201,0.22767,0.81118,NA
M505.253T1373.377,2.792,0.59322,0.22679,0.81179,NA
M913.569T1358.969,2.7889,0.59375,0.2264,0.81179,NA
M437.308T1490.329,2.7886,0.5938,0.22636,0.81179,NA
M471.314T1308.231,2.7876,0.59397,0.22623,0.81179,NA
M1099.692T1423.824,2.786,0.59424,0.22603,0.81179,NA
M969.712T1473.286,2.7823,0.59488,0.22557,0.81179,NA
M875.587T1358.969,2.782,0.59494,0.22553,0.81179,NA
M555.447T1456.772,2.7758,0.59601,0.22475,0.81195,NA
M808.55T1386.472,2.7752,0.59612,0.22467,0.81195,NA
M1028.741T1456.932,2.7734,0.59643,0.22444,0.81195,NA
M471.309T1335.803,2.7732,0.59647,0.22441,0.81195,NA
M930.569T1490.033,2.7692,0.59717,0.2239,0.81199,NA
M293.132T1011.058,2.7689,0.59721,0.22388,0.81199,NA
M637.412T1422.711,2.7657,0.59777,0.22346,0.81205,NA
M840.543T1163.004,2.7634,0.59817,0.22317,0.81205,NA
M574.479T1609.148,2.7625,0.59832,0.22307,0.81205,NA
M547.407T1473.551,2.7593,0.59887,0.22266,0.8122,NA
M291.195T1053.001,2.7552,0.59958,0.22215,0.8122,NA
M824.544T1245.233,2.7538,0.59983,0.22197,0.8122,NA
M809.525T1340.052,2.7537,0.59984,0.22196,0.8122,NA
M897.572T1523.593,2.7477,0.6009,0.2212,0.81315,NA
M898.572T1557.672,2.7453,0.60131,0.2209,0.81322,NA
M845.591T1540.701,2.7426,0.60178,0.22056,0.81336,NA
M827.597T1446.028,2.7407,0.60212,0.22032,0.81336,NA
M557.466T1607.198,2.7345,0.6032,0.21954,0.81392,NA
M838.564T1490.054,2.7321,0.6036,0.21925,0.81392,NA
M361.236T1475.069,2.7299,0.60399,0.21897,0.81392,NA
M425.214T1609.261,2.7279,0.60435,0.21871,0.81392,NA
M809.524T1626.651,2.7264,0.60461,0.21852,0.81392,NA
M379.264T1355.475,2.7255,0.60476,0.21842,0.81392,NA
M441.224T1179.269,2.724,0.60502,0.21823,0.81392,NA
M567.238T913.185,2.7184,0.606,0.21753,0.81447,NA
M522.254T1237.452,2.7159,0.60643,0.21722,0.81447,NA
M530.463T1607.833,2.7148,0.60663,0.21708,0.81447,NA
M865.582T1597.662,2.7135,0.60685,0.21692,0.81447,NA
M705.42T1322.564,2.7075,0.6079,0.21617,0.81537,NA
M693.467T1225.817,2.705,0.60834,0.21585,0.81537,NA
M899.584T1518.016,2.7026,0.60877,0.21555,0.81537,NA
M304.299T1477.289,2.7015,0.60895,0.21542,0.81537,NA
M336.26T1207.169,2.6971,0.60972,0.21487,0.81593,NA
M751.515T1356.037,2.692,0.61062,0.21423,0.81665,NA
M828.498T1333.909,2.6804,0.61266,0.21278,0.8189,NA
M655.416T1372.761,2.6782,0.61304,0.21251,0.81894,NA
M840.568T1356.47,2.6752,0.61356,0.21214,0.81916,NA
M506.357T1474.354,2.6667,0.61506,0.21108,0.82042,NA
M685.435T1661.058,2.6653,0.6153,0.21091,0.82042,NA
M477.407T1590.788,2.6637,0.61558,0.21072,0.82042,NA
