"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M779.29T843.183,11.729,0.019484,1.7103,0.15599,NA
M832.325T857.905,11.72,0.019556,1.7087,0.15599,NA
M879.863T1006.792,11.713,0.019617,1.7074,0.15599,NA
M690.257T892.9,11.698,0.019745,1.7045,0.15599,NA
M573.209T836.496,11.698,0.019746,1.7045,0.15599,NA
M465.265T1237.073,11.657,0.020094,1.6969,0.15793,NA
M770.3T957.42,11.653,0.020129,1.6962,0.15793,NA
M1002.386T959.199,11.641,0.020234,1.6939,0.15821,NA
M816.307T940.951,11.63,0.020325,1.692,0.1583,NA
M495.181T880.56,11.622,0.020392,1.6905,0.1583,NA
M857.33T957.42,11.615,0.020453,1.6892,0.1583,NA
M864.323T959.199,11.607,0.020523,1.6878,0.15831,NA
M933.368T973.898,11.58,0.020767,1.6826,0.15966,NA
M887.334T886.012,11.564,0.020909,1.6797,0.16019,NA
M787.311T857.905,11.556,0.020976,1.6783,0.16019,NA
M423.148T959.199,11.541,0.021114,1.6754,0.16071,NA
M951.385T975.822,11.527,0.021237,1.6729,0.1611,NA
M567.431T1440.116,11.506,0.021427,1.669,0.16201,NA
M863.314T941.78,11.464,0.021819,1.6612,0.16443,NA
M817.32T1025.439,11.435,0.02209,1.6558,0.16537,NA
M593.489T1431.043,11.428,0.022151,1.6546,0.16537,NA
M958.387T951.54,11.426,0.02217,1.6542,0.16537,NA
M511.168T847.893,11.42,0.022233,1.653,0.16537,NA
M431.146T926.047,11.404,0.022378,1.6502,0.16557,NA
M841.33T990.311,11.402,0.022404,1.6497,0.16557,NA
M993.368T827.274,11.389,0.022525,1.6473,0.16593,NA
M423.145T941.689,11.346,0.022938,1.6395,0.16677,NA
M932.854T973.898,11.341,0.022992,1.6384,0.16677,NA
M937.361T940.951,11.329,0.023106,1.6363,0.16677,NA
M981.368T973.898,11.315,0.023245,1.6337,0.16677,NA
M822.329T941.141,11.314,0.023253,1.6335,0.16677,NA
M818.318T990.311,11.308,0.023311,1.6324,0.16677,NA
M920.344T942.609,11.299,0.023401,1.6308,0.16677,NA
M903.346T812.644,11.298,0.023407,1.6306,0.16677,NA
M851.325T943.327,11.296,0.023427,1.6303,0.16677,NA
M1057.419T812.644,11.284,0.023551,1.628,0.16677,NA
M550.197T886.012,11.271,0.023678,1.6257,0.16677,NA
M886.353T1006.792,11.266,0.023727,1.6248,0.16677,NA
M965.374T872.624,11.264,0.023749,1.6244,0.16677,NA
M923.356T940.951,11.263,0.023758,1.6242,0.16677,NA
M403.167T909.893,11.259,0.023806,1.6233,0.16677,NA
M593.485T1401.37,11.247,0.023923,1.6212,0.16677,NA
M985.395T851.401,11.235,0.024046,1.619,0.16677,NA
M901.85T990.311,11.235,0.024048,1.6189,0.16677,NA
M935.358T959.199,11.231,0.024083,1.6183,0.16677,NA
M957.382T942.226,11.23,0.024095,1.6181,0.16677,NA
M837.328T857.905,11.16,0.024821,1.6052,0.17128,NA
M564.208T942.149,11.131,0.025128,1.5998,0.17206,NA
M593.595T1455.311,11.117,0.02528,1.5972,0.17206,NA
M1002.908T1006.792,11.116,0.025287,1.5971,0.17206,NA
M879.359T902.335,11.112,0.025335,1.5963,0.17206,NA
M690.261T940.951,11.11,0.025358,1.5959,0.17206,NA
M419.164T891.807,11.107,0.025385,1.5954,0.17206,NA
M1075.422T902.377,11.096,0.025503,1.5934,0.17235,NA
M936.366T908.195,11.089,0.025581,1.5921,0.17237,NA
M837.33T941.332,11.074,0.02574,1.5894,0.17253,NA
M520.182T875.234,11.064,0.025855,1.5875,0.17253,NA
M602.243T872.624,11.062,0.025872,1.5872,0.17253,NA
M515.185T908.801,11.057,0.025933,1.5862,0.17253,NA
M666.233T924.482,11.043,0.026085,1.5836,0.17253,NA
M634.244T942.609,11.031,0.026216,1.5814,0.17253,NA
M608.267T945.789,11.03,0.026228,1.5812,0.17253,NA
M798.839T1023.188,11.015,0.026401,1.5784,0.17253,NA
M261.116T1002.572,11.011,0.026438,1.5778,0.17253,NA
M860.314T843.183,11.009,0.026464,1.5773,0.17253,NA
M917.581T1308.231,11,0.02656,1.5758,0.17253,NA
M886.334T992.353,10.997,0.026602,1.5751,0.17253,NA
M841.332T843.183,10.997,0.026603,1.5751,0.17253,NA
M593.49T1557.453,10.992,0.026658,1.5742,0.17253,NA
M837.325T924.637,10.969,0.026915,1.57,0.17355,NA
M788.28T891.652,10.96,0.027015,1.5684,0.17355,NA
M574.21T828.514,10.958,0.027043,1.5679,0.17355,NA
M1077.401T940.951,10.93,0.027363,1.5628,0.17506,NA
M850.324T910.27,10.914,0.027544,1.56,0.17506,NA
M1054.431T975.822,10.914,0.027548,1.5599,0.17506,NA
M403.166T879.397,10.91,0.027594,1.5592,0.17506,NA
M561.213T812.644,10.893,0.027794,1.556,0.17506,NA
M1093.415T940.951,10.882,0.02792,1.5541,0.17506,NA
M931.376T975.822,10.877,0.027985,1.5531,0.17506,NA
M961.384T973.898,10.869,0.028082,1.5516,0.17506,NA
M473.199T864.231,10.865,0.028122,1.551,0.17506,NA
M706.253T891.652,10.865,0.028128,1.5509,0.17506,NA
M954.358T843.183,10.86,0.028189,1.5499,0.17506,NA
M1077.418T843.183,10.859,0.028196,1.5498,0.17506,NA
M565.421T1295.888,10.833,0.028512,1.545,0.17621,NA
M659.255T908.018,10.831,0.028535,1.5446,0.17621,NA
M786.289T924.482,10.821,0.02865,1.5429,0.17628,NA
M889.346T843.183,10.811,0.028777,1.541,0.17628,NA
M690.262T910.27,10.811,0.028778,1.5409,0.17628,NA
M923.356T798.136,10.78,0.029156,1.5353,0.17781,NA
M866.86T1039.673,10.776,0.029203,1.5346,0.17781,NA
M1017.391T843.183,10.771,0.029261,1.5337,0.17781,NA
M840.333T885.833,10.738,0.029675,1.5276,0.17985,NA
M537.339T1273.741,10.712,0.030004,1.5228,0.18136,NA
M792.31T959.199,10.7,0.030147,1.5208,0.18136,NA
M950.358T940.951,10.692,0.03025,1.5193,0.18136,NA
M505.179T828.514,10.691,0.03027,1.519,0.18136,NA
M887.348T943.327,10.687,0.030319,1.5183,0.18136,NA
M1071.408T843.183,10.666,0.030583,1.5145,0.18188,NA
M715.242T840.997,10.659,0.030676,1.5132,0.18188,NA
M957.379T959.199,10.656,0.030709,1.5127,0.18188,NA
M349.184T1627.691,10.655,0.030723,1.5125,0.18188,NA
M608.261T1390.374,10.635,0.030982,1.5089,0.18294,NA
M431.232T1239.816,10.623,0.031139,1.5067,0.18339,NA
M938.336T754.756,10.597,0.031487,1.5019,0.18497,NA
M961.369T857.905,10.589,0.031599,1.5003,0.18515,NA
M535.409T1440.116,10.556,0.032031,1.4944,0.18685,NA
M948.397T959.199,10.547,0.032153,1.4928,0.18685,NA
M928.384T992.948,10.546,0.032171,1.4925,0.18685,NA
M689.277T943.472,10.543,0.032215,1.4919,0.18685,NA
M981.368T857.905,10.533,0.032345,1.4902,0.18713,NA
M846.528T1240.644,10.51,0.032661,1.486,0.18848,NA
M593.49T1539.529,10.492,0.032906,1.4827,0.18937,NA
M979.319T755.275,10.487,0.03298,1.4817,0.18937,NA
M593.49T1490.213,10.445,0.033565,1.4741,0.19163,NA
M937.358T812.644,10.442,0.033606,1.4736,0.19163,NA
M605.427T1212.039,10.432,0.033745,1.4718,0.19163,NA
M985.395T812.644,10.43,0.033776,1.4714,0.19163,NA
M878.848T990.311,10.429,0.033792,1.4712,0.19163,NA
M889.338T942.609,10.353,0.034887,1.4573,0.19735,NA
M692.267T902.791,10.346,0.034987,1.4561,0.19743,NA
M1019.391T857.905,10.325,0.035289,1.4524,0.19848,NA
M964.379T973.898,10.322,0.035347,1.4517,0.19848,NA
M993.379T943.327,10.305,0.035594,1.4486,0.19938,NA
M978.369T957.42,10.263,0.036221,1.441,0.20239,NA
M881.354T990.311,10.251,0.036413,1.4387,0.20265,NA
M556.199T909.479,10.249,0.036443,1.4384,0.20265,NA
M451.141T834.347,10.24,0.036567,1.4369,0.20284,NA
M557.21T874.262,10.197,0.037237,1.429,0.20606,NA
M951.367T943.327,10.169,0.037678,1.4239,0.208,NA
M851.323T925.442,10.155,0.0379,1.4214,0.20872,NA
M1000.358T926.047,10.111,0.038605,1.4134,0.21209,NA
M748.268T940.951,10.098,0.038801,1.4112,0.21266,NA
M715.234T828.282,10.083,0.039055,1.4083,0.21323,NA
M762.288T940.951,10.074,0.039191,1.4068,0.21323,NA
M874.325T843.183,10.07,0.039261,1.406,0.21323,NA
M714.264T908.018,10.063,0.039385,1.4047,0.21323,NA
M1006.373T828.514,10.06,0.039425,1.4042,0.21323,NA
M595.171T851.23,10.058,0.039463,1.4038,0.21323,NA
M999.386T843.183,10.051,0.039581,1.4025,0.21336,NA
M499.192T900.968,10.02,0.040086,1.397,0.21558,NA
M1005.382T812.644,10.012,0.040223,1.3955,0.21581,NA
M1062.429T942.609,10.005,0.040338,1.3943,0.21592,NA
M1091.431T942.609,9.9868,0.040651,1.3909,0.2166,NA
M441.228T1306.216,9.9866,0.040654,1.3909,0.2166,NA
M565.41T1416.7,9.9548,0.041196,1.3851,0.21898,NA
M556.445T1212.039,9.9347,0.041543,1.3815,0.22031,NA
M499.199T868.008,9.9205,0.041789,1.3789,0.2211,NA
M818.326T857.905,9.9085,0.041998,1.3768,0.2217,NA
M565.397T1373.252,9.8846,0.042417,1.3725,0.2234,NA
M503.18T942.609,9.8738,0.042608,1.3705,0.22389,NA
M822.841T1023.188,9.8539,0.042963,1.3669,0.22523,NA
M645.263T929.492,9.8383,0.043241,1.3641,0.22606,NA
M427.165T783.656,9.8341,0.043317,1.3633,0.22606,NA
M519.181T769.174,9.8186,0.043597,1.3605,0.227,NA
