"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M649.026T106.128",0.027299,-0.0049727,0.03115,-0.005629,0.0079749,0.0012155,0.002755,-0.0093999,0.0024818,-0.0043476,0.0020231,-0.0042661,0.0062999,-0.005349,0.011012,-0.014385,-0.004568,0.0023579
"M1097.561T894.34",0.029573,-0.0045956,0.012014,0.017553,-0.0065143,-0.0074271,-0.017604,-0.0071018,-0.001966,0.015318,-0.0088697,-0.00041681,-0.025442,0.0031613,0.0064913,0.0080946,-0.010821,0.0060568
"M1014.585T1248.122",0.026194,0.0015432,0.019131,-0.00031833,0.011516,-0.006438,-0.0076735,-0.0036936,-0.0039593,-0.0067536,-0.0065285,-0.0045021,0.010535,-0.00018719,-0.006124,0.0037197,-0.012761,0.0013069
"M868.517T1202.592",0.026789,0.0063706,0.038782,0.00086063,0.0042655,0.0036945,-0.010444,-0.0047518,-0.013941,-0.010757,-0.013201,0.010786,-0.00354,0.00070047,-0.0093225,0.010141,0.0025741,-0.00049123
"M1015.588T1248.088",0.029244,0.0063868,0.033542,-0.0062403,0.014751,-0.0018999,-0.0060919,-0.0013838,-0.0012677,-0.003189,-0.0059529,0.003198,0.0060168,0.00068956,-0.0038193,-0.0010668,-0.0081707,0.00011709
"M921.374T936.829",0.028428,0.01603,0.0089805,-0.0040102,-0.0037055,0.0038215,-0.02034,0.016602,-0.0014315,-0.0016919,0.0048459,-0.0051743,0.002936,0.00037808,-0.0043946,0.0010785,-0.00022294,0.0049594
"M851.794T1356.146",0.026374,-0.0037376,0.034884,-0.00067918,0.013775,-0.002692,-0.0045802,-0.003049,-0.0047568,0.0033367,0.0045059,-0.003096,0.00097999,0.0060013,-0.0034648,0.010809,-0.00015621,0.00024834
"M451.007T107.467",0.023648,-0.011942,0.020628,0.011085,-0.0017695,-0.00054925,0.0069074,-0.0089314,0.0021033,-0.0057699,0.0064742,-0.015023,0.01456,-0.0082454,0.00098663,-0.0013377,-0.0076683,-0.00037252
"M808.919T1196.341",0.016496,-0.0064867,0.0097634,0.0075507,-0.025023,-0.015212,0.0019292,0.010761,-0.01181,-0.026088,-0.011826,-0.057841,0.00709,0.04862,0.0082579,0.085775,0.0073945,0.0057368
"M1013.97T1244.591",0.027704,0.0010765,0.021225,-0.0030865,0.015571,-0.0027822,0.0031684,0.0028366,0.012237,1.2e-05,-0.012935,-0.0013359,-0.0014474,0.019786,-0.008977,0.0078308,-0.011424,-0.0021329
"M1100.582T1225.322",0.028438,0.0070991,0.026659,-0.0020039,0.0080237,0.0048211,-0.011113,0.010849,-0.00099076,0.0015533,0.0046111,-0.0034948,0.0058524,0.0019478,0.003737,0.0037813,-0.014064,6.6663e-05
"M649.302T900.549",0.023212,0.007928,0.0063559,0.014063,0.00056619,0.002554,-0.0055905,-0.00088306,-0.0032701,0.0036025,0.0010971,-0.012338,-0.0046151,-0.01716,-0.0088851,0.008395,-0.00021702,0.0011813
"M575.766T1053.433",0.021278,-0.0082482,0.013203,0.023845,-0.0038557,-0.0055061,0.010883,0.017978,-0.0059122,-0.011567,-0.019012,-0.0088406,-0.0054777,-0.024561,-0.0025936,0.010403,0.021426,0.0032679
"M1161.883T894.146",0.02813,-0.0069429,0.0041626,0.01752,-0.0052882,-0.0073376,0.018345,-0.016815,0.008218,-0.00011003,-0.030059,0.01237,-0.0062896,0.029618,-0.011417,0.010547,-0.002274,-0.00077849
"M286.972T107.919",0.022212,-0.012753,0.010001,0.014645,0.012857,-0.0035645,0.011509,-0.0062943,-0.0084004,-0.0077376,0.0067967,-0.020167,0.00065596,-0.012611,0.0019552,-0.004674,-0.014969,-3.0213e-05
"M581.318T900.123",0.027047,0.015647,0.032814,0.0036098,0.0020025,0.0024503,-0.015007,-0.0094312,2.4133e-05,0.0023757,-0.0025212,-0.0084855,-0.00022623,-0.006747,-0.0016028,0.0089604,-0.0032801,-0.004091
"M1014.585T1348.471",0.030039,0.013282,0.03667,-0.013974,0.015133,0.0016206,-0.0095449,0.00098352,0.0086676,0.0061961,0.0050434,-0.0032938,0.0081759,-0.00074221,-0.0065233,0.010807,-0.0089977,-0.0022535
"M799.289T814.54",0.020108,-0.0072138,-0.010787,0.0050997,0.022131,0.014371,-0.00035486,0.0030473,0.030266,0.01854,-0.01102,-0.0082673,0.018277,-0.023096,0.007449,0.021662,-0.0024729,0.003333
"M883.503T1155.003",0.024271,0.0020441,0.028448,0.013612,0.010391,0.001047,-0.01354,-0.0092257,-0.0071561,-0.011662,-0.013505,0.0021248,0.0017915,-0.00072022,-0.011852,0.009388,0.0021167,0.00051157
"M527.103T89.251",0.017998,-0.015454,0.018033,0.035618,-0.017465,-0.010697,0.0066689,-0.012185,-0.015543,-0.022252,0.038234,-0.034065,-0.040083,-0.0085028,-0.045787,-0.0064038,0.0047378,-0.0016375
"M1053.272T316.465",0.03125,0.03216,-0.0074987,-0.015456,0.0081667,-0.031049,0.012356,0.0042262,-0.0070761,0.0017263,0.0032441,0.0012147,-0.0025295,-0.0087347,0.0014588,0.010993,-0.00081256,-0.0044943
"M1097.037T893.528",0.027548,-0.010521,0.0082768,0.0071453,-0.0032216,-0.0072466,-0.0067961,-0.0047393,-0.014697,0.01495,0.0026197,-0.017876,-0.021585,-0.0015288,-0.014706,0.0045043,0.00091002,-1.2743e-05
"M987.494T1327.158",0.02584,-0.0038908,0.035188,-0.0018427,0.0027522,0.0029816,-0.022621,-0.0063737,-0.0032895,-0.013927,0.013635,0.019734,-0.0036707,-0.0075387,-0.0046567,-0.014041,-0.00040765,-0.0054013
"M863.484T1242.374",0.014808,-0.00090656,-0.0051061,0.04294,0.012829,-0.0047519,-0.0055397,-0.018449,0.011521,-0.012498,-0.011518,0.010772,-0.0038795,0.0040756,-0.019462,0.013931,-0.0025625,0.0013024
"M869.849T1307.413",0.019125,-0.010095,-0.0021864,0.022964,0.005393,-0.0061024,0.0014035,-0.010654,0.0080172,-0.0066351,0.013669,-0.0054356,-0.0030982,-0.00049052,0.010408,-0.011355,-0.011487,0.00087757
"M867.515T1204.699",0.028168,0.003412,0.037636,0.0032526,0.0098774,-0.002622,-0.012608,-0.0054452,-0.007044,-0.013017,-0.013749,0.012474,-0.0096518,0.0088142,-0.0075828,0.0023651,0.0014849,0.00089763
