DroVsCon,FocVsCon,XvmVsCon
,M361.323T326.759,
,M483.129T913.248,
,M1143.444T941.11,
,M206.081T834.983,
,M529.184T941.182,
,M445.037T424.564,
,M269.05T89.726,
,M822.313T886.782,
,M1103.384T928.554,
,M1201.918T909.936,
,M1063.398T908.83,
,M344.099T126.621,
,M433.376T793.769,
,M361.589T316.501,
,M1013.583T1347.533,
,M1097.514T1402.931,
,M519.896T67.425,
,M375.104T216.821,
,M375.07T470.729,
,M990.329T838.789,
,M483.209T897.853,
,M139.002T112.479,
,M383.555T317.319,
,M745.161T766.586,
,M397.259T1311.545,
,M698.26T899.18,
,M1390.547T1005.094,
,M575.708T1045.732,
,M447.259T942.596,
,M1130.437T924.326,
,M444.872T67.426,
,M645.848T67.545,
,M328.886T98.013,
,M429.141T889.195,
,M1363.57T899.951,
,M243.065T108.531,
,M470.098T771.956,
,M1085.513T1348.399,
,M1013.86T1346.532,
,M581.283T805.632,
,M950.337T882.881,
,M998.841T1404.514,
,M807.744T937.741,
,M941.317T938.576,
,M1130.454T886.215,
,M354.957T108.842,
,M601.172T845.875,
,M1014.585T1348.471,
,M885.489T1408.277,
,M1305.428T315.265,
,M310.974T92.682,
,M565.23T844.341,
,M621.125T857.148,
,M333.062T954.304,
,M671.034T89.795,
,M1031.899T1225.646,
,M503.143T589.731,
,M567.333T903.822,
,M272.963T113.946,
,M1097.037T893.528,
,M1007.373T920.82,
,M353.181T807.324,
,M497.175T1191.749,
,M1095.872T896.96,
,M481.183T807.444,
,M285.909T1803.837,
,M385.113T835.894,
,M807.007T938.915,
,M998.861T1404.179,
,M581.318T900.123,
,M857.325T1034.658,
,M401.144T790.222,
,M437.065T776.272,
,M413.179T861.909,
,M1071.559T892.477,
,M311.186T1077.614,
,M293.177T1149.195,
,M1143.426T942.716,
,M442.938T91.386,
,M413.108T298.268,
,M409.002T109.878,
,M1095.906T894.31,
,M384.097T310.658,
,M676.309T1245.665,
,M402.187T763.436,
,M657.063T941.851,
,M383.609T322.831,
,M781.183T974.609,
,M695.298T853.355,
,M731.208T950.406,
,M712.22T783.012,
,M487.016T806.181,
,M1432.595T1048.493,
,M593.926T757.244,
,M947.485T901.595,
,M951.397T1014.118,
,M1323.606T888.291,
,M472.901T67.482,
,M647.193T836.421,
,M319.083T845.914,
,M615.152T88.13,
,M475.146T746.942,
,M941.306T938.915,
,M771.203T760.252,
,M864.188T806.912,
,M548.979T106.308,
,M1144.448T942.538,
,M679.277T1051.577,
,M649.302T900.549,
,M848.315T857.496,
,M366.994T111.318,
,M673.289T892.945,
,M1136.99T908.053,
,M369.388T763.979,
,M642.302T1183.207,
,M632.663T319.55,
