"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M420.91T18.56"," 6732.580","10598.030","10598.030"," 9560.596","10576.848"," 9644.857"," 8888.586","11366.585","10691.966"," 9328.423","10944.736","10458.928"," 9088.665"," 8111.465"," 7144.068"," 8057.429"," 9147.131","10266.443"," 9872.438"
"M428.92T12.55"," 9280.923"," 8834.894"," 8834.894","10256.678"," 9999.910"," 8569.033"," 9293.237"," 8270.738"," 8462.842"," 6549.963"," 8942.970"," 9971.056"," 8890.358"," 8835.749"," 8250.458"," 6947.191"," 9566.712"," 9047.060"," 7903.189"
"M428.92T17.56"," 8973.536","10349.445","10349.445","10567.608","13652.897","11076.986","10470.887","13217.657","19690.896","12576.469","13331.876","12182.295","15438.580","10551.099"," 8798.211","16409.147","13586.638","14621.657","10230.364"
"M468.42T1623.34"," 542007.5"," 628074.8"," 628074.8"," 549716.1"," 495555.1"," 606536.8"," 545056.4"," 597341.8"," 603362.1"," 542763.9","1075071.3"," 634062.8"," 572234.4"," 643757.9"," 619860.4"," 628881.4"," 566746.4"," 515698.4"," 595978.9"
"M468.91T17.56","29462.32","33982.82","33982.82","43558.28","47826.26","74608.33","39458.02","43000.51","39131.04","35583.26","47760.85","49648.50","47239.88","40975.77","29906.69","36342.07","44109.93","44675.28","45718.75"
"M480.89T18.57"," 9054.941","13164.882","13164.882","15550.512","16984.802","21310.369","12104.204","14816.475","14751.546","15009.296","16330.846","15304.084","14981.360","12860.862","10096.842","12842.489","13524.027","14465.266","15972.008"
"M496.91T17.56","30901.49","40334.91","40334.91","46063.78","49178.11","76691.25","34812.25","48528.26","48922.33","41396.29","39847.18","43303.52","47456.46","40859.44","30831.87","34491.40","45457.97","47011.94","42996.60"
"M501.91T13.55","5019.482","5415.455","5415.455","5757.220","4971.728","6026.710","4635.866","3855.532","4505.476","3713.630","4349.008","5715.855","3998.975","6045.790","4662.962","4769.384","6992.103","5207.881","5172.429"
"M502.87T19.22"," 6388.386"," 8680.406"," 8680.406","10060.090"," 9489.228"," 7884.709"," 8303.695"," 9978.606"," 8972.755"," 8787.517"," 8736.130"," 9652.393"," 8693.061"," 8113.470"," 7314.630"," 7397.220"," 8918.376","10646.668"," 8479.017"
"M516.89T18.56","15235.15","17205.02","17205.02","21103.12","23013.98","34139.97","15371.17","22590.36","19933.37","19312.79","20691.89","24872.39","24013.00","18434.08","13320.50","19144.18","21213.45","20159.43","20908.54"
