"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M341.27T1369.82","207023.495","246041.238","246041.238","267798.96","269622.395","270380.2081","788994.084","310983.749","219943.91","325767.398","215774.433","323287.188","267487.085","256942.734","303597.541","557041.925","279902.636","201973.332","515394.281"
"M349.25T12.55","7220.087","5095.324","5095.324","8585.68","9119.501","5906.5138","7528.518","7653.753","7179.474","5944.335","8240.536","7517.995","8777.46","8450.962","7509.041","5364.214","8774.062","7457.069","6017.215"
"M352.92T20.57","13557.76","15807.942","15807.942","14597.662","17538.37","17399.722","14090.547","25161.87","17750.757","15146.371","15235.138","18713.484","18155.359","13865.743","13223.557","14561.299","15709.376","17345.837","16423.044"
"M360.93T17.56","18205.666","27367.322","27367.322","30164.222","32695.149","65397.3822","27668.758","32722.452","32465.104","31482.51","41060.814","36091.952","42651.056","31464.85","26629.44","31758.942","30449.074","42900.987","62875.636"
"M372.36T1639.49","168833.055","208986.386","208986.386","223256.756","159417.609","316354.8058","240285.523","206883.153","185052.349","240473.541","187653.429","181582.569","274131.617","171349.723","219850.693","340410.068","179440.655","187241.902","288183.56"
"M372.36T1624.16","192652.142","253304.486","253304.486","226110.413","182836.974","324090.9468","290931.739","212489.086","198814.856","272029.473","215109.039","219154.438","261360.03","225390.767","259790.552","347178.313","204977.685","218009.71","327204.755"
"M380.92T18.56","15621.098","15907.889","15907.889","21438.122","23308.977","35861.8372","20834.316","22805.377","24402.99","19518.675","22348.138","25887.43","24169.266","18606.261","17274.893","20943.692","24300.684","23463.264","23927.568"
"M382.31T1622.76","146575.14","160580.215","160580.215","164090.101","152704.279","106312.8493","141594.275","156305.255","172504.008","163557.968","139292.216","153505.94","177194.28","153799.575","162236.892","121250.1","187109.849","182954.736","144488.677"
"M385.29T1369.89","423460.908","510284.331","510284.331","412582.216","720462.475","422022.6748","1174897.31","432684.059","454051.6","606828.392","418367.153","856831.299","291328.636","318903.495","525261.941","696879.119","562914.962","240100.888","784662.166"
"M392.9T19.57","8035.007","8724.857","8724.857","10744.136","10122.84","11573.9625","10762.555","10946.929","11540.518","9608.645","12235.54","12100.857","11431.932","10312.182","7485.376","9643.858","10080.15","10799.855","11579.355"
