"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M404.065T806.181"," 0.3590427"," 0.8874593","-0.4112317"," 0.5543561","-0.4418332","-0.6278548","-0.3199385"
"M982.374T904.236"," 0.2999462"," 0.9177849"," 0.4247683"," 0.4482484","-0.5764721","-1.0162783","-0.4979973"
"M383.433T314.152"," 0.19046581"," 0.94653462"," 0.30359175"," 0.02237483","-0.63659058","-0.35879893","-0.46757750"
"M362.298T315.255"," 0.2155728"," 0.9591511"," 0.3556339"," 0.1780258","-0.7068559","-0.5807056","-0.4208220"
"M1395.396T991.455","-0.06099671"," 0.83265081","-0.06436235"," 0.84425203","-0.79429451","-0.55400255","-0.20324672"
"M481.183T769.795"," 0.2819949"," 0.8043922"," 0.6473193"," 0.5232500","-1.0073447","-0.5432664","-0.7063453"
"M407.173T414.983","-0.07776107"," 1.11779161"," 0.39337278"," 0.19429969","-1.11362546","-0.41154938","-0.10252818"
"M1297.451T316.098"," 0.37256437"," 0.30171950"," 0.39104800"," 0.44669057","-0.33856248","-1.09802359","-0.07543636"
"M727.283T864.823"," 0.3380561"," 0.6030030"," 0.3485516"," 0.2469804","-0.5209715","-0.7363991","-0.2792205"
"M429.387T309.562"," 0.54330642"," 0.91787980"," 0.09334995"," 0.04357280","-0.55370856","-0.77291703","-0.27148338"
"M1031.84T1213.333"," 0.491220493"," 0.674459319"," 0.329664511"," 0.006309748","-0.656545797","-0.417117958","-0.427990316"
"M937.515T1306.76"," 0.32899038"," 1.00679423"," 0.15493314","-0.04182959","-0.47156901","-0.68580365","-0.29151549"
"M570.518T894.146","-0.07077843"," 1.18091301"," 0.35812437","-0.12624080","-0.72758286","-0.22975861","-0.38467668"
"M1162.717T895.445","-0.21504445"," 1.21838919"," 0.27065661","-0.02544745","-0.45853532","-0.26057420","-0.52944437"
"M289.446T802.654"," 0.1654061"," 1.1301745","-0.3619197"," 0.2944636","-0.3870158","-0.1571800","-0.6839286"
"M970.001T316.098"," 0.2605642"," 0.2980395"," 0.3694206"," 0.6572616","-0.4617312","-0.5159354","-0.6076194"
"M647.193T836.421"," 0.2076540"," 1.1181706"," 0.3205662"," 0.2422732","-0.4342232","-0.9843789","-0.4700619"
"M863.184T809.21"," 0.006773512"," 0.792737475"," 0.146941653"," 0.701316791","-0.811512485","-0.270379719","-0.565877227"
"M565.23T844.341"," 0.17188053"," 0.86721637"," 0.45671668"," 0.01139214","-0.63160069","-0.45331718","-0.42228784"
"M293.118T1042.937"," 0.2271704"," 1.3381076"," 1.0107306"," 0.5344810","-0.3855265","-1.3540797","-1.3708834"
"M483.209T897.853"," 0.18233172"," 0.93706963"," 0.42680683"," 0.08609883","-0.53068361","-0.73629629","-0.36532710"
"M1094.047T894.516"," 0.1059050"," 1.2004721"," 0.1806706","-0.0235191","-0.6828061","-0.2806777","-0.5000449"
"M317.087T121.975"," 0.2668335"," 1.0092931"," 0.2519991"," 0.1907994","-0.6124100","-0.6829590","-0.4235562"
"M909.388T926.435"," 0.2308811"," 1.0684306"," 0.4560926"," 0.2840011","-0.3197516","-1.4527050","-0.2669489"
"M549.258T834.983"," 0.2200782"," 0.6928602"," 0.6675852"," 0.3233771","-0.1238188","-1.5045675","-0.2755145"
"M643.039T106.784"," 0.05684273"," 0.95577688"," 0.18774375"," 0.13017190","-0.73265809","-0.49731856","-0.10055861"
"M415.744T872.34"," 0.2642282"," 0.9255347"," 0.1991696"," 0.1956148","-0.3789001","-0.8815423","-0.3241050"
"M451.125T735.96"," 0.1638953"," 0.9668137"," 0.3259556"," 0.3224284","-0.3878324","-0.8859931","-0.5052675"
"M409.075T744.412"," 0.07592890"," 1.02976924"," 0.41747103"," 0.03205229","-0.54666345","-0.45181070","-0.55674730"
"M457.136T788.61"," 0.3435189"," 0.8998111"," 0.4039358"," 0.2382312","-0.4394640","-1.1217469","-0.3242861"
"M311.138T170.155","-0.06352597"," 1.04202414"," 0.42417429"," 0.16295531","-0.61184491","-0.58794153","-0.36584133"
"M593.763T756.056"," 0.31124985"," 1.14682425"," 0.06314977"," 0.15332727","-0.69268995","-0.30576138","-0.67609982"
"M392.068T765.784","-0.06618093"," 0.92678371"," 0.37703400"," 0.25643850","-0.53302979","-0.44473911","-0.51630639"
"M433.661T789.942"," 0.1948602"," 0.9143879"," 0.2022062"," 0.2420262","-0.5516172","-0.6836001","-0.3182632"
"M919.493T1102.884"," 0.50058330"," 0.76426012"," 0.34155732"," 0.07141863","-0.96593101","-0.33634286","-0.37554550"
"M870.649T1317.21"," 0.583864871"," 0.270140693"," 0.515748061","-0.001747843","-0.416116282","-0.506665705","-0.445223795"
"M437.044T765.875"," 0.1721322"," 0.9616364"," 0.5658731"," 0.1357923","-0.4790915","-0.8343997","-0.5219428"
"M861.253T1033.436"," 0.3059972"," 1.5438614"," 0.1096335"," 0.2313278","-0.7374177","-0.8093786","-0.6440236"
"M715.427T310.719"," 0.06701178"," 1.04825311"," 0.28511859"," 0.16651467","-0.48850986","-0.35961374","-0.71877456"
"M1095.84T892.791"," 0.3953763"," 1.0180537"," 0.5259177"," 0.1775289","-0.5582559","-0.2058223","-1.3527985"
"M485.168T916.74"," 0.1250730"," 1.0285709"," 0.1969976"," 0.2382342","-0.4541357","-0.7848316","-0.3499084"
"M355.433T783.665"," 0.06330409"," 0.96155281"," 0.62335730"," 0.27454735","-0.33262770","-0.83065987","-0.75947398"
"M313.119T883.187"," 0.4325838"," 0.6083795"," 0.5277454"," 0.4147793","-0.1042760","-1.6010364","-0.2781756"
"M433.039T456.919"," 0.4205795"," 0.6428528"," 1.1799910"," 0.9271953","-0.5729547","-1.2901449","-1.3075189"
"M447.259T942.596"," 0.24301593"," 1.03943295"," 0.36842893"," 0.04909835","-0.58143372","-0.55311336","-0.56542909"
"M355.067T660.488","-0.0344596"," 0.9417080"," 0.1209996"," 0.3432171","-0.6008321","-0.4980920","-0.2725410"
"M1134.038T907.684","-0.180761278"," 0.293697554","-0.120414635"," 0.521111291","-0.657191207"," 0.009766125"," 0.133792151"
