"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M798.851T67.54","2166.8518","1215.6997","243.13994","8739.6376","3202.7786","6525.4816","13841.7164","16826.1935","6990.4691","7112.5734","17118.5774","1981.2982","2096.6274","3123.6182","2047.5907","243.13994","8949.8326","6166.7631"
"M413.179T861.909","703.2874","1475.2065","236.12988","4441.9072","5745.91","5786.284","3233.8724","3055.0507","47.225976","1319.1445","604.573","47.225976","9240.3884","8459.5781","3434.667","252","3911.115","6419.1768"
"M807.007T938.915","1437.9966","3951.1755","190.9264","5408.7617","2796.7804","5361.959","5304.2306","4252.941","2743.9299","954.632","2226.2278","190.9264","4145.1885","5765.991","190.9264","190.9264","6648.2194","3349.3008"
"M359.022T90.408","12256.8176","12134.7155","650.17287","20738.2012","21069.0824","22601.898","20476.8609","13474.2543","15388.1985","14668.9099","19490.8689","853.7428","15007.2062","9591.918","15591.7377","469","25855.1018","24436.9185"
"M564.961T1199.656","2313.3047","3041.2864","19.5","3657.428","1437.4633","1054.2592","1469.8125","2609.7251","2409.174","3706.0835","2172.5488","19.5","2931.1471","2058.8158","3096.731","97.5","1869.7301","577.5491"
"M359.061T194.361","6036.0488","4175.893","219.25381","10798.7444","9276.4822","8041.6072","8609.0956","25005.4719","7364.4426","9982.1055","13575.211","170.1687","7831.9368","7209.0077","5777.6074","34.03374","6458.8925","8241.4379"
"M1462.52T939.973","28077.7146","25404.9744","677.36308","92069.6354","46420.988","5439.7282","82101.283","69055.0465","21219.4702","5787.3079","37099.0892","285.7409","12436.3098","49387.5042","9378.2953","477","25866.5746","25606.8"
"M385.113T791.317","32234.9601","19247.6795","106.05586","39459.569","22678.8392","20679.0409","26936.8315","25704.6303","24628.211","25373.8652","29801.8666","530.2793","33326.8809","25394.9891","27404.4174","590","25750.6058","21935.4368"
"M743.85T66.912","1852.7787","2119.7825","58","3624.6354","2871.6806","6737.5909","11162.2866","13311.166","8329.5773","3026.4678","4674.3185","1918.5692","3842.364","3375.7513","3344.7718","290","761.8907","5140.1306"
"M203.083T418.775","70278.804","13554.7317","284.50586","105769.5246","3878.8177","7846.6233","8876.5035","4464.3843","1422.5293","5556.2662","2313.8167","284.50586","35409.6196","32668.1616","38479.418","284.50586","11580.0884","5145.1606"
"M341.465T625.973","7738.4843","1767.5532","221.74516","16921.4315","4133.4524","4285.4265","6364.2187","2380.4968","1108.7258","1515.5936","1846.8669","221.74516","7305.2049","7858.4545","6482.2238","221.74516","3110.7201","2594.8933"
"M272.959T67.281","292124.4698","178026.0589","51","287993.5543","347131.4301","447462.1613","1058562.856","1593095.18","730765.011","398728.1223","1100659.738","483.769","516358.014","522850.0988","483331.7353","255","298818.3571","2414220.682"
"M700.328T66.684","2290.387","1961.2321","47","3162.3227","4234.6188","2033.2193","10342.9865","11765.7756","5522.5081","2732.9595","7757.6779","806.7707","3097.6672","4912.0004","4035.7621","235","1734.6264","8424.929"
"M280.987T110.997","6142.8448","5771.8966","192.64252","8886.5003","9555.4463","8932.4631","7245.936","9157.4901","8377.9755","7750.0183","8771.3188","38.528504","6863.1996","8460.2579","7826.2447","38.528504","8640.0255","9766.456"
