"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M715.427T310.719",-0.029817,-0.039059,-0.0078452,0.018866,0.024944,-0.025056,-0.0021141
"M1095.84T892.791",-0.035267,-0.053732,0.015936,0.0059658,0.11754,-0.016168,-0.0018216
"M485.168T916.74",-0.031423,-0.0047949,-0.0054466,0.032879,-0.026253,-0.0035024,-0.0020566
"M355.433T783.665",-0.035335,0.0068184,-0.010663,0.023366,0.039521,-0.048983,0.0047882
"M313.119T883.187",-0.035142,0.085719,0.015458,0.049251,-0.0035755,0.010521,0.0042182
"M433.039T456.919",-0.049148,0.056951,-0.041942,-0.010294,0.14207,0.0035835,-0.0028866
"M447.259T942.596",-0.032356,-0.024275,0.01818,0.0045147,0.0055236,-0.015472,-0.0027963
"M355.067T660.488",-0.02719,-0.021967,-0.034179,0.011815,-0.031318,0.0061164,-0.00027414
"M1134.038T907.684",-0.0092443,-0.023122,-0.0729,-0.030039,-0.042531,0.054037,0.0011821
"M819.254T316.358",-0.027689,0.024959,0.013211,-0.020181,0.00055821,0.022365,-0.0069585
"M383.609T322.831",-0.029333,-0.030703,0.019075,0.0090306,0.0059108,0.0012283,-0.00099801
"M341.31T626.276",-0.039001,-0.007107,0.0068634,-0.020105,0.01417,-0.0069126,-0.0021329
"M579.151T798.32",-0.030405,-0.019981,-0.074942,0.055375,0.01281,0.028984,-0.0031418
"M784.154T761.471",-0.030956,-0.014404,0.016933,-0.0025139,-0.0095402,-0.029675,-0.0045757
"M323.187T1016.246",-0.029586,-0.023823,0.0012092,-0.02998,0.0073639,0.023587,0.0010953
"M1099.581T1224.487",-0.028113,-0.00071403,0.021477,-0.00055101,-0.035499,-0.0023984,-0.0025201
"M206.988T126.118",-0.027648,-0.025717,0.0028156,0.035737,-0.003147,0.0064653,-0.0046295
"M489.691T902.138",0.0060033,0.098422,0.039194,0.067864,0.0079061,0.0090131,0.0033787
"M472.901T67.482",-0.030293,0.00032073,-0.0024622,0.030056,-0.032691,0.065642,-0.0019519
"M685.228T857.881",-0.035868,0.034626,0.015102,-0.034149,1.6008e-05,-0.017337,-0.0024772
"M441.162T763.637",-0.029926,0.0085662,0.0053932,0.050689,-0.038204,0.014097,-0.0074423
"M1137.546T907.004",-0.029425,-0.020999,-0.019566,0.01204,-0.065559,0.0012431,0.00060088
"M963.275T732.778",-0.031243,0.0054117,0.010341,0.0055465,0.0057052,0.028771,-0.0048709
"M991.316T318.206",-0.02797,0.016755,0.0079048,0.024805,0.0051424,0.023881,-0.0050898
"M867.206T809.129",-0.03748,-0.03761,0.01697,0.08949,-0.013129,0.00099367,-0.0012041
"M403.064T798.991",-0.027384,-0.066082,-0.018256,0.027458,0.021207,0.039604,0.0018131
"M836.522T1479.692",-0.030374,-0.033184,0.017792,-0.0059041,-0.011611,0.0053011,-0.0014951
"M399.275T1363.391",-0.032795,-0.017626,-0.021095,-0.0098142,0.0069562,-0.0024826,-0.0017951
"M548.179T817.387",-0.033801,0.042199,-0.01854,0.012906,0.0062992,0.026895,0.003038
"M524.183T892.811",-0.03079,0.0092688,0.0015002,0.0064392,-0.01954,0.0099496,-0.00018945
"M518.153T824.178",-0.032239,0.010699,0.0082909,-0.0012593,0.0011581,-0.024585,-0.00095613
"M1096.548T894.929",-0.029243,-0.044069,0.010448,0.0060796,-0.034198,0.00020804,-0.00051386
"M999.268T316.316",-0.028571,0.010019,0.0025915,-0.028097,0.0034124,0.031609,0.0032033
"M393.081T756.691",-0.036175,-0.024615,-0.0015561,-0.0088849,-0.0012843,0.0095849,-0.0028847
"M836.743T1479.398",-0.028889,-0.014868,0.010403,0.0057913,0.0071593,-0.020913,0.00012053
"M529.154T821.794",-0.031576,0.012769,-0.040278,0.02044,0.0053215,-0.020155,0.00035328
"M487.212T857.117",-0.033826,-0.0027046,0.0013627,-0.023876,0.021749,-0.023154,-0.0038571
"M322.969T105.104",-0.02839,0.00039055,0.012272,-0.024998,-0.0035838,-0.0057114,-0.0011223
"M475.146T746.942",-0.034835,-0.017489,0.019345,-0.032252,-0.015968,-0.020902,0.0014036
"M1323.386T316.247",-0.027695,0.042988,0.0041709,-0.010216,0.0015721,0.032806,0.00048244
"M438.049T766.588",-0.031951,-0.012134,0.0053235,-0.011753,0.021385,-0.062014,-0.003627
"M1013.583T1347.533",-0.029893,-0.0063397,0.023023,0.0038952,-0.014945,-0.0043157,0.00042746
"M407.045T415.442",-0.031738,-0.019163,0.022528,-0.0045251,-0.00098168,-0.0035102,-0.0013267
"M331.068T223.104",-0.037749,-0.017294,-0.0053289,-0.00056498,-0.029955,-0.024195,-0.006886
"M384.092T841.195",-0.021636,-0.017399,0.003901,-0.026631,0.066407,-0.0042099,-0.00072503
"M1611.697T937.933",-0.049159,0.023953,0.017687,0.017775,0.010062,-0.035184,-0.008724
"M465.105T746.988",-0.029807,-0.05925,-0.011212,0.01843,0.006005,0.040642,-0.00090387
"M653.913T316.046",-0.032139,-0.0099265,-0.0016779,-0.019305,-0.019064,0.038034,0.0011934
"M969.317T316.321",-0.025969,0.039326,0.013275,-0.015275,-0.00020261,0.030625,0.0048858
"M354.082T204.227",0.00034321,-0.031244,-0.13571,-0.11483,0.094961,-0.091364,0.0050637
"M311.104T1075.82",-0.026584,0.027534,0.044507,0.071456,-4.4175e-05,0.032791,-0.01009
"M380.071T778.258",-0.045592,0.024698,-0.059107,0.010899,0.037165,0.056262,0.0025994
"M638.078T817.768",-0.022377,0.05086,-0.016965,0.024222,-0.042772,0.03387,-0.0044393
"M735.222T927.83",-0.035437,7.0591e-05,-0.0012164,-0.012453,-0.030096,-0.047049,-0.0089317
"M651.317T893.83",-0.028921,-0.010857,0.0027978,-0.0099744,-0.0091208,-0.014335,0.0012687
"M1167.557T907.179",-0.032007,-0.012035,0.052768,-0.063534,0.0071586,0.029381,-0.0047195
"M221.066T891.624",-0.02863,0.024977,-0.019308,-0.029194,0.02035,-0.0078918,0.0013768
"M204.085T413.719",-0.050211,-0.02723,-0.05658,0.033944,0.023303,0.034207,0.0016581
"M621.125T857.148",-0.033962,0.0030786,-0.044332,-0.068044,-0.032058,0.024322,0.0021043
"M453.101T88.055",-0.024607,-0.013302,-0.059982,0.076096,0.016913,0.035887,-0.00067365
"M1009.554T1308.282",-0.026884,-0.03203,0.020869,0.015699,-0.012839,-0.0078809,0.00053085
"M483.178T941.182",-0.030337,-0.021772,0.013889,-0.059396,-0.033889,0.039119,-0.00054959
"M1057.411T880.24",-0.035675,0.043165,0.014517,0.02137,-0.00071685,-0.04161,-0.0063586
"M478.295T1238.56",-0.023402,-0.022222,0.0050352,0.011629,-0.019345,-0.0036488,-0.0022216
"M469.208T948.545",-0.034493,0.018388,-3.9048e-05,0.041531,0.037994,-0.0044045,-0.0065302
"M632.993T321.252",-0.028271,-0.019945,0.035704,-0.0020124,-0.020315,-0.0032038,1.1174e-05
"M1308.932T316.358",-0.021943,0.061926,-0.012927,-0.027682,0.010528,0.055201,0.00067078
