"",F.stat,p.value,-log10(p),FDR
M1001.14T16.56,1.4979,0.16778,0.77527,0.60472
M1318.74T12.55,1.4966,0.16826,0.77403,0.60472
M797.85T12.55,1.496,0.16847,0.77349,0.60472
M862.83T12.55,1.4952,0.1688,0.77264,0.60472
M1250.08T17.56,1.4948,0.16893,0.77229,0.60472
M797.34T17.56,1.4945,0.16904,0.77202,0.60472
M1141.03T13.55,1.4935,0.16943,0.77101,0.60472
M1705.67T13.55,1.4933,0.16949,0.77085,0.60472
M1660.67T13.55,1.4905,0.17057,0.7681,0.60472
M1311.44T14.55,1.4875,0.1717,0.76522,0.60472
M1296.07T17.56,1.4861,0.17225,0.76384,0.60472
M1113.1T17.55,1.4843,0.17297,0.76203,0.60472
M989.8T12.54,1.4839,0.17312,0.76165,0.60472
M1611.69T13.54,1.4816,0.17401,0.75943,0.60472
M1054.79T17.56,1.4812,0.17416,0.75906,0.60472
M728.86T17.56,1.4803,0.17451,0.75818,0.60472
M676.85T19.54,1.4796,0.17476,0.75755,0.60472
M1002.47T16.93,1.4779,0.17543,0.75591,0.60472
M1121.44T17.55,1.4775,0.17559,0.7555,0.60472
M962.8T17.56,1.4762,0.1761,0.75424,0.60472
M1492.71T13.55,1.4718,0.17785,0.74994,0.60472
M680.86T11.54,1.471,0.17815,0.74921,0.60472
M970.48T13.55,1.4688,0.17902,0.74709,0.60472
M1038.14T13.55,1.4676,0.17953,0.74587,0.60472
M1149.77T17.56,1.4675,0.17957,0.74576,0.60472
M977.8T12.55,1.4661,0.18013,0.74441,0.60472
M1798.65T13.55,1.4627,0.18149,0.74116,0.60472
M1433.39T12.55,1.4623,0.18165,0.74077,0.60472
M1401.4T12.54,1.4618,0.18186,0.74026,0.60472
M544.89T18.56,1.4611,0.18213,0.73963,0.60472
M958.79T18.56,1.4602,0.1825,0.73874,0.60472
M1502.46T13.55,1.4589,0.18302,0.73751,0.60472
M888.32T17.56,1.4568,0.18389,0.73545,0.60472
M831.34T17.56,1.4534,0.18528,0.73217,0.60472
M1520.03T13.55,1.4525,0.18566,0.73129,0.60472
M1158.1T13.08,1.4509,0.1863,0.72979,0.60472
M717.85T18.56,1.4507,0.18638,0.72959,0.60472
M872.16T17.4,1.4507,0.1864,0.72956,0.60472
M1135.44T17.55,1.4506,0.18645,0.72944,0.60472
M1344.23T13.55,1.4503,0.18656,0.72918,0.60472
M1167.77T12.54,1.4489,0.18716,0.72778,0.60472
M1662.18T13.6,1.4487,0.18721,0.72766,0.60472
M637.36T17.55,1.4468,0.188,0.72585,0.60553
M1183.76T17.55,1.4434,0.18944,0.72254,0.60771
M1563.69T15.56,1.4425,0.18981,0.72169,0.60771
M1169.77T16.56,1.4414,0.19028,0.72061,0.60771
M1177.1T13.54,1.4367,0.19225,0.71613,0.61008
M1208.09T12.61,1.436,0.19256,0.71543,0.61008
M899.82T17.56,1.435,0.19297,0.7145,0.61008
M1610.94T13.55,1.4337,0.19354,0.71322,0.61008
M1466.72T12.54,1.4318,0.19435,0.71141,0.61008
M899.33T17.55,1.4317,0.19441,0.71128,0.61008
M1496.04T13.55,1.4308,0.19477,0.71047,0.61008
M1028.47T13.54,1.4259,0.19692,0.70572,0.6151
