"",F.stat,p.value,-log10(p),FDR
M1466.72T12.54,1.4091,0.25188,0.59881,0.66315
M575.48T1555.33,1.4088,0.25196,0.59867,0.66315
M853.83T11.54,1.4033,0.25357,0.5959,0.66448
M1440.47T13.55,1.4017,0.25403,0.59512,0.66448
M1255.09T13.55,1.4005,0.25439,0.59449,0.66448
M1258.04T18.06,1.3983,0.25503,0.59341,0.66448
M1038.79T17.56,1.3939,0.25632,0.59122,0.66448
M1458.71T13.55,1.3918,0.25695,0.59015,0.66448
M1755.66T13.54,1.3898,0.25753,0.58917,0.66448
M1095.45T12.55,1.3898,0.25753,0.58917,0.66448
M372.36T1639.49,1.3858,0.25875,0.58713,0.66448
M1120.78T16.56,1.3849,0.259,0.5867,0.66448
M1533.7T13.54,1.3809,0.26019,0.58472,0.66448
M1204.77T16.56,1.3808,0.26024,0.58463,0.66448
M1012.8T17.55,1.38,0.26046,0.58426,0.66448
M1084.28T17.56,1.3794,0.26065,0.58395,0.66448
M902.81T18.56,1.3771,0.26134,0.5828,0.66449
M1956.87T13.55,1.3755,0.26182,0.58199,0.66449
M1291.08T13.55,1.3658,0.26477,0.57714,0.67047
M1594.44T13.55,1.3621,0.26589,0.57529,0.67182
M1215.26T17.55,1.3583,0.26706,0.57339,0.67328
M1229.42T12.55,1.3538,0.26842,0.57118,0.67363
M1200.1T13.54,1.3502,0.26956,0.56935,0.67363
M901.82T17.55,1.3486,0.27004,0.56857,0.67363
M1587.38T13.99,1.347,0.27054,0.56777,0.67363
M1069.8T12.54,1.3428,0.27186,0.56566,0.67363
M1205.27T12.55,1.3427,0.27188,0.56563,0.67363
M848.83T17.56,1.3419,0.27214,0.56521,0.67363
M899.33T17.55,1.3383,0.27326,0.56342,0.67363
M536.9T17.56,1.3355,0.27415,0.56202,0.67363
M908.82T17.56,1.3332,0.27488,0.56086,0.67363
M1090.11T16.95,1.3323,0.27516,0.56041,0.67363
M1197.43T17.56,1.3292,0.27612,0.5589,0.67363
M1219.5T14.55,1.3283,0.27641,0.55844,0.67363
M660.87T17.56,1.3264,0.27703,0.55747,0.67363
M1174.45T13.55,1.326,0.27715,0.55728,0.67363
M933.32T17.56,1.3239,0.27782,0.55623,0.67363
M1747.42T13.55,1.3234,0.27796,0.55602,0.67363
M1013.8T17.56,1.3199,0.2791,0.55423,0.67363
