"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M461.356T1493.495",0.65899,0.71357,0.87627,0.85802,0.84425,0.83769,0.84154,0.84082
"M871.337T832.505",0.65337,0.87397,0.91102,0.89229,0.88904,0.90445,0.90754,0.90689
"M893.333T828.514",0.6526,0.91106,0.88776,0.87306,0.87274,0.87247,0.88198,0.88166
"M469.324T1556.958",0.64806,0.68655,0.64329,0.63157,0.62187,0.61736,0.61544,0.6149
"M662.261T828.514",0.64702,0.70023,0.67523,0.70508,0.70016,0.70106,0.70007,0.69948
"M386.164T943.456",0.64613,0.83512,0.8837,1.1119,1.0994,1.092,1.0882,1.0917
"M438.151T843.183",0.64398,0.7271,0.67562,0.68013,0.668,0.66272,0.66667,0.66724
"M574.21T828.514",0.64378,0.67094,0.7199,0.70488,0.70089,0.69709,0.6948,0.69453
"M643.447T1372.623",0.64173,0.68093,0.70857,0.69542,0.75142,0.7477,0.74861,0.7481
"M809.342T975.822",0.64015,0.9422,0.98849,1.0092,0.9993,1.0084,1.0198,1.019
"M807.348T918.929",0.63929,1.1256,1.0622,1.2398,1.2435,1.252,1.258,1.2575
"M341.283T1305.932",0.63715,0.6386,0.58717,0.67229,0.83904,0.83352,0.85628,0.87005
"M961.369T857.905",0.6346,0.63283,0.62746,0.61568,0.60859,0.60983,0.60824,0.60796
"M789.338T992.058",0.62859,0.90828,0.83604,0.91526,0.89781,0.89197,0.90272,0.90674
"M811.341T843.183",0.62601,0.70989,0.88237,0.86757,0.8716,0.88493,0.88512,0.88436
"M653.412T1258.482",0.61676,0.58345,0.74053,0.72478,0.73534,0.746,0.74915,0.74883
"M495.298T1036.333",0.61522,0.81751,0.83563,1.0874,1.2772,1.3419,1.3537,1.3526
"M675.252T926.047",0.59048,0.58759,0.66809,0.75774,0.80621,0.80379,0.80296,0.8034
"M789.329T927.31",0.57927,0.89119,0.83962,0.83692,0.82191,0.82832,0.83091,0.8335
"M697.239T908.018",0.57901,0.62036,0.58323,0.57996,0.60836,0.62422,0.62259,0.62372
"M990.367T843.183",0.57606,0.78721,0.76899,0.75342,0.75732,0.75342,0.75157,0.75093
