"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M984.394T881.272","-0.70642609","-1.34346011","-0.64720923","-0.41164558","-0.19167312","-0.17727526"," 0.11230286"," 0.09442850","-0.31302008"," 0.63725500"," 0.08020117","-0.20095773"," 0.02777292"," 0.35480147"," 0.18592244","-0.57174958"," 0.08970570"," 0.53177759"," 0.30697365"," 0.00202906"," 0.53156976"," 0.04159561"," 0.55702397"," 0.51349049"," 0.12691490"," 0.12244041"," 0.24721127"
"M654.247T924.482","-0.4207482810","-1.2113337751","-0.1384704421","-0.3510556504","-0.0003164895","-0.3651556632","-0.0635667130"," 0.2751849683","-0.0217996405"," 0.3168609149","-0.0194328656","-0.0445237655","-0.0161641896","-0.0570762204","-0.0148757700","-0.2435636357","-0.0169406595"," 0.7176318233"," 0.1546380657"," 0.1122582936"," 0.5548446853","-0.0341896198"," 0.5158180608"," 0.1488730038","-0.0052849364"," 0.2142068173"," 0.0141816841"
"M899.349T990.311","-0.34098893","-0.90289670","-0.09593706","-0.08982735","-0.15880877","-0.43908086","-1.00656529","-0.04344569","-0.24344576"," 0.40626343","-0.01929065"," 0.11278838"," 0.06626795"," 0.11551151"," 0.01766318","-0.40342345","-0.11103505"," 0.46693472"," 0.17826901"," 0.09477708"," 0.66219386"," 0.19801252"," 0.39588087"," 0.45690339"," 0.11629221"," 0.32094576"," 0.24604170"
"M978.369T957.42","-0.272121778","-1.385922180","-0.163328086","-0.030662730"," 0.045135141","-0.296757962","-0.503878375","-0.032531866","-0.079140205"," 0.525899314","-0.018569336"," 0.106755028","-0.060955809"," 0.212414278"," 0.090282669","-0.536393278","-0.008180661"," 0.379710224"," 0.141648737"," 0.172067904"," 0.501595353","-0.069065206"," 0.470348198"," 0.323685257"," 0.149532404"," 0.042868988"," 0.295563981"
"M798.333T1001.921","-0.28783582","-1.46306476","-0.49731470","-0.42977651"," 0.08437932","-0.45668610","-0.04720965","-0.03609178"," 0.01107381"," 0.59773065","-0.08508595","-0.14792552"," 0.16250162"," 0.31488333"," 0.35925576","-0.69156984","-0.04616912"," 0.36334278"," 0.55540385","-0.13110429"," 0.58295423"," 0.06601693"," 0.47477389"," 0.44428370"," 0.08302162"," 0.13455140"," 0.08566114"
"M587.368T1406.262","-0.7431325473","-0.2277942494","-0.4174823291"," 0.1343237920","-0.1613082785","-0.3807362974","-0.0400090115","-0.1479247616","-0.8769618680","-0.1640974749","-0.0159769712","-0.0006595092"," 0.1262550338","-0.1049101362","-0.0207454372","-0.1212082436"," 0.0941802782"," 0.2974124949"," 0.6196943474"," 0.1135489628","-0.0819328118"," 0.6951989459"," 0.3791884870"," 0.1351477385"," 0.5458683213","-0.0160926421"," 0.3801541674"
"M1077.418T843.183","-0.91360023","-1.84507290","-0.22256095","-0.12856376"," 0.13044962","-0.61868453"," 0.27550157"," 0.05844189"," 0.04605327"," 0.31665407"," 0.06327849"," 0.10512724","-0.05654923"," 0.39698784"," 0.02440464","-0.67000597"," 0.27949029"," 0.44316627"," 0.25844598"," 0.13077789"," 0.40017189"," 0.09172890"," 0.62854298"," 0.22538135"," 0.18843767"," 0.22449637"," 0.16749934"
"M659.418T1406.262","-0.30090203","-0.03068911"," 0.10501044"," 0.19999046","-0.02797075"," 0.06712476","-0.64835143","-0.23349944","-0.53348683","-0.09589699","-1.27765692"," 0.21695336"," 0.08093373","-0.31280020","-0.06928825","-0.26556599","-0.16391657"," 0.13291261"," 0.43113011"," 0.19489818","-0.13282631"," 0.60072517"," 0.53875351","-0.06391795"," 0.63319612"," 0.36970026"," 0.58544006"
"M587.444T1372.394","-0.30654908"," 0.33489178","-0.49771002","-0.09756693","-0.05476050"," 0.09155800","-0.07538164","-0.39613403","-0.42679606","-0.44752619","-0.48716750","-0.15654238","-0.23871316","-0.20129880"," 0.13432228","-0.04083199"," 0.23064391"," 0.33929036"," 0.46027448"," 0.22062330","-0.01304477"," 0.46731168"," 0.34874009"," 0.20777594"," 0.44733784"," 0.04603673"," 0.11121665"
"M820.314T857.905","-0.746659150","-1.165364428","-0.271113212","-0.215047217","-0.155654458","-0.444887785"," 0.265877223"," 0.168269149","-0.072011572"," 0.558076934","-0.262589152"," 0.020061978"," 0.002922494"," 0.069157525","-0.082153458","-0.718041993"," 0.164977507"," 0.677932628"," 0.198546791"," 0.171035290"," 0.607562429","-0.060993198"," 0.463260321"," 0.277517249"," 0.169915568"," 0.263438471"," 0.115964065"
