"",f.value,p.value,-log10(p),FDR,Fisher's LSD
M697.239T908.018,3.1187,0.022849,1.6411,0.033253,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M725.552T1574.274,3.1168,0.022906,1.64,0.033253,Second-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M847.317T919.58,3.116,0.022928,1.6396,0.033253,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M547.387T1389.173,3.1106,0.023094,1.6365,0.033346,First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M491.404T1557.26,3.1099,0.023115,1.6361,0.033346,Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M1105.447T942.609,3.1072,0.023197,1.6346,0.033346,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium
M564.205T827.274,3.1045,0.023281,1.633,0.033346,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M698.269T891.807,3.1033,0.023318,1.6323,0.033346,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M809.346T827.274,3.1023,0.023348,1.6317,0.033346,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas
M808.349T959.178,3.1016,0.023372,1.6313,0.033346,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Control
M706.253T891.652,3.1007,0.023398,1.6308,0.033346,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M816.307T940.951,3.0862,0.023853,1.6225,0.033921,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M821.327T902.328,3.0804,0.024038,1.6191,0.034085,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M917.354T941.124,3.0774,0.024134,1.6174,0.034085,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M590.444T1439.586,3.0761,0.024176,1.6166,0.034085,Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M840.333T885.833,3.0746,0.024222,1.6158,0.034085,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M349.196T1389.794,3.0745,0.024228,1.6157,0.034085,Second-tp_Drought - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M757.24T725.919,3.0719,0.024309,1.6142,0.034126,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Fusarium; First-tp_Fusarium - Second-tp_Xanthomonas
M1085.421T973.898,3.0669,0.024473,1.6113,0.034283,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M439.317T1401.37,3.0621,0.02463,1.6085,0.034429,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium
M607.446T1439.489,3.0576,0.024776,1.606,0.034561,Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M930.353T957.42,3.0486,0.025076,1.6007,0.034905,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M386.164T943.456,3.0454,0.025184,1.5989,0.034981,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; Second-tp_Drought - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas
M867.338T941.124,3.0423,0.025289,1.5971,0.035052,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M889.305T842.452,3.0402,0.025357,1.5959,0.035073,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Drought - Second-tp_Fusarium
M991.383T954.894,3.0294,0.025726,1.5896,0.035495,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M689.542T1488.279,3.0281,0.02577,1.5889,0.035495,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium
M576.484T1418.277,3.0223,0.025971,1.5855,0.035588,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M995.371T941.78,3.02,0.026051,1.5842,0.035588,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M961.384T973.898,3.0195,0.026068,1.5839,0.035588,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Drought - Second-tp_Control
M423.148T959.199,3.0191,0.026081,1.5837,0.035588,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas
M961.369T857.905,3.0183,0.026109,1.5832,0.035588,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought
M722.259T892.9,3.0125,0.026314,1.5798,0.035725,First-tp_Drought - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Control - First-tp_Xanthomonas; Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M904.333T924.482,3.0124,0.026318,1.5798,0.035725,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M423.145T941.689,3.0107,0.026377,1.5788,0.035731,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas
M884.32T942.609,3.0069,0.026511,1.5766,0.035816,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M870.334T843.183,3.0059,0.026548,1.576,0.035816,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M949.356T902.335,2.9998,0.026763,1.5725,0.036031,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M798.839T1023.188,2.9968,0.026872,1.5707,0.036104,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - Second-tp_Control
M687.446T1352.626,2.98,0.027485,1.5609,0.036848,Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M439.316T1439.553,2.9786,0.027538,1.5601,0.036848,Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M879.863T1006.792,2.9735,0.027726,1.5571,0.036932,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M968.365T917.809,2.9733,0.027733,1.557,0.036932,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M832.325T857.905,2.9708,0.027825,1.5556,0.036932,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M461.357T1435.338,2.9708,0.027826,1.5556,0.036932,Second-tp_Xanthomonas - First-tp_Control; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Xanthomonas - Second-tp_Drought
M990.367T843.183,2.968,0.02793,1.5539,0.036996,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M779.29T843.183,2.9644,0.028067,1.5518,0.037103,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M699.264T863.447,2.9581,0.028303,1.5482,0.037299,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Xanthomonas - First-tp_Drought
M711.441T1125.643,2.9575,0.028329,1.5478,0.037299,Second-tp_Drought - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M805.331T872.624,2.9559,0.028388,1.5469,0.037302,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M675.452T1372.394,2.9526,0.028515,1.5449,0.037334,Second-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M903.341T917.809,2.9523,0.028526,1.5448,0.037334,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M1111.407T857.905,2.9448,0.028816,1.5404,0.037639,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Drought
M920.344T942.609,2.9431,0.028883,1.5394,0.037651,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M898.347T1006.792,2.9378,0.029089,1.5363,0.037844,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - Second-tp_Control
M824.341T924.482,2.9359,0.029164,1.5351,0.037868,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M888.347T872.624,2.9302,0.029389,1.5318,0.038064,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M727.561T1540.694,2.928,0.029475,1.5305,0.038064,Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M683.47T1371.844,2.9272,0.029508,1.5301,0.038064,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought
M1122.429T942.609,2.9259,0.029558,1.5293,0.038064,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought
M1097.411T857.905,2.9247,0.029605,1.5286,0.038064,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M753.499T1355.744,2.9162,0.02995,1.5236,0.03841,Second-tp_Control - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Control - First-tp_Xanthomonas
M890.353T1023.188,2.9151,0.029991,1.523,0.03841,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M837.328T857.905,2.9039,0.030451,1.5164,0.038712,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - Second-tp_Control
M734.266T813.875,2.9031,0.030485,1.5159,0.038712,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control
M433.152T909.874,2.903,0.030489,1.5159,0.038712,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Fusarium
M871.337T832.505,2.9026,0.030505,1.5156,0.038712,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control
M819.302T866.333,2.9022,0.030521,1.5154,0.038712,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M495.298T1036.333,2.8996,0.03063,1.5139,0.038754,First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Fusarium; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M1077.418T843.183,2.8953,0.030806,1.5114,0.038754,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M990.389T957.42,2.8931,0.030898,1.5101,0.038754,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control
M341.283T1305.932,2.8931,0.0309,1.51,0.038754,First-tp_Drought - First-tp_Control; Second-tp_Control - First-tp_Control; First-tp_Drought - Second-tp_Drought; First-tp_Drought - Second-tp_Fusarium; First-tp_Drought - Second-tp_Xanthomonas; Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M847.319T941.78,2.893,0.030905,1.51,0.038754,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Drought - Second-tp_Control
M727.571T1439.78,2.8921,0.030941,1.5095,0.038754,Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M948.397T959.199,2.8914,0.030968,1.5091,0.038754,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M438.151T843.183,2.8856,0.031213,1.5057,0.038932,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M703.261T828.514,2.8853,0.031228,1.5054,0.038932,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M937.361T940.951,2.8793,0.031482,1.5019,0.039174,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - First-tp_Drought; Second-tp_Drought - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Control
M768.289T941.124,2.8621,0.032224,1.4918,0.040021,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M951.383T957.42,2.8583,0.032394,1.4895,0.040118,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought
M942.381T940.951,2.8576,0.032424,1.4891,0.040118,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - Second-tp_Control
M837.33T941.332,2.8553,0.032525,1.4878,0.040145,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought
M629.463T1474.173,2.8543,0.032568,1.4872,0.040145,Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M551.201T893.689,2.8489,0.032809,1.484,0.040366,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Drought - Second-tp_Control
M979.319T755.275,2.8465,0.032914,1.4826,0.040382,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M607.448T1423.334,2.8458,0.032945,1.4822,0.040382,Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M651.489T1439.586,2.8408,0.033172,1.4792,0.040585,Second-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
